entity,attr,comment_old,comment_new
Discretionary Investment Account,Discretionary Investment Investor Id,FK target: Discretionary Investment Investor.Discretionary Investment Investor Id. Classification: Source System Code = 'FMS_INVES'.,FK target: dscr_ivsm_ivsr.dscr_ivsm_ivsr_id. Classification: Source System Code = 'FMS_INVES'.
Discretionary Investment Account,Discretionary Investment Investor Code,Lookup pair: Discretionary Investment Investor.Discretionary Investment Investor Code. Pair with Discretionary Investment Investor Id. Classification: Source System Code = 'FMS_INVES'.,Lookup pair: dscr_ivsm_ivsr.dscr_ivsm_ivsr_code. Pair with dscr_ivsm_ivsr_id. Classification: Source System Code = 'FMS_INVES'.
Fund Management Conduct Violation,Fund Management Company Id,FK target: Fund Management Company.Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,FK target: fnd_mgt_co.fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Fund Management Conduct Violation,Fund Management Company Code,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Fund Management Conduct Violation,Investment Fund Id,FK target: Investment Fund.Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,FK target: ivsm_fnd.ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Fund Management Conduct Violation,Investment Fund Code,Lookup pair: Investment Fund.Investment Fund Code. Pair with Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,Lookup pair: ivsm_fnd.ivsm_fnd_code. Pair with ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Investment Fund Investor Capital Change Log,Investment Fund Investor Membership Id,FK target: Investment Fund Investor Membership.Investment Fund Investor Membership Id. Classification: Source System Code = 'FMS_MBFUND'.,FK target: ivsm_fnd_ivsr_mbr.ivsm_fnd_ivsr_mbr_id. Classification: Source System Code = 'FMS_MBFUND'.
Investment Fund Investor Capital Change Log,Investment Fund Investor Membership Code,Lookup pair: Investment Fund Investor Membership.Investment Fund Investor Membership Code. Pair with Investment Fund Investor Membership Id. Classification: Source System Code = 'FMS_MBFUND'.,Lookup pair: ivsm_fnd_ivsr_mbr.ivsm_fnd_ivsr_mbr_code. Pair with ivsm_fnd_ivsr_mbr_id. Classification: Source System Code = 'FMS_MBFUND'.
Member Periodic Report Status Log,Member Periodic Report Id,FK target: Member Periodic Report.Member Periodic Report Id. Classification: Source System Code = 'FMS_RPTMEMBER'.,FK target: mbr_prd_rpt.mbr_prd_rpt_id. Classification: Source System Code = 'FMS_RPTMEMBER'.
Member Periodic Report Status Log,Member Periodic Report Code,Lookup pair: Member Periodic Report.Member Periodic Report Code. Pair with Member Periodic Report Id. Classification: Source System Code = 'FMS_RPTMEMBER'.,Lookup pair: mbr_prd_rpt.mbr_prd_rpt_code. Pair with mbr_prd_rpt_id. Classification: Source System Code = 'FMS_RPTMEMBER'.
Member Periodic Report Status Log,Changed By Officer Id,FK target: Fund Management Company Key Person.Fund Management Company Key Person Id. Classification: Source System Code = 'FMS_TLProfiles'.,FK target: fnd_mgt_co_key_psn.fnd_mgt_co_key_psn_id. Classification: Source System Code = 'FMS_TLProfiles'.
Member Periodic Report,Fund Management Company Id,FK target: Fund Management Company.Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,FK target: fnd_mgt_co.fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Member Periodic Report,Fund Management Company Code,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Member Periodic Report,Investment Fund Id,FK target: Investment Fund.Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,FK target: ivsm_fnd.ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Member Periodic Report,Investment Fund Code,Lookup pair: Investment Fund.Investment Fund Code. Pair with Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,Lookup pair: ivsm_fnd.ivsm_fnd_code. Pair with ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Member Periodic Report,Custodian Bank Id,FK target: Custodian Bank.Custodian Bank Id. Classification: Source System Code = 'FMS_BANKMONI'.,FK target: cstd_bnk.cstd_bnk_id. Classification: Source System Code = 'FMS_BANKMONI'.
Member Periodic Report,Custodian Bank Code,Lookup pair: Custodian Bank.Custodian Bank Code. Pair with Custodian Bank Id. Classification: Source System Code = 'FMS_BANKMONI'.,Lookup pair: cstd_bnk.cstd_bnk_code. Pair with cstd_bnk_id. Classification: Source System Code = 'FMS_BANKMONI'.
Member Periodic Report,Foreign Fund Management Organization Unit Id,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Id. Classification: Source System Code = 'FMS_FORBRCH'.,FK target: frgn_fnd_mgt_ou.frgn_fnd_mgt_ou_id. Classification: Source System Code = 'FMS_FORBRCH'.
Member Periodic Report,Foreign Fund Management Organization Unit Code,Lookup pair: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Foreign Fund Management Organization Unit Id. Classification: Source System Code = 'FMS_FORBRCH'.,Lookup pair: frgn_fnd_mgt_ou.frgn_fnd_mgt_ou_code. Pair with frgn_fnd_mgt_ou_id. Classification: Source System Code = 'FMS_FORBRCH'.
Member Periodic Report,Report Template Id,FK target: Report Template.Report Template Id. Classification: Source System Code = 'FIMS_RPTTEMP'.,FK target: rpt_tpl.rpt_tpl_id. Classification: Source System Code = 'FIMS_RPTTEMP'.
Member Periodic Report,Report Template Code,Lookup pair: Report Template.Report Template Code. Pair with Report Template Id. Classification: Source System Code = 'FIMS_RPTTEMP'.,Lookup pair: rpt_tpl.rpt_tpl_code. Pair with rpt_tpl_id. Classification: Source System Code = 'FIMS_RPTTEMP'.
Member Periodic Report,Reporting Period Id,FK target: Reporting Period.Reporting Period Id. Classification: Source System Code = 'FMS_RPTPERIOD'.,FK target: rpt_prd.rpt_prd_id. Classification: Source System Code = 'FMS_RPTPERIOD'.
Member Periodic Report,Reporting Period Code,Lookup pair: Reporting Period.Reporting Period Code. Pair with Reporting Period Id. Classification: Source System Code = 'FMS_RPTPERIOD'.,Lookup pair: rpt_prd.rpt_prd_code. Pair with rpt_prd_id. Classification: Source System Code = 'FMS_RPTPERIOD'.
Member Periodic Report,Securities Company Id,FK target: Securities Company.Securities Company Id. Classification: Source System Code = 'FIMS_SECURITIESCOMPANY'.,FK target: scr_co.scr_co_id. Classification: Source System Code = 'FIMS_SECURITIESCOMPANY'.
Member Periodic Report,Securities Company Code,Lookup pair: Securities Company.Securities Company Code. Pair with Securities Company Id. Classification: Source System Code = 'FIMS_SECURITIESCOMPANY'.,Lookup pair: scr_co.scr_co_code. Pair with scr_co_id. Classification: Source System Code = 'FIMS_SECURITIESCOMPANY'.
Member Periodic Report,Report Submission Schedule Id,FK target: Report Submission Schedule.Report Submission Schedule Id. Classification: Source System Code = 'SCMS_BM_BAO_CAO_DINH_KY'.,FK target: rpt_subm_shd.rpt_subm_shd_id. Classification: Source System Code = 'SCMS_BM_BAO_CAO_DINH_KY'.
Member Periodic Report,Report Submission Schedule Code,Lookup pair: Report Submission Schedule.Report Submission Schedule Code. Pair with Report Submission Schedule Id. Classification: Source System Code = 'SCMS_BM_BAO_CAO_DINH_KY'.,Lookup pair: rpt_subm_shd.rpt_subm_shd_code. Pair with rpt_subm_shd_id. Classification: Source System Code = 'SCMS_BM_BAO_CAO_DINH_KY'.
Reporting Period,Report Template Id,FK target: Report Template.Report Template Id.,FK target: rpt_tpl.rpt_tpl_id.
Reporting Period,Report Template Code,Lookup pair: Report Template.Report Template Code. Pair with Report Template Id.,Lookup pair: rpt_tpl.rpt_tpl_code. Pair with rpt_tpl_id.
Rating Criterion,Parent Rating Criterion Code,Lookup pair: Rating Criterion.Rating Criterion Code. Pair with Parent Rating Criterion Id. Classification: Source System Code = 'FMS_RNKFACTOR'.,Lookup pair: rtg_criterion.rtg_criterion_code. Pair with prn_rtg_criterion_id. Classification: Source System Code = 'FMS_RNKFACTOR'.
Report Import Value,Member Periodic Report Id,FK target: Member Periodic Report.Member Periodic Report Id. Classification: Source System Code = 'FMS_RPTMEMBER'.,FK target: mbr_prd_rpt.mbr_prd_rpt_id. Classification: Source System Code = 'FMS_RPTMEMBER'.
Report Import Value,Member Periodic Report Code,Lookup pair: Member Periodic Report.Member Periodic Report Code. Pair with Member Periodic Report Id. Classification: Source System Code = 'FMS_RPTMEMBER'.,Lookup pair: mbr_prd_rpt.mbr_prd_rpt_code. Pair with mbr_prd_rpt_id. Classification: Source System Code = 'FMS_RPTMEMBER'.
Report Import Value,Fund Management Company Id,FK target: Fund Management Company.Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,FK target: fnd_mgt_co.fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Report Import Value,Fund Management Company Code,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Report Import Value,Investment Fund Id,FK target: Investment Fund.Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,FK target: ivsm_fnd.ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Report Import Value,Investment Fund Code,Lookup pair: Investment Fund.Investment Fund Code. Pair with Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,Lookup pair: ivsm_fnd.ivsm_fnd_code. Pair with ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Report Import Value,Custodian Bank Id,FK target: Custodian Bank.Custodian Bank Id. Classification: Source System Code = 'FMS_BANKMONI'.,FK target: cstd_bnk.cstd_bnk_id. Classification: Source System Code = 'FMS_BANKMONI'.
