file,source,entity,comment_old,comment_new
dm_atm_dscr_ivsm_ac-FMS.INVESACC.yaml,FMS,Discretionary Investment Account,FK target: Discretionary Investment Investor.Discretionary Investment Investor Id.,FK target: Discretionary Investment Investor.Discretionary Investment Investor Id. Classification: Source System Code = 'FMS_INVES'.
dm_atm_dscr_ivsm_ac-FMS.INVESACC.yaml,FMS,Discretionary Investment Account,Lookup pair: Discretionary Investment Investor.Discretionary Investment Investor Code. Pair with Discretionary Investment Investor Id.,Lookup pair: Discretionary Investment Investor.Discretionary Investment Investor Code. Pair with Discretionary Investment Investor Id. Classification: Source System Code = 'FMS_INVES'.
dm_atm_fnd_mgt_conduct_vln-FMS.VIOLT.yaml,FMS,Fund Management Conduct Violation,FK target: Fund Management Company.Fund Management Company Id.,"FK target: Fund Management Company.Fund Management Company Id. Classification: [""Source System Code = 'FIMS_FUNDCOMPANY'"", ""Source System Code = 'FMS_SECURITIES'"", ""Source System Code = 'THANHTRA_DM_CONG_TY_QLQ'""]."
dm_atm_fnd_mgt_conduct_vln-FMS.VIOLT.yaml,FMS,Fund Management Conduct Violation,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id.,"Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id. Classification: [""Source System Code = 'FIMS_FUNDCOMPANY'"", ""Source System Code = 'FMS_SECURITIES'"", ""Source System Code = 'THANHTRA_DM_CONG_TY_QLQ'""]."
dm_atm_fnd_mgt_conduct_vln-FMS.VIOLT.yaml,FMS,Fund Management Conduct Violation,FK target: Investment Fund.Investment Fund Id.,FK target: Investment Fund.Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.
dm_atm_fnd_mgt_conduct_vln-FMS.VIOLT.yaml,FMS,Fund Management Conduct Violation,Lookup pair: Investment Fund.Investment Fund Code. Pair with Investment Fund Id.,Lookup pair: Investment Fund.Investment Fund Code. Pair with Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.
dm_atm_ivsm_fnd_ivsr_cptl_chg_log-FMS.MBCHANGE.yaml,FMS,Investment Fund Investor Capital Change Log,FK target: Investment Fund Investor Membership.Investment Fund Investor Membership Id.,FK target: Investment Fund Investor Membership.Investment Fund Investor Membership Id. Classification: Source System Code = 'FMS_MBFUND'.
dm_atm_ivsm_fnd_ivsr_cptl_chg_log-FMS.MBCHANGE.yaml,FMS,Investment Fund Investor Capital Change Log,Lookup pair: Investment Fund Investor Membership.Investment Fund Investor Membership Code. Pair with Investment Fund Investor Membership Id.,Lookup pair: Investment Fund Investor Membership.Investment Fund Investor Membership Code. Pair with Investment Fund Investor Membership Id. Classification: Source System Code = 'FMS_MBFUND'.
dm_atm_mbr_prd_rpt_st_log-FMS.RPTMBHS.yaml,FMS,Member Periodic Report Status Log,FK target: Member Periodic Report.Member Periodic Report Id.,"FK target: Member Periodic Report.Member Periodic Report Id. Classification: [""Source System Code = 'FMS_RPTMEMBER'"", ""Source System Code = 'SCMS_BC_THANH_VIEN'""]."
dm_atm_mbr_prd_rpt_st_log-FMS.RPTMBHS.yaml,FMS,Member Periodic Report Status Log,Lookup pair: Member Periodic Report.Member Periodic Report Code. Pair with Member Periodic Report Id.,"Lookup pair: Member Periodic Report.Member Periodic Report Code. Pair with Member Periodic Report Id. Classification: [""Source System Code = 'FMS_RPTMEMBER'"", ""Source System Code = 'SCMS_BC_THANH_VIEN'""]."
dm_atm_mbr_prd_rpt_st_log-FMS.RPTMBHS.yaml,FMS,Member Periodic Report Status Log,FK target: Fund Management Company Key Person.Fund Management Company Key Person Id.,FK target: Fund Management Company Key Person.Fund Management Company Key Person Id. Classification: Source System Code = 'FMS_TLProfiles'.
dm_atm_mbr_prd_rpt_st_log-FMS.RPTMBHS.yaml,FMS,Member Periodic Report Status Log,Lookup pair: Fund Management Company Key Person.Fund Management Company Key Person Code. Pair with Changed By Officer Id.,Lookup pair: Fund Management Company Key Person.Fund Management Company Key Person Code. Pair with Changed By Officer Id. Classification: Source System Code = 'FMS_TLProfiles'.
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,FK target: Fund Management Company.Fund Management Company Id.,"FK target: Fund Management Company.Fund Management Company Id. Classification: [""Source System Code = 'FIMS_FUNDCOMPANY'"", ""Source System Code = 'FMS_SECURITIES'"", ""Source System Code = 'THANHTRA_DM_CONG_TY_QLQ'""]."
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id.,"Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id. Classification: [""Source System Code = 'FIMS_FUNDCOMPANY'"", ""Source System Code = 'FMS_SECURITIES'"", ""Source System Code = 'THANHTRA_DM_CONG_TY_QLQ'""]."
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,FK target: Investment Fund.Investment Fund Id.,FK target: Investment Fund.Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,Lookup pair: Investment Fund.Investment Fund Code. Pair with Investment Fund Id.,Lookup pair: Investment Fund.Investment Fund Code. Pair with Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,FK target: Custodian Bank.Custodian Bank Id.,"FK target: Custodian Bank.Custodian Bank Id. Classification: [""Source System Code = 'FIMS_BANKMONI'"", ""Source System Code = 'FMS_BANKMONI'""]."
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,Lookup pair: Custodian Bank.Custodian Bank Code. Pair with Custodian Bank Id.,"Lookup pair: Custodian Bank.Custodian Bank Code. Pair with Custodian Bank Id. Classification: [""Source System Code = 'FIMS_BANKMONI'"", ""Source System Code = 'FMS_BANKMONI'""]."
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Id.,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Id. Classification: Source System Code = 'FMS_FORBRCH'.
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,Lookup pair: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Foreign Fund Management Organization Unit Id.,Lookup pair: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Foreign Fund Management Organization Unit Id. Classification: Source System Code = 'FMS_FORBRCH'.
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,FK target: Report Template.Report Template Id.,"FK target: Report Template.Report Template Id. Classification: [""Source System Code = 'FIMS_RPTTEMP'"", ""Source System Code = 'SCMS_BM_BAO_CAO'""]."
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,Lookup pair: Report Template.Report Template Code. Pair with Report Template Id.,"Lookup pair: Report Template.Report Template Code. Pair with Report Template Id. Classification: [""Source System Code = 'FIMS_RPTTEMP'"", ""Source System Code = 'SCMS_BM_BAO_CAO'""]."
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,FK target: Reporting Period.Reporting Period Id.,"FK target: Reporting Period.Reporting Period Id. Classification: [""Source System Code = 'FIMS_RPTPERIOD'"", ""Source System Code = 'FMS_RPTPERIOD'""]."
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,Lookup pair: Reporting Period.Reporting Period Code. Pair with Reporting Period Id.,"Lookup pair: Reporting Period.Reporting Period Code. Pair with Reporting Period Id. Classification: [""Source System Code = 'FIMS_RPTPERIOD'"", ""Source System Code = 'FMS_RPTPERIOD'""]."
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,FK target: Securities Company.Securities Company Id.,"FK target: Securities Company.Securities Company Id. Classification: [""Source System Code = 'FIMS_SECURITIESCOMPANY'"", ""Source System Code = 'SCMS_CTCK_THONG_TIN'"", ""Source System Code = 'THANHTRA_DM_CONG_TY_CK'""]."
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,Lookup pair: Securities Company.Securities Company Code. Pair with Securities Company Id.,"Lookup pair: Securities Company.Securities Company Code. Pair with Securities Company Id. Classification: [""Source System Code = 'FIMS_SECURITIESCOMPANY'"", ""Source System Code = 'SCMS_CTCK_THONG_TIN'"", ""Source System Code = 'THANHTRA_DM_CONG_TY_CK'""]."
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,FK target: Report Submission Schedule.Report Submission Schedule Id.,FK target: Report Submission Schedule.Report Submission Schedule Id. Classification: Source System Code = 'SCMS_BM_BAO_CAO_DINH_KY'.
dm_atm_mbr_prd_rpt-FMS.RPTMEMBER.yaml,FMS,Member Periodic Report,Lookup pair: Report Submission Schedule.Report Submission Schedule Code. Pair with Report Submission Schedule Id.,Lookup pair: Report Submission Schedule.Report Submission Schedule Code. Pair with Report Submission Schedule Id. Classification: Source System Code = 'SCMS_BM_BAO_CAO_DINH_KY'.
dm_atm_rpt_prd-FMS.RPTPERIOD.yaml,FMS,Reporting Period,FK target: Report Template.Report Template Id.,"FK target: Report Template.Report Template Id. Classification: [""Source System Code = 'FIMS_RPTTEMP'"", ""Source System Code = 'SCMS_BM_BAO_CAO'""]."
dm_atm_rpt_prd-FMS.RPTPERIOD.yaml,FMS,Reporting Period,Lookup pair: Report Template.Report Template Code. Pair with Report Template Id.,"Lookup pair: Report Template.Report Template Code. Pair with Report Template Id. Classification: [""Source System Code = 'FIMS_RPTTEMP'"", ""Source System Code = 'SCMS_BM_BAO_CAO'""]."
dm_atm_rtg_criterion-FMS.RNKFACTOR.yaml,FMS,Rating Criterion,FK target: Rating Criterion.Rating Criterion Id. Null = nhân tố gốc.,FK target: Rating Criterion.Rating Criterion Id. Null = nhân tố gốc. Classification: Source System Code = 'FMS_RNKFACTOR'.
