Target,Bảng đích,,,,,,,,,
Database,Schema,Table Name,ETL Handle,,,,Description,Last update,Update by,Update reason
,silver,Involved Party Alternative Identification,SCD4A,,,,Lưu trữ các giấy tờ định danh thay thế của Involved Party (CMND/CCCD/Hộ chiếu/Giấy phép kinh doanh/Chứng chỉ hành nghề). Mỗi dòng = 1 loại giấy tờ từ 1 nguồn.,,,
Input,Bảng / CTE nguồn,,,,,,,,,
#,Source Type,Schema,Table Name,Alias,Select Fields,Filter,Description,Last update,Update by,Update reason
1,physical_table,bronze,SECURITIES,se,"id, decision","data_date = to_date('{{ var(""etl_date"") }}', 'yyyy-MM-dd')",,,,
2,unpivot_cte,,se,leg_se,"id AS ip_code, type_code, address_value
LATERAL VIEW stack(1, 'DECISION', decision) AS (type_code, address_value)",address_value IS NOT NULL,,,,
3,physical_table,bronze,FORBRCH,fo_ch,"id, changelicense","data_date = to_date('{{ var(""etl_date"") }}', 'yyyy-MM-dd')",,,,
4,unpivot_cte,,fo_ch,leg_fo_ch,"id AS ip_code, type_code, address_value
LATERAL VIEW stack(1, 'CHANGELICENSE', changelicense) AS (type_code, address_value)",address_value IS NOT NULL,,,,
5,physical_table,bronze,INVES,in,"id, idno","data_date = to_date('{{ var(""etl_date"") }}', 'yyyy-MM-dd')",,,,
6,unpivot_cte,,in,leg_in,"id AS ip_code, type_code, address_value
LATERAL VIEW stack(1, 'IDNO', idno) AS (type_code, address_value)",address_value IS NOT NULL,,,,
7,physical_table,bronze,TLPROFILES,tl,"id, idno","data_date = to_date('{{ var(""etl_date"") }}', 'yyyy-MM-dd')",,,,
8,unpivot_cte,,tl,leg_tl,"id AS ip_code, type_code, address_value
LATERAL VIEW stack(1, 'IDNO', idno) AS (type_code, address_value)",address_value IS NOT NULL,,,,
9,physical_table,bronze,BRANCHES,br,"id, decision","data_date = to_date('{{ var(""etl_date"") }}', 'yyyy-MM-dd')",,,,
10,unpivot_cte,,br,leg_br,"id AS ip_code, type_code, address_value
LATERAL VIEW stack(1, 'DECISION', decision) AS (type_code, address_value)",address_value IS NOT NULL,,,,
Relationship,Quan hệ giữa các bảng / CTE nguồn,,,,,,,,,
#,Main Alias,Join Type,Join Alias,Join On,,,Description,Last update,Update by,Update reason
,,,,,,,,,,
Mapping,Mapping trường nguồn → trường đích,,,,,,,,,
#,Target Column,Transformation,Data Type,,,,Description,Last update,Update by,Update reason
1,involved_party_id,"hash_id('FMS_SECURITIES', leg_se.ip_code); hash_id('FMS_FORBRCH', leg_fo_ch.ip_code); hash_id('FMS_INVES', leg_in.ip_code); hash_id('FMS_TLProfiles', leg_tl.ip_code); hash_id('FMS_BRANCHES', leg_br.ip_code)",string,,,,,,,
2,involved_party_code,leg_se.ip_code; leg_fo_ch.ip_code; leg_in.ip_code; leg_tl.ip_code; leg_br.ip_code,string,,,,,,,
3,source_system_code,'FMS_SECURITIES'; 'FMS_FORBRCH'; 'FMS_INVES'; 'FMS_TLProfiles'; 'FMS_BRANCHES',string,,,,,,,
4,identification_type_code,leg_se.type_code; leg_fo_ch.type_code; leg_in.type_code; leg_tl.type_code; leg_br.type_code,string,,,,,,,
5,identification_number,leg_se.address_value; leg_fo_ch.address_value; leg_in.address_value; leg_tl.address_value; leg_br.address_value,string,,,,,,,
Final Filter,Điều kiện lọc của Main Transform,,,,,,,,,
#,Clause Type,Expression,,,,,Description,Last update,Update by,Update reason
1,UNION ALL,"SELECT * FROM leg_se
UNION ALL
SELECT * FROM leg_fo_ch
UNION ALL
SELECT * FROM leg_in
UNION ALL
SELECT * FROM leg_tl
UNION ALL
SELECT * FROM leg_br",,,,,Dùng khi merge nhiều luồng vào cùng 1 bảng đích,,,
