Chức năng,Tiêu chí,Tham số tra cứu,Trường thông tin,Công thức tính toán,Nội dung cần confirm,Ảnh
Danh mục>> Cổ phiếu,"Thống kê danh mục chứng khoán thuộc 3 loại:
- Cổ phiếu
- TPDN niêm yết
- Phái sinh","- Ngày
- Loại chứng khoán: Cổ phiếu, TPDN Niêm yết, Phái sinh
- Chỉ số (VNIndex, HNX Index, UPCoM Index): Chỉ chọn ""Chỉ số"" nếu tra cứu danh mục ""Cổ phiếu"".
- Ngành (Danh sách ngành nghề cấp 1): Chỉ chọn ""Ngành"" nếu tra cứu danh mục ""Cổ phiếu"".
- Sản phẩm phái sinh (HĐTL VN30, HĐTL VN100, HĐTL GB05, HĐTL GB10): Chỉ chọn ""Sản phẩm"" nếu tra cứu danh mục ""Phái sinh""
- Thỏa thuận: Tích chọn để tra cứu danh mục mã chứng khoán có phát sinh giao dịch Thỏa thuận trong ngày.",Mã chứng khoán,,,
,,,Ngành,Phân ngành cấp 1 của doanh nghiệp. Thông tin theo dữ liệu của phần mềm IDS (Giám sát công ty đại chúng).,,
,,,Giá đóng cửa,Giá đóng cửa tại ngày cuối kỳ báo cáo (tại ngày),,
,,,Thay đổi giá,Giá đóng cửa - Giá tham chiếu,,
,,,% Thay đổi giá,(Giá đóng cửa / Giá tham chiếu - 1) * 100,,
,,,Ngày đáo hạn,"* Khi tích chọn phái sinh:
Ngày đáo hạn của phái sinh ",,
,,,Khối lượng,"Tổng KLGD trong ngày: Tính từ sổ lệnh khớp.
- Nếu không chọn ""Thỏa thuận"": Là KLGD khớp lệnh.
- Nếu chọn ""Thỏa thuận"": Là KLGD thỏa thuận.",,
,,,Giá trị,"Tổng GTGD trong ngày: Tính từ sổ lệnh khớp.
- Nếu không chọn ""Thỏa thuận"": Là GTGD khớp lệnh.
- Nếu chọn ""Thỏa thuận"": Là GTGD thỏa thuận.",,
,,,KLNN Ròng,KLNN Ròng = KLGD mua - bán của NĐTNN,,
Danh mục>> Trái phiếu,"Thống kê danh mục chứng khoán thuộc 3 loại:
- Cổ phiếu
- TPDN niêm yết
- Phái sinh","- Ngày
- Lọc mã trái phiếu: 
",Mã trái phiếu,,,
,,,Ngành,Phân ngành cấp 1 của doanh nghiệp. Thông tin theo dữ liệu của phần mềm IDS (Giám sát công ty đại chúng).,,
,,,Giá tham chiếu,Giá tham chiếu tại ngày ,,
,,,Giá đóng cửa,Giá đóng cửa tại ngày cuối kỳ báo cáo (tại ngày),,
,,,Thay đổi giá,Giá đóng cửa - Giá tham chiếu,,
,,,% Thay đổi giá,(Giá đóng cửa / Giá tham chiếu - 1) * 100,,
,,,Ngày đáo hạn,Ngày đáo hạn của trái phiếu,,
,,,Khối lượng,Tổng KLGD trong ngày: Tính từ sổ lệnh khớp.Là KLGD khớp lệnh.,,
,,,Giá trị,Tổng GTGD trong ngày: Tính từ sổ lệnh khớp. Là GTGD khớp lệnh.,,
,,,YTM BQ,,,
,,,Lãi suất của mã trái phiếu,,,
Thị trường chuyên sâu >> Chỉ số,Thống kê giao dịch của tất cả các chỉ số,"- Ngày: 
* Biểu đồ đường: 1D/1W/1M/3M/6M
* Bảng số liệu: tại ngày
- Lọc chỉ số",Mã chỉ số,,,
,,,"Giá trị GD theo realtime
>> Dành cho biểu đồ đường","* 1D/1W:
Giá trị giao dịch của chỉ số theo time trong ngày 
*1M/3M/6M: 
Giá trị giao dịch của chỉ số theo từng ngày trong dải 1M/3M/6M",,
,,,"Điểm của chỉ số theo realtime
>> Dành cho biểu đồ đường","* 1D/1W:
Điểm của chỉ số theo time trong ngày 
*1M/3M/6M: 
Điểm của chỉ số theo từng ngày trong dải 1M/3M/6M",,
,,,Giá đóng cửa,Giá đóng cửa tại ngày cuối kỳ báo cáo (tại ngày),,
,,,Giá mở cửa,Giá giao dịch đầu tiên của trong ngày,,
,,,Giá cao nhất,Giá giao dịch cao nhất  của trong  ngày,,
,,,Giá thấp nhất,Giá giao dịch thấp nhất của trong  ngày,,
,,,Thay đổi giá,Giá đóng cửa - Giá tham chiếu tại ngày,,
,,,% Thay đổi giá,(Giá đóng cửa / Giá tham chiếu - 1) * 100,,
,,,Số lượng mã tăng,Số lượng mã tăng,,
,,,Số lượng mã giảm,Số lượng mã giảm,,
,,,Số lượng mã đứng giá,Số lượng mã đứng giá,,
,,,Số lượng mã  tăng trần,Số lượng mã  tăng trần,,
,,,Số lượng mã giảm sàn,Số lượng mã giảm sàn,,
,,,KLGD của chỉ số,"Tổng KLGD trong ngày: Tính từ sổ lệnh khớp.khớp lệnh:
Hose: Khớp lệnh 
MARKET_ID IN ('STK')
AND BOARD_TYPE <> ('T1','T2','T3','T4','T6','R1')
đối với HNX: Khớp lệnh 
MARKET_ID IN ('STX','UPX')
And BOARD_ID <>  ('T1','T2','T3','T4','T6','R1')",,
,,,GTGD của chỉ số,"Tổng GTGD trong ngày: Tính từ sổ lệnh khớp. Khớp lệnh:
Hose: Khớp lệnh 
MARKET_ID IN ('STK')
AND BOARD_TYPE <> ('T1','T2','T3','T4','T6','R1')
đối với HNX: Khớp lệnh 
MARKET_ID IN ('STX','UPX')
And BOARD_ID <> ('T1','T2','T3','T4','T6','R1')",,
,,,KLNN ròng của chỉ số,KLNN Ròng = KLGD mua - bán của NĐTNN,,
,,,GTNN ròng của chỉ số,GTNN Ròng = GTGD mua - bán của NĐTNN,,
,,,KLGD  thỏa thuận,"Tổng KLGD trong ngày: Tính từ sổ lệnh khớp.Điều kiện :
Hose: thỏa thuận
MARKET_ID IN ('STK')
AND BOARD_TYPE = ('T1','T2','T3','T4','T6','R1')
đối với HNX: thỏa thuận
MARKET_ID IN ('STX','UPX')
And BOARD_ID =  ('T1','T2','T3','T4','T6','R1')",,
