STT;Mã;Dashboard/báo cáo;Thông tin;Mô tả;Nhóm yêu cầu;Phân loại;Đánh giá;Độ chi tiết;Nguồn;Cần phân tích?;Cần test?;DL lịch sử?;Trạng thái mapping;Mapping (nghiệp vụ);Bảng nguồn;Trường nguồn;Điều kiện dữ liệu;Câu lệnh SQL;Note;Kết quả Test;Model;DMT
;;;Tên chiều/chỉ tiêu/thuộc tính;List công thức;Dashboard/báo cáo/DataExplorer;Chiều/Chỉ tiêu cơ sở/Chỉ tiêu phái sinh;"Dễ: lấy 1: 1 từ nguồn
TB: có tính toán tổng hợp
Khó: Có logic phức tạp và lấy nhiều mốc thời gian
Trùng: Trong phạm vi ban của mình làm đã có tính thông tin này rồi";Phục vụ design;;;;;"Done: đã map xong
doing: đang xem xét
failed: đã xem nhưng chưa maping được
(null): chưa làm";;Bảng(s) trong CSDL IDS;Trường SELECT;WHERE / GROUP BY / HAVING;SQL tham khảo;;;;
1;;Dashboard tổng hợp chấm điểm phân loại CTDC;Mã CK doanh nghiệp;;Dashboard;Chiều;Dễ;CTDC, ngày;IDS - GSĐC;X;X;;Done;;company_profiles;cp.equity_ticker AS ma_ck;cp.status_ids_cd = 'approved';"SELECT cp.equity_ticker AS ma_ck
FROM company_profiles cp
WHERE cp.status_ids_cd = 'approved'";;;;
1;;Dashboard tổng hợp chấm điểm phân loại CTDC;Tên doanh nghiệp;;Dashboard;Chiều;Dễ;CTDC, ngày;IDS - GSĐC;X;X;;Done;;company_profiles;cp.company_name_vn AS ten_dn;cp.status_ids_cd = 'approved';"SELECT cp.company_name_vn AS ten_dn
FROM company_profiles cp
WHERE cp.status_ids_cd = 'approved'";;;;
1;;Dashboard tổng hợp chấm điểm phân loại CTDC;Tuân thủ;Điểm tuân thủ trên phân hệ: Đánh giá mức độ tuân thủ về Công bố thông tin của các Công ty đại chúng;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;X;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
1;;Dashboard tổng hợp chấm điểm phân loại CTDC;Phát hành;Điểm phát hành trên phân hệ: Đánh giá việc huy động phát hành tăng vốn của công ty đảm bảo đúng quy định và vốn huy động được sử dụng đúng mục đích.;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
1;;Dashboard tổng hợp chấm điểm phân loại CTDC;Tài chính;Điểm tài chính trên phân hệ: Đánh giá điểm rủi ro tài chính của Công ty;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
1;;Dashboard tổng hợp chấm điểm phân loại CTDC;Phi tài chính & M-Score;Điểm phi tài chính & M-Score;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
1;;Dashboard tổng hợp chấm điểm phân loại CTDC;Xếp hạng tín nhiệm DN;Xếp hạng DN phát hành TP riêng lẻ;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
1;;Dashboard tổng hợp chấm điểm phân loại CTDC;Điểm;Điểm tổng hợp từ các tiêu chí tài chính, phát hành, tuân thủ, phi tài chính & M-Score, Xếp hạng tín nhiệm DN;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Mã CK doanh nghiệp;;Dashboard;Chiều;Trùng;CTDC, ngày;IDS - GSĐC;;X;;Done;;trùng dòng 4;;;;;;;
