,,,,,,,,,,,,,,,Khai thác nguồn,,,,,,,
STT,Mã dashboard/BC,Dashboard/báo cáo,Thông tin,Mô tả,Nhóm yêu cầu,Phân loại,Đánh giá,Độ chi tiết,Nguồn,Cần phân tích?,Cần test?,DL lịch sử?,Trạng thái mapping,Mapping (nghiệp vụ),Bảng nguồn,Trường nguồn,Điều kiện,Câu lệnh tham khảo,Note,Hoàn thành DEV,Loại dữ liệu,Kết quả Test
,,,Tên chiều/chỉ tiêu/thuộc tính,,Dashboard/báo cáo/Data Explorer,Chiều/Chỉ tiêu cơ sở/Chỉ tiêu phái sinh,"Dễ: lấy 1: 1 từ nguồn
TB: có tính toán tổng hợp
Khó: Có logic phức tạp và lấy nhiều mốc thời gian
Trùng: Trong phạm vi ban của mình làm đã có tính thông tin này rồi",,,,,,,,,,,,,,,
1,,Chào bán phát hành/Tình hình thực hiện chào bán phát hành theo ngành ,Ngày ,Ngày,Dashboard,Chiều,Dễ,ngày/theo ngành,IDS,x,x,,Done,,SECURITIES_OFFERING,SECURITIES_OFFERING.certificate_date,"NVL(certificate_date,official_letter_date) BETWEEN to_date(:pdate1,'yyyymmdd') AND to_date(:pdate2,'yyyymmdd')","WITH result_agg AS (
    -- Gom nhóm kết quả phát hành theo từng đợt chào bán trước khi JOIN
    SELECT 
        securities_offering_id,
        SUM(total_collected_am) AS total_collected_am
    FROM GMS_IDS_UAT.securities_offering_result
    WHERE NVL(delete_flg, 0) = 0 AND OFFERING_METHOD_CD NOT IN (6,7,8,10)
    GROUP BY securities_offering_id
),
plan_agg AS (
    -- Gom nhóm kết quả phát hành theo từng đợt chào bán trước khi JOIN
    SELECT 
        securities_offering_id,
        SUM(TOTAL_EXPECTED_AM) AS total_EXPECTED_am
    FROM GMS_IDS_UAT.securities_offering_plan
    WHERE NVL(delete_flg, 0) = 0 AND OFFERING_METHOD_CD NOT IN (6,7,8,10)
    GROUP BY securities_offering_id 
)
SELECT
    c.INDUSTRY_NAME                                                AS nganh,
    SUM(sop.total_expected_am)                                       AS gia_tri_cap_phep,
    SUM(NVL(sor.total_collected_am, 0))                             AS gia_tri_huy_dong,
    SUM(sop.total_expected_am) - SUM(NVL(sor.total_collected_am, 0)) AS chua_thanh_cong
FROM GMS_IDS_UAT.securities_offering so
JOIN GMS_IDS_UAT.company_profiles cp           ON cp.id = so.company_profile_id
JOIN GMS_IDS_UAT.categories c             ON c.id = cp.category_l1_id
  JOIN result_agg sor           ON sor.securities_offering_id = so.id
  JOIN plan_agg sop ON so.id = sop.SECURITIES_OFFERING_ID 
WHERE NVL(so.delete_flg, 0) = 0 AND so.APPROVAL_STATUS_CD  = 'APPROVED'
  AND NVL(so.certificate_date,so.official_letter_date) BETWEEN to_date(:pdate1,'yyyymmdd') AND to_date(:pdate2,'yyyymmdd')
GROUP BY
    c.INDUSTRY_NAME
ORDER BY nganh;",,Done,Dữ liệu tĩnh,P
1,,Chào bán phát hành/Tình hình thực hiện chào bán phát hành theo ngành ,Ngành,Ngành,Dashboard,Chiều,Dễ,ngày/theo ngành,IDS,x,x,,Done,,"CATEGORIES
COMPANY_PROFILES","CATEGORIES.INDUSTRY_NAME
COMPANY_PROFILES.category_l1_id","NVL(certificate_date,official_letter_date) BETWEEN to_date(:pdate1,'yyyymmdd') AND to_date(:pdate2,'yyyymmdd')",,,Done,Dữ liệu tĩnh,P
1,,Chào bán phát hành/Tình hình thực hiện chào bán phát hành theo ngành ,Giá trị Cấp phép,Giá trị chào bán/phát hành đã cấp phép,Dashboard,Chỉ tiêu cơ sở,Dễ,ngày/theo ngành,IDS,x,x,,Done,,SECURITIES_OFFERING_PLAN,SECURITIES_OFFERING_PLAN.total_expected_am,"NVL(certificate_date,official_letter_date) BETWEEN to_date(:pdate1,'yyyymmdd') AND to_date(:pdate2,'yyyymmdd')",,,Done,Dữ liệu tĩnh,P
1,,Chào bán phát hành/Tình hình thực hiện chào bán phát hành theo ngành ,Giá trị huy động thành công,Giá trị chào bán/phát hành thành công thực tế,Dashboard,Chỉ tiêu cơ sở,Dễ,ngày/theo ngành,IDS,x,x,,Done,,SECURITIES_OFFERING_RESULT,SECURITIES_OFFERING_RESULT.total_collected_am,"NVL(certificate_date,official_letter_date) BETWEEN to_date(:pdate1,'yyyymmdd') AND to_date(:pdate2,'yyyymmdd')",,,Done,Dữ liệu tĩnh,P
1,,Chào bán phát hành/Tình hình thực hiện chào bán phát hành theo ngành ,Chưa thành công,Giá trị chào bán/phát hành còn lại,Dashboard,Chỉ tiêu phái sinh,TB,ngày/theo ngành,IDS,x,x,,Done,,"SECURITIES_OFFERING_PLAN
SECURITIES_OFFERING_RESULT","SECURITIES_OFFERING_PLAN.total_expected_am
SECURITIES_OFFERING_RESULT.total_collected_am","NVL(certificate_date,official_letter_date) BETWEEN to_date(:pdate1,'yyyymmdd') AND to_date(:pdate2,'yyyymmdd')",,,Done,Dữ liệu tĩnh,P
2,,"Chào bán phát hành/ Giá trị cấp phép chào bán phát hành theo ngành
",Loại hình ,"Hình thức phát hành gồm:
 - Công chúng
 - Riêng lẻ
 - ESOP
 - Trả cổ tức
 - Phát hành tăng vốn từ vốn chủ sở hữu
 - Khác",Dashboard,Chỉ tiêu cơ sở,Dễ,ngày/theo ngành,IDS,x,x,,Done,,"LOOKUP_VALUES
SECURITIES_OFFERING_PLAN","LOOKUP_VALUES.LOOKUP_VALUE_VN 
SECURITIES_OFFERING_PLAN.offering_method_cd","NVL(certificate_date,official_letter_date) BETWEEN to_date(:pdate1,'yyyymmdd') AND to_date(:pdate2,'yyyymmdd')","WITH plan_agg AS (
    -- Gom nhóm tổng giá trị cấp phép theo từng đợt chào bán & hình thức phát hành
    SELECT 
        securities_offering_id,
        offering_method_cd,
        SUM(total_expected_am) AS total_expected_am
    FROM SECURITIES_OFFERING_PLAN
    WHERE NVL(delete_flg, 0) = 0
    GROUP BY securities_offering_id, offering_method_cd
),
classified_data AS (
    -- Phân loại hình thức phát hành và gắn nhóm ngành
    SELECT 
        p.total_expected_am,
        c.INDUSTRY_NAME                                         AS nhom_nganh,
        CASE 
            WHEN p.offering_method_cd IN ('1', '2', '3', '4') THEN 'Giá trị cấp phép loại hình công chúng'
            WHEN p.offering_method_cd = '5'                   THEN 'Giá trị cấp phép loại hình riêng lẻ'
            WHEN p.offering_method_cd IN ('9', '10')          THEN 'Giá trị cấp phép loại hình ESOP'
            WHEN p.offering_method_cd = '7'                   THEN 'Giá trị cấp phép loại hình trả cổ tức'
            WHEN p.offering_method_cd = '8'                   THEN 'Giá trị cấp phép loại hình phát hành tăng vốn từ vốn chủ sở hữu'
            ELSE 'Giá trị cấp phép các loại khác'
        END                                                     AS hinh_thuc_phat_hanh
    FROM SECURITIES_OFFERING t
    JOIN plan_agg p             ON p.securities_offering_id = t.id
    JOIN COMPANY_PROFILES cp    ON cp.id = t.company_profile_id
    JOIN CATEGORIES c      ON c.id  = cp.category_l1_id
    WHERE NVL(t.delete_flg, 0) = 0
      AND NVL(cp.delete_flg, 0) = 0
      AND t.APPROVAL_STATUS_CD = 'APPROVED'
      AND t.certificate_date BETWEEN TO_DATE(:pdate1, 'yyyymmdd') AND TO_DATE(:pdate2, 'yyyymmdd')
)
SELECT
    hinh_thuc_phat_hanh,
    nhom_nganh,
    SUM(total_expected_am)                                      AS gia_tri_cap_phep
FROM classified_data
GROUP BY hinh_thuc_phat_hanh,nhom_nganh
ORDER BY hinh_thuc_phat_hanh,nhom_nganh ;",,Done,Dữ liệu tĩnh,P
2,,"Chào bán phát hành/ Giá trị cấp phép chào bán phát hành theo ngành
",Ngành,ngành,Dashboard,Chỉ tiêu cơ sở,Dễ,ngày/theo ngành,IDS,,,,Done,,"CATEGORIES
COMPANY_PROFILES","CATEGORIES.INDUSTRY_NAME
COMPANY_PROFILES.category_l1_id","NVL(certificate_date,official_letter_date) BETWEEN to_date(:pdate1,'yyyymmdd') AND to_date(:pdate2,'yyyymmdd')",,,Done,Dữ liệu tĩnh,P
