,,,,,,,,,,,,,,,Khai thác nguồn,,,,,,,Review design,,,,
STT,Mã,Dashboard/báo cáo,Thông tin,Mô tả,Nhóm yêu cầu,Phân loại,Đánh giá,Độ chi tiết,Nguồn,Cần phân tích?,Cần test?,DL lịch sử?,Trạng thái mapping,Mapping (nghiệp vụ),Bảng nguồn,Trường nguồn,Điều kiện chung ,Câu lệnh tham khảo,Note,Câu lệnh màn,Kết quả Test,Model,DMT,Hoàn thành DEV,Loại dữ liệu,Kết quả SIT
,,,Tên chiều/chỉ tiêu/thuộc tính,,Dashboard/báo cáo/Data Explorer,Chiều/Chỉ tiêu cơ sở/Chỉ tiêu phái sinh,"Dễ: lấy 1: 1 từ nguồn
TB: có tính toán tổng hợp
Khó: Có logic phức tạp và lấy nhiều mốc thời gian
Trùng: Trong phạm vi ban của mình làm đã có tính thông tin này rồi",,,,,,,,,,,,,,,,,,,
1,,Dashboard thông tin về danh mục chứng khoán theo dạng bảng số liệu,Mã CK,Bao gồm mã cổ phiếu/ phái sinh,Dashboard,Chiều,TB,Mã CK,MDDS,X,X,,Done,Thông tin thị trường,JAD_STOCKINFOR,symbol," NOT  (
    (s.floorcode = '02'  AND s.stocktype in (1,4))
    OR
    (s.floorcode = '10' AND s.stocktype = 1)
);","SELECT DISTINCT
    s.symbol            AS ma_ck
FROM JAD_STOCKINFOR s
WHERE s.FloorCode IN ('10','02','04', ' 03')   -- HOSE, HNX, UPCOM
   AND  NOT  (
    (s.floorcode = '02'  AND s.stocktype  in (1,4)
    OR
    (s.floorcode = '10' AND s.stocktype = 1
);
  AND s.tradingdate = :ngay_gd;",,đã sửa đổi,,,,Done,Dữ liệu tĩnh,F
1,,Dashboard thông tin về danh mục chứng khoán theo dạng bảng số liệu,Ngành ,Ngành nghề kinh tế cấp 1,Dashboard,Chiều,TB,Mã CK,IDS,X,X,,Done,Ngành kinh tế cấp 1 trên IDS,CATEGORIES,"c.industry_cd, c.industry_name AS ten_nganh",c.active_flg = 1,"SELECT c.industry_cd, c.industry_name,active_flg,equity_ticker
 FROM IDS.categories c
 JOIN IDS.company_profiles cp ON c.id = cp.category_l1_id
 WHERE c.active_flg = 1
 ORDER BY c.industry_cd",,"WITH
-- ── 1. THÔNG TIN MÃ CK + GIÁ + NGÀNH + CHỈ SỐ ──────────────────────────
co_phieu AS (
 SELECT
    s.symbol                        AS ma_ck,
    s.FloorCode                     AS floor_code,
    s.stocktype,
  cat.industry_name               AS ten_nganh,  
    CASE s.FloorCode
        WHEN '10' THEN 'HOSE'
        WHEN '02' THEN 'HNX'
        WHEN '04' THEN 'UPCOM'
        WHEN '03' THEN 'FDS'
        WHEN '06' THEN 'CorpBond'
    END                              AS ten_san,
    CASE
        WHEN s.FloorCode IN ('02', '04', '03') 
            THEN DECODE(s.StockType, '4', 'HĐTL') || DECODE(s.underlyingSymbol, 'GB05', 'TPCP', 'GB10', 'TPCP', s.underlyingSymbol)
        ELSE NULL
    END                              AS loai_phai_sinh,
    s.underlyingsymbol               AS San_pham_phai_sinh,
    s.MaturityDate                   AS ngay_dao_han,
    s.reference                      AS gia_tham_chieu,
    s.closePrice                     AS gia_dong_cua,
    s.change                         AS thay_doi_gia,
    CASE
        WHEN s.reference IS NULL OR s.reference = 0 THEN NULL
        ELSE ROUND((s.change / s.reference) * 100, 2)
    END                              AS pct_thay_doi
--    ,mk.indexName                    AS chi_so
--         ROW_NUMBER() OVER (
--                PARTITION BY s.tradingdate, s.symbol
--                ORDER BY s.TRADINGTIME DESC, SEQUENCE ASC 
--            ) AS rn
FROM uat_mdds_stg.tmp_jad_stockinfor_eod s
--LEFT JOIN uat_mdds_stg.JAD_CSIDXINFOR idx
--    ON idx.Symbol       = s.symbol
--   AND date_format (idx.tradingdate , 'yyyyMMdd') = :Ngay_gd
--LEFT JOIN uat_mdds_stg.tmp_JAD_MARKETINFOR_eod mk
--        on mk.marketcode = idx.indexcode
--        AND date_format (mk.tradingdate , 'yyyyMMdd') = :Ngay_gd
LEFT JOIN uat_ids_stg.company_profiles cp
        ON cp.equity_ticker    = s.symbol
        and date_format( cp.ds_snpst_dt, 'yyyyMMdd') = :Ngay_gd
LEFT JOIN uat_ids_stg.categories cat
        ON cat.id           = cp.category_l1_id
        AND cat.active_flg  = 1
        AND date_format( cat.ds_snpst_dt, 'yyyyMMdd') =  :Ngay_gd
WHERE 1=1
  AND date_format(to_date(s.TradingDate, 'yyyy-MM-dd'), 'yyyyMMdd') = :Ngay_gd
  AND s.FloorCode   IN ('10', '02', '04', '03')
  AND  NOT  (
    (s.floorcode = '02'  AND s.stocktype  in (1,4))
    OR
    (s.floorcode = '10' AND s.stocktype = 1)
)
--  AND s.symbol = 'ABC'
--  AND s.STOCKTYPE = '4'
)
--where rn =1,
,so_lenh AS (
    -- HOSE: Market ID thực tế dùng 'STK', 'STO', 'UPX'
    SELECT
    t.SYMBOL                                                                AS symbol,
--    date_format(to_date(t.TRADE_DATE, 'yyyy-MM-dd'), 'yyyyMMdd'),
    SUM(CASE WHEN t.MARKET_ID IN ('STK')
             THEN t.EXECUTION_VOLUME                    ELSE 0 END)        AS tong_kl,
    SUM(CASE WHEN t.MARKET_ID IN ('STK')
             THEN CAST(REPLACE(t.EXECUTION_VALUE, ',', '') AS DECIMAL(38,2))
             ELSE 0 END)                                                    AS tong_gt,
    SUM(CASE WHEN t.MARKET_ID IN ('STK')
                  AND t.BOARD_TYPE IN ('T1','T2','T3','T4','T6')
             THEN t.EXECUTION_VOLUME                    ELSE 0 END)        AS tong_kl_tt,
    SUM(CASE WHEN t.MARKET_ID IN ('STK')
                  AND t.BOARD_TYPE IN ('T1','T2','T3','T4','T6')
             THEN CAST(REPLACE(t.EXECUTION_VALUE, ',', '') AS DECIMAL(38,2))
             ELSE 0 END)                                                                                                      AS tong_gt_tt,
    SUM(CASE WHEN t.MARKET_ID IN ('STK')
                  AND t.BUY_FOREIGNER_INVESTOR_TYPE IN ('10','20')
             THEN t.EXECUTION_VOLUME                    ELSE 0 END)        AS kl_nn_mua,
    SUM(CASE WHEN t.MARKET_ID IN ('STK')
                  AND t.SELL_FOREIGNER_INVESTOR_TYPE IN ('10','20')
             THEN t.EXECUTION_VOLUME                    ELSE 0 END)        AS kl_nn_ban,
    SUM(CASE WHEN t.MARKET_ID IN ('STK')
                  AND t.BUY_FOREIGNER_INVESTOR_TYPE IN ('10','20')
             THEN t.EXECUTION_Value                  ELSE 0 END)        AS gt_nn_mua,
    SUM(CASE WHEN t.MARKET_ID IN ('STK')
                  AND t.SELL_FOREIGNER_INVESTOR_TYPE IN ('10','20')
             THEN t.EXECUTION_Value                    ELSE 0 END)        AS gt_nn_ban
FROM uat_ordertrade_stg.trade_book_hose t
WHERE 1=1
        AND t.MARKET_ID IN ('STK')
--        AND t.BOARD_TYPE IN ('T1','T2','T3','T4','T6')--- NEU LA THOA THUAN
--        and symbol = 'SHB' 
   AND date_format(to_date(t.TRADE_DATE, 'yyyy-MM-dd'), 'yyyyMMdd') = :Ngay_gd
GROUP BY t.SYMBOL
union all 
SELECT
    t.ISSUE_CODE                                                            AS symbol,
    SUM(CASE WHEN t.MARKET_ID IN ('STX','UPX')
             THEN t.TRADE_QUANTITY                                    ELSE 0 END) AS tong_kl,
    SUM(CASE WHEN t.MARKET_ID IN ('STX','UPX')
             THEN CAST(t.TRADE_PRICE AS NUMERIC) * t.TRADE_QUANTITY   ELSE 0 END) AS tong_gt,
    SUM(CASE WHEN t.MARKET_ID IN ('STX','UPX')
                  AND t.BOARD_ID IN ('T1','T2','T3','T4','T6')
             THEN t.TRADE_QUANTITY                                    ELSE 0 END) AS tong_kl_tt,
    SUM(CASE WHEN t.MARKET_ID IN ('STX','UPX')
                  AND t.BOARD_ID IN ('T1','T2','T3','T4','T6')
             THEN CAST(t.TRADE_PRICE AS NUMERIC) * t.TRADE_QUANTITY   ELSE 0 END) AS tong_gt_tt,
    SUM(CASE WHEN t.MARKET_ID IN ('STX','UPX')
                  AND t.BUY_FOREIGN_INVESTOR_TYPE_CODE IN ('10','20')
             THEN t.TRADE_QUANTITY                                    ELSE 0 END) AS kl_nn_mua,
    SUM(CASE WHEN t.MARKET_ID IN ('STX','UPX')
                  AND t.SELL_FOREIGN_INVESTOR_TYPE_CODE IN ('10','20')
             THEN t.TRADE_QUANTITY                                    ELSE 0 END) AS kl_nn_ban,
    SUM(CASE WHEN t.MARKET_ID IN ('STX','UPX')
                  AND t.BUY_FOREIGN_INVESTOR_TYPE_CODE IN ('10','20')
             THEN t.TRADE_QUANTITY  * trade_price                               ELSE 0 END) AS gt_nn_mua,
    SUM(CASE WHEN t.MARKET_ID IN ('STX','UPX')
                  AND t.SELL_FOREIGN_INVESTOR_TYPE_CODE IN ('10','20')
             THEN t.TRADE_QUANTITY * trade_price                                 ELSE 0 END) AS gt_nn_ban
 from uat_ordertrade_stg.trade_book_hnx t
 where 1=1 
--AND t.BOARD_ID IN ('T1','T2','T3','T4','T6')--- NEU LA THOA THUAN
t.MARKET_ID IN ('STX','UPX')
AND t.trade_date  = :Ngay_gd 
group by  t.ISSUE_CODE
),
-- ── 3. GỘP HOSE + HNX THEO MÃ ───────────────────────────────────────────
so_lenh_agg AS (
    SELECT
        symbol,
        SUM(tong_kl)                        AS tong_kl,
        SUM(tong_gt)                        AS tong_gt,
        SUM(tong_kl_tt)                     AS tong_kl_tt,
        SUM(tong_gt_tt)                     AS tong_gt_tt,
        SUM(kl_nn_mua)                      AS kl_nn_mua,
        SUM(kl_nn_ban)                      AS kl_nn_ban,
        SUM(kl_nn_mua) - SUM(kl_nn_ban)    AS klnn_rong,
        SUM(gt_nn_mua)                      AS gt_nn_mua,
        SUM(gt_nn_ban)                      AS gt_nn_ban,
        SUM(gt_nn_mua) - SUM(gt_nn_ban)    AS gtnn_rong
    FROM so_lenh
    GROUP BY symbol
)
-- ── KẾT QUẢ CUỐI ─────────────────────────────────────────────────────────
SELECT
    c.ma_ck,
    c.ten_san,
    c.ten_nganh,
--    c.chi_so,
    c.loai_phai_sinh,
    c.stocktype,
    c.ngay_dao_han,
    :Ngay_gd                            AS ngay_gd,
    c.gia_tham_chieu,
    c.gia_dong_cua,
    c.thay_doi_gia,
    c.pct_thay_doi,
    COALESCE(sl.tong_kl,    0)          AS tong_kl,
    COALESCE(sl.tong_gt,    0)          AS tong_gt,
--    COALESCE(sl.tong_kl_ps, 0)         AS tong_kl_phai_sinh,
--    COALESCE(sl.tong_gt_ps, 0)         AS tong_gt_phai_sinh,
    COALESCE(sl.tong_kl_tt, 0)         AS tong_kl_thoa_thuan,
    COALESCE(sl.tong_gt_tt, 0)         AS tong_gt_thoa_thuan,
        COALESCE(sl.kl_nn_mua,  0)         AS kl_nn_mua,
        COALESCE(sl.kl_nn_ban,  0)         AS kl_nn_ban,
        COALESCE(sl.gt_nn_mua,  0)         AS gt_nn_mua,
        COALESCE(sl.gt_nn_ban,  0)         AS gt_nn_ban,
        COALESCE(sl.gtnn_rong,  0)         AS gtnn_rong,
    COALESCE(sl.klnn_rong,  0)         AS klnn_rong
FROM co_phieu           c
LEFT JOIN so_lenh_agg   sl ON sl.symbol = c.ma_ck
where 1=1
--and c.ten_san = 'HOSE'
--and c.ma_ck = 'ABW'
ORDER BY c.Floor_Code, c.ma_ck;
;",,,,Done,Dữ liệu tĩnh,F
1,,Dashboard thông tin về danh mục chứng khoán theo dạng bảng số liệu,Sàn,,Dashboard,Chiều,TB,Mã CK,MDDS,X,X,,Done,Thông tin thị trường,JAD_STOCKINFOR,floorCode,,"SELECT DISTINCT
    s.FloorCode         AS san,
    CASE s.FloorCode
        WHEN '10' THEN 'HOSE'
        WHEN '02' THEN 'HNX'
        WHEN '04' THEN 'UPCOM'
        WHEN '03' THEN 'FDS'
        WHEN '06' THEN 'CorpBond'
    END                 AS ten_san
FROM JAD_STOCKINFOR s
WHERE s.tradingdate = :ngay_gd;

",,,,,,Done,Dữ liệu tĩnh,F
1,,Dashboard thông tin về danh mục chứng khoán theo dạng bảng số liệu,Chỉ sô,,Dashboard,Chiều,TB,Mã CK,MDDS,X,X,,Done,Thông tin thị trường,JAD_MARKETINFOR,stockType,Join bảng JAD_CSIDXINFOR với JAD_STOCKINFOR qua symbol. Join sang bảng JAD_MARKETINFOR qua JAD_MARKETINFOR .marketcode = JAD_CSIDXINFOR .indexcode,"SELECT s.symbol, idx.indexCode
FROM JAD_STOCKINFOR s
JOIN JAD_CSIDXINFOR idx ON s.symbol = idx.symbol
                    AND s.tradingdate = idx.tradingdate;",,,,,,Done,Dữ liệu tĩnh,F
1,,Dashboard thông tin về danh mục chứng khoán theo dạng bảng số liệu,Loại phái sinh ,,Dashboard,Chiều,TB,Mã CK,MDDS,X,X,,Done,Thông tin thị trường,JAD_STOCKINFOR,,FloorCode='03' (FDS) AND StockType='FU' cho phái sinh,"SELECT
    s.StockType,
     DECODE(si.""""StockType"""", '4', 'HĐTL') || DECODE(si.""""underlyingSymbol"""", 'GB05', 'TPCP', 'GB10', 'TPCP', si.""""underlyingSymbol"""") AS loai_phai_sinh
FROM JAD_STOCKINFOR s
WHERE s.FloorCode IN ('03')
  AND s.tradingdate = :ngay_gd;","- FloorCode='03' (FDS): Hợp đồng phái sinh 
- StockType='FU': 'Hợp đồng tương lai chỉ số'",,,,,Done,Dữ liệu tĩnh,F
1,,Dashboard thông tin về danh mục chứng khoán theo dạng bảng số liệu,Loại chứng khoán,,Dashboard,Chiều,TB,Mã CK,MDDS,X,X,,Done,Thông tin thị trường,JAD_STOCKINFOR,stockType,"CASE
    WHEN s.stocktype = '1'                THEN 'Trái phiếu'
    WHEN s.stocktype = '2'                THEN 'Cổ phiếu'
    WHEN s.stocktype = '3'                THEN 'Chứng chỉ quỹ'
    WHEN s.stocktype IN ('4','5','6')     THEN 'Chứng quyền'
    ELSE 
END AS loai_chung_khoan","SELECT
    s.symbol,
    s.floorcode,
    s.stocktype,
    CASE
        WHEN s.floorcode = 'HNX'  AND s.stocktype = '1'            THEN 'Trái phiếu'
        WHEN s.floorcode = 'HNX'  AND s.stocktype = '2'            THEN 'Cổ phiếu'
        WHEN s.floorcode = 'HNX'  AND s.stocktype = '3'            THEN ''Chứng chỉ quỹ' - HNX không có CCQ
        WHEN s.floorcode = 'HNX'  AND s.stocktype IN ('5','6')     THEN 'chứng quyền'--- HNX không có chứng quyền'
        WHEN s.floorcode = 'HOSE' AND s.stocktype = '1'            THEN 'Trái phiếu' - HOSE không có trái phiếu'
        WHEN s.floorcode = 'HOSE' AND s.stocktype = '2'            THEN 'Cổ phiếu'
        WHEN s.floorcode = 'HOSE' AND s.stocktype = '3'            THEN 'Chứng chỉ quỹ'
        WHEN s.floorcode = 'HOSE' AND s.stocktype = '4'            THEN 'Chứng quyền'
        ELSE 'Không xác định'
    END AS loai_chung_khoan
FROM security_master s;",bổ sung thêm ,,,,,,,F
1,,Dashboard thông tin về danh mục chứng khoán theo dạng bảng số liệu,Phương thức khớp lệnh ( thỏa thuận),,Dashboard,Chiều,TB,Mã CK,CSDLTT,X,X,,Done,Sổ lệnh,TRADE_BOOK_HOSE/ TRADE_BOOK_HNX,Board Type/Board ID,"- TRADE_BOOK_HOSE: 
Board Type in ('T1','T2','T3','T4','T6)
- Trade_HNX: 
Board ID in ('T1','T2','T3','T4','T6)","SELECT DISTINCT
    CASE
        WHEN [Board Type] IN ('T1','T2','T3','T4','T6') THEN 'Thỏa thuận'
    END                     AS phuong_thuc_gd,
    [Board Type]            AS board_type_code
FROM TRADE_BOOK_HOSE
where Trade Date = :ngay_gd
UNION

SELECT DISTINCT
    CASE
        WHEN [Board ID] IN ('T1','T2','T3','T4','T6') THEN 'Thỏa thuận'
    END,
    [Board ID] AS board_type_code
FROM Trade_HNX
where Trade Date = :ngay_gd;",,,,,,Done,Dữ liệu tĩnh,F
