"gold_entity","table_type","status","description","source_table","FKs"
"Calendar Date Dimension","dim","draft","Lịch ngày — năm/quý/tháng/ngày phục vụ slicer và phân tích theo thời gian. Conformed Dim.","Generated","—"
"Securities Practitioner Dimension","dim","draft","NHN — mã định danh, họ tên, ngày sinh, trình độ, quốc tịch, trạng thái hành nghề. SCD2.","Securities Practitioner","—"
"Fact Practitioner License Certificate Snapshot","fact","draft","Periodic Snapshot tháng — 1 CCHN × 1 tháng. Phục vụ KPI đếm CCHN theo trạng thái, loại hình, cấp mới, thu hồi.","Securities Practitioner License Certificate Document / Securities Practitioner License Application","Calendar Date Dimension.Issue Date Dimension Id | Calendar Date Dimension.Snapshot Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id"
"Fact Practitioner Daily Snapshot","fact","draft","Periodic Snapshot ngày — 1 NHN × 1 ngày. Phục vụ KPI đếm tổng NHN, cảnh báo, trình độ, độ tuổi. Slicer năm = filter snapshot cuối năm hoặc ngày mới nhất trong năm.","Securities Practitioner / Securities Practitioner Conduct Violation","Calendar Date Dimension.Snapshot Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id"
"Practitioner 360 Profile","operational","draft","Hồ sơ 360° NHN — latest state. Lookup 1 NHN: họ tên, tuổi, quốc tịch, nơi công tác, CCHN hiện tại, số người liên quan.","Securities Practitioner / Securities Practitioner License Certificate Document / Securities Practitioner Organization Employment Report / Securities Practitioner Related Party",""
"Practitioner Certificate History","operational","draft","Lịch sử cấp CCHN — toàn bộ CCHN per NHN: số CCHN, loại hình, ngày cấp, ngày thu hồi, quyết định cấp, trạng thái.","Securities Practitioner License Certificate Document / Securities Practitioner License Decision Document",""
"Practitioner Employment History","operational","draft","Quá trình hành nghề — toàn bộ lần công tác per NHN: tổ chức, vị trí, từ tháng, đến tháng.","Securities Practitioner Organization Employment Report",""
"Practitioner Violation History","operational","draft","Lịch sử vi phạm — toàn bộ vi phạm per NHN: loại vi phạm, nội dung, trạng thái, số quyết định xử phạt.","Securities Practitioner Conduct Violation / Securities Practitioner License Decision Document",""
"Practitioner Exam History","operational","draft","Lịch sử thi sát hạch — toàn bộ lần thi per NHN: đợt thi, ngày thi, điểm luật, điểm chuyên môn, kết quả, số quyết định công bố.","Securities Practitioner Qualification Examination Assessment Result / Securities Practitioner Qualification Examination Assessment / Securities Practitioner License Decision Document",""
"Practitioner Training History","operational","draft","Lịch sử cập nhật kiến thức — 1 lần đăng ký khóa học per NHN: năm học, kết quả. DRAFT — thiếu Training Hours (xem O_NHNCK_9).","Securities Practitioner Professional Training Class Enrollment / Securities Practitioner Professional Training Class",""
"Practitioner Related Party Profile","operational","draft","Mạng lưới người liên quan — toàn bộ người liên quan per NHN: họ tên, mối quan hệ, nghề nghiệp, nơi làm việc.","Securities Practitioner Related Party",""
"Practitioner Data Explorer","operational","draft","Bảng tra cứu flat CCHN toàn thị trường — 1 CCHN per NHN, toàn bộ trạng thái. Slicer Loại hình và Trạng thái filter tại query time. Dùng cho Tab DATA EXPLORER.","Securities Practitioner License Certificate Document / Securities Practitioner / Securities Practitioner Organization Employment Report",""
