"datamart_entity","table_type","reuse_status","status","description","source_table","FKs"
"Calendar Date Dimension","dim","reuse","draft","Lịch ngày — năm/quý/tháng, conformed dùng chung toàn hệ thống Lakehouse.","cdr_dt",""
"Public Company Dimension","dim","reuse","draft","Chiều công ty đại chúng — mã CK/tên DN/sàn/ngành, reuse từ module GSDC.","public_company",""
"Offering Method Dimension","dim","new","draft","Hình thức chào bán/phát hành — ETL-derived (DISTINCT) từ cột offering_method_code, không lưu trong bảng danh mục Atomic riêng (scheme IDS_SO_OFFERING_METHOD chỉ là metadata mô tả giá trị).","pc_securities_offering_plan",""
"Administrative Procedure Application Status Dimension","dim","new","draft","Trạng thái hồ sơ TTHC + nhóm trạng thái gom 4+1 (REGISTERED/IN_PROGRESS/APPROVED/REJECTED/UNDEFINED) từ 48 giá trị display_text. Grain: 1 trạng thái hồ sơ (content item TrangThaiHoSo).","ap_content_item_index",""
"Administrative Procedure Application Type Dimension","dim","new","draft","Hình thức chào bán theo TTHC — display_text của content item LoaiHoSo. Không reuse Offering Method Dimension (dimension đó phục vụ Nhóm 2/3 từ IDS). Grain: 1 hình thức chào bán.","ap_content_item_index",""
"Fact Securities Offering","fact","new","draft","Hồ sơ chào bán/phát hành CK — tổng giá trị cấp phép/huy động theo ngành, kỳ. Grain: 1 hồ sơ chào bán.","pc_securities_offering / pc_securities_offering_result / public_company","Public Company Dimension.Public Company Dimension Id | Calendar Date Dimension.Calendar Date Dimension Id"
"Fact Securities Offering Plan","fact","new","draft","Giá trị cấp phép theo loại hình chào bán. Grain: 1 đợt × 1 loại hình kế hoạch.","pc_securities_offering_plan / pc_securities_offering","Public Company Dimension.Public Company Dimension Id | Offering Method Dimension.Offering Method Dimension Id | Calendar Date Dimension.Calendar Date Dimension Id"
"Fact Securities Offering Result","fact","new","draft","Giá trị huy động theo loại hình chào bán. Grain: 1 đợt × 1 loại hình kết quả.","pc_securities_offering_result / pc_securities_offering / pc_securities_offering_plan","Public Company Dimension.Public Company Dimension Id | Offering Method Dimension.Offering Method Dimension Id | Calendar Date Dimension.Calendar Date Dimension Id"
"Fact Securities Offering Application Snapshot","fact","partial","draft","Hồ sơ đăng ký chào bán nộp qua TTHC — đếm và phân tích theo nhóm trạng thái xử lý, hình thức, năm. Repoint IDS → TTHC 2026-08-24. Grain: 1 hồ sơ TTHC × 1 ngày snapshot.","ap_content_item_index / ap_document","Calendar Date Dimension.Submission Date Dimension Id | Calendar Date Dimension.Snapshot Date Dimension Id | Administrative Procedure Application Status Dimension.Administrative Procedure Application Status Dimension Id | Administrative Procedure Application Type Dimension.Administrative Procedure Application Type Dimension Id"
"Operational Securities Offering 360 Profile","operational","new","draft","Hồ sơ 360° tra cứu chi tiết từng đợt chào bán — pivot theo loại hình, gồm thông tin tổ chức liên quan. Grain: 1 đợt chào bán × 1 loại hình.","pc_securities_offering / pc_securities_offering_plan / pc_securities_offering_result / public_company",""
