"datamart_entity","table_type","reuse_status","status","description","source_table","FKs"
"Stock Trading Report (HNX01)","operational","new","draft","Báo cáo giao dịch thị trường cổ phiếu HNX theo kỳ — cấu trúc EAV 1 dòng/1 chỉ tiêu","market_index_snapshot / security_trading_snapshot / securities_trade",""
"Derivative Trading Report (HNX03)","operational","new","draft","Báo cáo giao dịch thị trường CKPS (HNX) theo kỳ — cấu trúc EAV 1 dòng/1 chỉ tiêu","security_trading_snapshot / securities_trade",""
"Market Scale Report (HNX04)","operational","new","draft","Báo cáo tổng hợp quy mô TTCK HNX — EAV mở rộng period_type (trong_ky/cong_don)","securities_trade / security_trading_snapshot",""
"Corp Bond Trading Report (HNX07)","operational","new","draft","Báo cáo giao dịch TPDN niêm yết trên HNX theo kỳ — cấu trúc EAV 1 dòng/1 chỉ tiêu","securities_trade",""
"Stock Trading Report (HSX01)","operational","new","draft","Báo cáo giao dịch thị trường cổ phiếu HOSE theo kỳ — cấu trúc EAV 1 dòng/1 chỉ tiêu","market_index_snapshot / securities_trade / security_trading_snapshot",""
"Listing Trading Report (HSX02)","operational","new","draft","Báo cáo niêm yết và giao dịch chứng khoán HOSE kỳ tháng — EAV mở rộng period_type","market_index_snapshot / securities_trade / security_trading_snapshot",""
"Proprietary Trading Report (HSX04)","operational","new","draft","Báo cáo giao dịch tự doanh của CTCK trên HOSE theo kỳ — cấu trúc EAV 1 dòng/1 chỉ tiêu","securities_trade / security_trading_snapshot",""
"CW Outstanding Report (TTLK10)","operational","new","draft","Danh sách chứng quyền đang lưu hành — bảng danh sách (list-detail), 1 dòng/1 mã CW/1 kỳ","sc_disclosure_securities_offering",""
"Offering Result Report (0513.H.UBCK.QG)","operational","new","draft","Báo cáo kết quả thực hiện phát hành chứng khoán — cấu trúc EAV 1 dòng/1 chỉ tiêu","pc_securities_offering_result",""
"Market Summary Report (TK-04.BTC)","operational","new","draft","Báo cáo tổng hợp TTCK theo quý/lũy kế — EAV mở rộng period_marker (Q1/Q2/Q3) + measure_type","securities_trade",""
"Market Annual Report (TK_NienGiam)","operational","new","draft","Niên giám thống kê thị trường chứng khoán theo năm — cấu trúc EAV cơ bản 1 dòng/1 chỉ tiêu/1 năm","market_index_snapshot / securities_trade / security_trading_snapshot / public_company / securities_company / fund_management_company",""
"Market Trading Report (BM030a)","operational","new","draft","Thống kê giao dịch toàn thị trường cổ phiếu theo ngày (cộng gộp HOSE+HNX+UPCoM) — EAV 1 dòng/1 chỉ tiêu","market_index_snapshot / securities_trade",""
"Corp Bond Trading Report (BM030c)","operational","new","draft","Thống kê giao dịch toàn thị trường TPDN niêm yết theo ngày (cộng gộp 2 sàn) — EAV 1 dòng/1 chỉ tiêu","securities_trade",""
"Fund Cert ETF CW Trading Report (BM030e)","operational","new","draft","Thống kê giao dịch thị trường CCQ/ETF/CW toàn thị trường theo ngày — EAV 1 dòng/1 chỉ tiêu","securities_trade / security_trading_snapshot",""
"Foreign Proprietary Trading Report (BM031a)","operational","new","draft","Giao dịch NĐTNN/tự doanh thị trường cổ phiếu theo ngày, breakdown theo chỉ số — EAV 1 dòng/1 chỉ tiêu","securities_trade / index_constituent_snapshot / market_index_snapshot",""
"Gov Bond Foreign Proprietary Trading Report (BM031b)","operational","new","draft","Giao dịch NĐTNN/tự doanh thị trường TPCP theo ngày — EAV 1 dòng/1 chỉ tiêu","securities_trade",""
"Corp Bond Foreign Proprietary Trading Report (BM031c)","operational","new","draft","Giao dịch NĐTNN/tự doanh thị trường TPDN niêm yết theo ngày — EAV 1 dòng/1 chỉ tiêu","securities_trade",""
"Fund Cert ETF CW Foreign Proprietary Trading Report (BM031d)","operational","new","draft","Giao dịch NĐTNN/tự doanh thị trường CCQ/ETF/CW theo ngày — EAV 1 dòng/1 chỉ tiêu","securities_trade / security_trading_snapshot",""
"Derivatives Foreign Proprietary Trading Report (BM031f)","operational","new","draft","Thống kê giao dịch thị trường CKPS (NĐTNN/tự doanh) theo ngày — EAV 1 dòng/1 chỉ tiêu","securities_trade / security_trading_snapshot",""
"Security Trading Detail Report (BM035)","operational","new","draft","Thống kê giao dịch chi tiết theo TỪNG MÃ chứng khoán theo ngày — EAV 1 dòng/1 chỉ tiêu/1 mã CK","securities_trade / security_trading_snapshot",""
"Derivatives Security Detail Report (BM043)","operational","new","draft","Thị trường CKPS chi tiết theo từng mã hợp đồng theo ngày — EAV 1 dòng/1 chỉ tiêu/1 mã CK","securities_trade / security_trading_snapshot",""
