"datamart_entity","table_type","reuse_status","status","description","source_table","FKs"
"Calendar Date Dimension","dim","reuse","draft","Lịch ngày — ETL tự sinh trên mart, phục vụ mọi Fact có chiều thời gian","cdr_dt_dim",""
"Foreign Investor Dimension","dim","new","draft","Thông tin định danh NĐT nước ngoài — grain 1 NĐT NN (SCD4A current-state)","foreign_investor",""
"Geographic Area Dimension","dim","new","draft","Thông tin quốc gia / quốc tịch — grain 1 quốc gia (SCD4A current-state)","geographic_area",""
"Asset Category Dimension","dim","new","draft","Loại hình tài sản đầu tư (5 giá trị) — grain 1 loại tài sản (SCD4A current-state)","TBD",""
"Public Company Dimension","dim","partial","draft","Công ty đại chúng — bảng dùng chung GSDC/QLCB (9 cột có sẵn: PK, BK Public_Company_Code, Equity_Ticker_Symbol, tên, sàn, ngành, trạng thái...). NDTNN chỉ bổ sung 1 cột delta: Classification_Business_Line_Name (đệm tên ngành qua join Business Line Level 1 Code) — grain 1 công ty đại chúng (SCD4A current-state)","public_company / cl_business_line",""
"Securities Dimension","dim","new","draft","Danh mục mã chứng khoán (mã, tên, loại CK, sàn, trạng thái), dùng chung Nhóm 2 (Star Schema FK) + Nhóm 14 (ETL filter nội bộ) — grain 1 mã chứng khoán (SCD4A)","security_trading_snapshot",""
"Market Index Dimension","dim","new","draft","Danh mục chỉ số thị trường (Market Id, Market Code, loại index, mã sản phẩm, trạng thái phiên hiện tại) — grain 1 combo Market_Id + Market_Code (SCD4A)","market_index_snapshot",""
"Fact Securities Foreign Trading Snapshot","fact","reuse","draft","Snapshot giá trị mua/bán của NĐTNN theo mã CK và toàn thị trường theo ngày — grain 1 mã CK × 1 ngày giao dịch","securities_trade","Calendar Date Dimension.Calendar Date Dimension Id | Public Company Dimension.Public Company Dimension Id | Securities Dimension.Securities Dimension Id"
"Fact Market Index Snapshot","fact","new","draft","Snapshot chỉ số thị trường (VN-Index/HNX-Index/UPCOM-Index) cuối phiên theo ngày — grain 1 chỉ số × 1 ngày (ETL lấy bản ghi cuối phiên)","market_index_snapshot","Calendar Date Dimension.Calendar Date Dimension Id | Market Index Dimension.Market Index Dimension Id"
"Operational Foreign Investor 360 Profile","operational","new","draft","Hồ sơ định danh 360° của NĐTNN — grain 1 row = 1 NĐT NN (trạng thái mới nhất)","foreign_investor / custodian_bank",""
"Operational Investor Compliance History","operational","new","draft","Lịch sử tuân thủ và xử phạt của NĐTNN — grain 1 row = 1 hành vi vi phạm × 1 đối tượng bị xử phạt","penalty_decision / pd_subject / pd_subject_behavior / penalty_type",""
"Foreign Investor Trading Statistics Report","fact","new","draft","Báo cáo thống kê GT mua/bán/ròng NĐTNN theo 4 nhóm loại CK (biểu tổng hợp Nhóm 14) — grain 1 row = 1 ngày × 1 Security_Type_Group (STOCK/BOND/FUND_CERT/TOTAL). Fact report append, denormalize — hậu tố _rpt, không có tiền tố fct_","securities_trade / security_trading_snapshot",""
"Foreign Investor Trading Detail Report","fact","new","draft","Báo cáo chi tiết giao dịch NĐTNN theo tài khoản (biểu chi tiết Nhóm 15) — grain 1 row = 1 ngày × 1 Account_Number × 1 Symbol × 1 bên (Buy/Sell). Fact report append, denormalize — hậu tố _rpt, không có tiền tố fct_","securities_trade",""
