"datamart_entity","table_type","reuse_status","status","description","source_table","FKs"
"Calendar Date Dimension","dim","reuse","draft","Lịch ngày — năm/quý/tháng/ngày lễ phục vụ slicer và time-series. Conformed Dim toàn hệ thống","cdr_dt",""
"Business Line Dimension","dim","reuse","draft","Nghiệp vụ kinh doanh chứng khoán (môi giới/bảo lãnh/tư vấn/tự doanh) — Classification Value scheme SCMS_BUSINESS_LINE, reuse cl_dim. KPI liên quan PENDING (xem O_QLKD_20)","cv",""
"Securities Company Dimension","dim","new","draft","CTCK — mã, tên, loại hình, trạng thái. SCD4A (current state)","securities_company / ip_alternative_identification / cl_firm_status",""
"Service Type Dimension","dim","new","draft","Dịch vụ CTCK (ký quỹ/ứng trước/lưu ký/phái sinh) — Atomic entity Classification Service, entity riêng (không phải cv). SCD4A","cl_service",""
"Offering Form Dimension","dim","new","draft","Hình thức tăng vốn — ETL-derived từ Item_Category_Code + Offering_Method LIKE matching trên Securities Company Disclosure Securities Offering. SCD4A","sc_disclosure_securities_offering",""
"Report Indicator Dimension","dim","new","draft","Chỉ tiêu báo cáo BCTC — mã, tên, nhóm. ETL-derived Conformed. SCD4A — PENDING, chờ Atomic entity REPORT_CELL_VALUE (O_QLKD_23)","TBD",""
"Fact Securities Company Status Snapshot","fact","new","draft","Periodic Snapshot tình trạng CTCK — grain 1 CTCK × 1 ngày snapshot","securities_company / ip_alternative_identification / cl_firm_status","Calendar Date Dimension.Calendar Date Dimension Id | Securities Company Dimension.Securities Company Dimension Id"
"Fact Securities Company Service Registration","fact","new","draft","Event đăng ký dịch vụ CTCK — grain 1 CTCK × 1 dịch vụ × 1 lần đăng ký. Dùng chung cho Nhóm 3 (Dịch vụ) và Nhóm 4 (Dịch vụ phái sinh)","sc_licensed_service / cl_service / securities_company","Calendar Date Dimension.Calendar Date Dimension Id | Securities Company Dimension.Securities Company Dimension Id | Service Type Dimension.Service Type Dimension Id"
"Fact Securities Company License Condition Snapshot","fact","new","draft","Periodic Snapshot duy trì điều kiện cấp phép — grain 1 CTCK × 1 loại giấy phép × 1 ngày snapshot. Dùng chung cho Nhóm 5/6/7 (GPHL/KDCKPS/BTTT), phân biệt bằng Indicator_Code","sc_alert_violation / securities_company_alert_indicator / securities_company","Calendar Date Dimension.Calendar Date Dimension Id | Securities Company Dimension.Securities Company Dimension Id"
"Fact Securities Company Capital Raising Event","fact","new","draft","Event nguồn vốn tăng thêm từ chào bán/phát hành — grain 1 đợt chào bán/phát hành hợp lệ (aggregated theo tháng × hình thức tăng vốn, toàn thị trường)","sc_disclosure_securities_offering","Calendar Date Dimension.Calendar Date Dimension Id | Offering Form Dimension.Offering Form Dimension Id"
