id,category,name,description,description_vi,tags,classifications,related_terms,part_of_terms,type_of_terms,secondary_categories,custom_data_type,data_classes
6695,Accounting,Period Balance Type,Distinguishes between Period Balances according to the method by which the amount reflected by the balance is calculated.,[Auto Translated] Phân biệt giữa các Số dư trong kỳ theo phương pháp tính toán số tiền được phản ánh trong số dư.,property,,,Business Core Vocabulary >> Accounting >> Accounting Unit Balance,,Business Scopes >> Investment Banking,Reference Data,
6696,Accounting,Accounting Unit Restricted By Arrangement Relationship Limit Condition,"Identifies a limit imposed on relationships between an Arrangement and an Accounting Unit, where the activity of an Accounting Unit is limited by an Arrangement; for example where a Collateral Arrangement is supported by funds from other Arrangements, restrictions, such as a minimum balance to be maintained, can be placed on the Accounting Units of those Arrangements.","[Auto Translated] Xác định giới hạn áp đặt đối với các mối quan hệ giữa Thỏa thuận và Đơn vị kế toán, trong đó hoạt động của Đơn vị kế toán bị hạn chế bởi Thỏa thuận; ví dụ: khi Thỏa thuận tài sản thế chấp được hỗ trợ bởi nguồn vốn từ các Thỏa thuận khác, các hạn chế, chẳng hạn như số dư tối thiểu cần duy trì, có thể được áp dụng cho Đơn vị kế toán của các Thỏa thuận đó.",property,,Business Core Vocabulary >> Condition >> Accounting Unit Restricted By Arrangement Relationship Limit,Business Core Vocabulary >> Accounting >> Accounting Unit Restriction Arrangement,,,Relationship,
6697,Accounting,Defining Business Direction,"Identifies a Business Direction that provides further information about managing the Accounting Structure; for example, Policy number 50 Defines the Accounting Structure of the Financial Institution, Data Management Procedure number 11234 Defines the instance of the Value ""Involved Party"".","[Auto Translated] Xác định Định hướng Kinh doanh cung cấp thêm thông tin về việc quản lý Cơ cấu Kế toán; ví dụ: Chính sách số 50 Xác định cấu trúc kế toán của tổ chức tài chính, Quy trình quản lý dữ liệu số 11234 Xác định phiên bản của Giá trị ""Bên liên quan"".",property,,Business Core Vocabulary >> Business Direction >> Business Direction,Business Core Vocabulary >> Accounting >> Accounting Structure,,,Relationship,
6698,Accounting,Product Accounting Category Designation Date,The date the Product was assigned to the Accounting Category.,[Auto Translated] Ngày Sản phẩm được chỉ định vào Danh mục Kế toán.,property,,,Business Core Vocabulary >> Accounting >> Product Accounting Category Designation,,Business Scopes >> Alignment Scopes >> EBA DPM Alignment Scope,Date,
6699,Accounting,Accounting Unit Balance Segment,"Distinguishes between Accounting Unit Balances according to the banded range into which the Net Amount falls. For example: Balance Under 1000, Balance From 1001 To 2000, Balance From 2001 To 5000, Balance Greater Than 5000.","[Auto Translated] Phân biệt giữa các Số dư của Đơn vị Kế toán theo phạm vi dải mà Số tiền Ròng rơi vào. Ví dụ: Số dư dưới 1000, Số dư từ 1001 đến 2000, Số dư từ 2001 đến 5000, Số dư lớn hơn 5000.",property,,Business Core Vocabulary >> Group >> Accounting Unit Management Group,Business Core Vocabulary >> Accounting >> Accounting Unit Balance,,Business Scopes >> Customer View; Business Scopes >> Customer View >> Customer Insight - Optimize Offers And Cross Sell,Relationship,
6700,Accounting,Calculation Contribution,"Identifies a code indicating the mathematical operator to be applied to calculate the contribution of the contributing Accounting Unit into the parent Accounting Unit, for rollup or aggregation purposes. For example:'+' Add'-' Subtract'*' Multiply'/' Divide.","[Auto Translated] Xác định mã cho biết toán tử được áp dụng để tính toán phần đóng góp của Đơn vị kế toán đóng góp vào Đơn vị kế toán mẹ, nhằm mục đích tổng hợp hoặc tổng hợp. Ví dụ:'+' Cộng'-' Trừ'*' Nhân'/' Chia.",property,,,Business Core Vocabulary >> Accounting >> Accounting Unit Roll Up,,,Reference Data,
6701,Accounting,Accounting Unit Balance Derivation Type,"Distinguishes between Accounting Units according to how the balances of the Accounting Unit are calculated. For example, computation method(s) used in their derivation or specific date types to which they relate.",[Auto Translated] Phân biệt các Đơn vị kế toán theo cách tính số dư của Đơn vị kế toán. Ví dụ: (các) phương pháp tính toán được sử dụng trong dẫn xuất của chúng hoặc các loại ngày cụ thể mà chúng liên quan.,property,,,Business Core Vocabulary >> Accounting >> Accounting Unit,,,Reference Data,
6702,Accounting,Parent Accounting Category,Identifies the Accounting Category that is the parent topic of this Accounting Structure Item.,[Auto Translated] Xác định Danh mục Kế toán là chủ đề chính của Mục Cấu trúc Kế toán này.,property,,Business Core Vocabulary >> Group >> Accounting Category,Business Core Vocabulary >> Accounting >> Accounting Structure Item,,Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Financial Markets (FM),Relationship,
6703,Accounting,Reconciling Individual,"Identifies an Individual who is responsible for reconciling an Accounting Unit; for example, a Bank Officer reconciles an Account.",[Auto Translated] Xác định Cá nhân chịu trách nhiệm đối chiếu Đơn vị Kế toán; ví dụ: Nhân viên Ngân hàng đối chiếu một Tài khoản.,property,Personal Information,Business Core Vocabulary >> Involved Party >> Individual,Business Core Vocabulary >> Accounting >> Accounting Unit,,,Relationship,
6704,Accounting,Vertical Disallowance Position Amount,"Identifies a small proportion of the matched positions in each time band as defined by the ""maturity"" and ""duration"" methods of calculating the General Market Risk Charge (GMRC) for interest rate related instruments._x000D_
_x000D_
Details provided in paragraph 718 of ""International Convergence of Capital Measurement and Capital Standards - A Revised Framework Comprehensive Version"".","[Auto Translated] Xác định một tỷ lệ nhỏ các vị thế khớp trong từng khoảng thời gian như được xác định bằng phương pháp ""kỳ hạn"" và ""thời hạn"" để tính Phí Rủi ro Thị trường Chung (GMRC) cho các công cụ liên quan đến lãi suất._x000D_
_x000D_
Thông tin chi tiết được cung cấp trong đoạn 718 của ""Sự hội tụ quốc tế về đo lường vốn và tiêu chuẩn vốn - Phiên bản toàn diện về khuôn khổ được sửa đổi"".",property,,,Business Core Vocabulary >> Accounting >> Financial Market Trading Position,,,Monetary Amount,
