id,code,name,description,description_vi,ref_set_id
1,Does Not Use Third Party Relay Service,Does Not Use Third Party Relay Service,Identifies that the Involved Party does not use a Third Party Relay Service.,[Auto] Xác định rằng Bên liên quan không sử dụng Dịch vụ chuyển tiếp của bên thứ ba.,00541f84-7e03-4d97-9892-30a2cfbba5e1
2,Uses Third Party Relay Service,Uses Third Party Relay Service,Identifies that the Involved Party uses a Third Party Relay Service.,[Auto] Xác định rằng Bên liên quan sử dụng Dịch vụ chuyển tiếp của bên thứ ba.,00541f84-7e03-4d97-9892-30a2cfbba5e1
3,Appreciation Potential,Appreciation Potential,"Identifies a Property that supplies its owners with a potential appreciation in value; for example, real estate, art, an antique.","[Auto] Xác định một Tài sản mang lại cho chủ sở hữu nó khả năng tăng giá trị; ví dụ như bất động sản, nghệ thuật, đồ cổ.",009ef08e-0e7e-4b96-9a03-a45f926c6520
4,Non Return Generating Potential,Non Return Generating Potential,"Identifies a Property that does not directly supply its owner with a potential source of earnings; for example, furniture, a transport vehicle.","[Auto] Xác định một Tài sản không trực tiếp cung cấp cho chủ sở hữu của nó nguồn thu nhập tiềm năng; ví dụ như đồ nội thất, phương tiện vận tải.",009ef08e-0e7e-4b96-9a03-a45f926c6520
5,Income Generating Potential,Income Generating Potential,"Identifies a Property that supplies its owner with a potential source of traceable earnings; for example, a property that is leased to a tenant, software for which a license is sold.","[Auto] Xác định một Tài sản cung cấp cho chủ sở hữu nó một nguồn thu nhập tiềm năng có thể theo dõi được; ví dụ: một tài sản được cho người thuê thuê, phần mềm được bán giấy phép.",009ef08e-0e7e-4b96-9a03-a45f926c6520
6,Investment Arrangement Suspended,Investment Arrangement Suspended,The operation of the Investment Arrangement has been suspended.,[Auto] Hoạt động của Thỏa thuận đầu tư đã bị đình chỉ.,01a857f9-b41c-4db8-92c8-2de3a4d3bd14
7,Investment Arrangement Closed,Investment Arrangement Closed,The Investment Arrangement has ceased to be operational.,[Auto] Thỏa thuận đầu tư đã ngừng hoạt động.,01a857f9-b41c-4db8-92c8-2de3a4d3bd14
8,Investment Arrangement Pending Open,Investment Arrangement Pending Open,The Investment Arrangement has been created but is not yet fully functional.,[Auto] Thỏa thuận đầu tư đã được tạo ra nhưng chưa có đầy đủ chức năng.,01a857f9-b41c-4db8-92c8-2de3a4d3bd14
9,Investment Arrangement Archived,Investment Arrangement Archived,The Investment Arrangement is non-operational and archived.,[Auto] Thỏa thuận đầu tư không hoạt động và được lưu trữ.,01a857f9-b41c-4db8-92c8-2de3a4d3bd14
10,Investment Arrangement Open,Investment Arrangement Open,The Investment Arrangement is fully active.,[Auto] Thỏa thuận đầu tư đã có hiệu lực đầy đủ.,01a857f9-b41c-4db8-92c8-2de3a4d3bd14
11,One Non Performing Loan,One Non Performing Loan,Identifies the current status of non performing loan obligations belonging to a customer as being one.,[Auto] Xác định tình trạng hiện tại của việc không thực hiện nghĩa vụ cho vay của khách hàng là một.,026df326-74f2-4dce-8d6b-7d2f36b09d98
12,Multiple Non Performing Loans,Multiple Non Performing Loans,Identifies the current status of non performing loan obligations belonging to a customer as being more than one non performing loan (i.e. the Financial Institution has not been receiving interest repayments that were due from the customer).,[Auto] Xác định tình trạng hiện tại của các nghĩa vụ nợ không thực hiện được của một khách hàng là nhiều hơn một khoản vay không thực hiện được (tức là Tổ chức Tài chính chưa nhận được các khoản trả lãi đến hạn từ khách hàng).,026df326-74f2-4dce-8d6b-7d2f36b09d98
13,No Non Performing Loans,No Non Performing Loans,Identifies the current status of non performing loan obligations belonging to a customer as being none.,[Auto] Xác định tình trạng hiện tại của việc khách hàng không thực hiện nghĩa vụ cho vay là không có nghĩa vụ nào.,026df326-74f2-4dce-8d6b-7d2f36b09d98
14,Manual Execution Activity,Manual Execution Activity,"Identifies an event whose execution requires a significant amount of human intervention or participation; for example, manual delivery of employee paychecks, a Transaction initiated by the presentation of a Check Document.
.","[Auto] Xác định một sự kiện mà việc thực hiện nó đòi hỏi sự can thiệp hoặc tham gia đáng kể của con người; ví dụ: chuyển tiền lương của nhân viên theo cách thủ công, một Giao dịch được bắt đầu bằng việc xuất trình Tài liệu Séc.
.",035c1a9e-2e55-4532-ac27-56d1b0b56012
15,Automated Execution Activity,Automated Execution Activity,"Identifies an event whose execution proceeds with little or no human intervention or participation; for example, automatic notification sent to a branch manager of any transaction involving sums of $10,000 or more (U.S.); a Transaction initiated via an ATM (Automated Teller Machine), a Transaction that adds interest payments to a customer account.","[Auto] Xác định một sự kiện mà việc thực hiện diễn ra với rất ít hoặc không có sự can thiệp hay tham gia của con người; ví dụ: thông báo tự động được gửi tới người quản lý chi nhánh về bất kỳ giao dịch nào liên quan đến số tiền từ 10.000 USD trở lên (Hoa Kỳ); Giao dịch được thực hiện thông qua ATM (Máy rút tiền tự động), Giao dịch bổ sung các khoản thanh toán lãi vào tài khoản khách hàng.",035c1a9e-2e55-4532-ac27-56d1b0b56012
16,Fixed Rate,Fixed Rate,"Identifies a fixed, non-variable rate setting.","[Auto] Xác định cài đặt tỷ lệ cố định, không thay đổi.",0361433d-56d5-49fd-8195-b2317bfabaa6
17,Buydown Rate,Buydown Rate,"Identifies a repayment which is based on an initially low interest rate, rising each year, for a number of specified years until it is changed to a fixed or variable rate loan. For example:

Year 1 = 1% Interest Rate
Year 2 = 2% Interest Rate
Year 3 = 3% Interest Rate
Remaining Term = Variable Rate based on the Prime Rate such as Prime Rate + 2%

Repayments are usually for both Principal and Interest. There is a penalty interest rate for pre-payments (over-payments) occurring during the period of reduced interest rates. A third party, such as a builder, may be involved to subsidize the initial lower rate.","[Auto] Xác định khoản hoàn trả dựa trên lãi suất thấp ban đầu, tăng lên mỗi năm, trong một số năm nhất định cho đến khi nó được thay đổi thành khoản vay có lãi suất cố định hoặc thay đổi. Ví dụ:

Năm 1 = 1% Lãi suất
Năm 2 = Lãi suất 2%
Năm 3 = 3% Lãi suất
Thời hạn còn lại = Lãi suất thay đổi dựa trên Lãi suất cơ bản như Lãi suất cơ bản + 2%

Các khoản hoàn trả thường là cả gốc và lãi. Có một mức lãi suất phạt đối với các khoản trả trước (thanh toán vượt mức) xảy ra trong thời gian lãi suất được giảm. Bên thứ ba, chẳng hạn như nhà xây dựng, có thể tham gia trợ cấp mức giá thấp hơn ban đầu.",0361433d-56d5-49fd-8195-b2317bfabaa6
18,Conversion Rate,Conversion Rate,"Identifies a Fixed Rate which will convert to a Variable Rate (Adjustable Rate) after a fixed period or upon a condition associated with the market rate, For example, a Fixed Rate of 5% is offered on a Mortgage Arrangement for a period of 10 years or until the market base rate rises to 7%; upon the occurrence of one of these conditions, the rate changes to a variable rate, which is 2% over the base lending rate.","[Auto] Xác định Lãi suất cố định sẽ chuyển đổi thành Lãi suất thay đổi (Lãi suất có thể điều chỉnh) sau một khoảng thời gian cố định hoặc theo điều kiện liên quan đến lãi suất thị trường. Ví dụ: Lãi suất cố định 5% được đưa ra trong Thỏa thuận thế chấp trong thời gian 10 năm hoặc cho đến khi lãi suất cơ bản thị trường tăng lên 7%; khi xảy ra một trong những điều kiện này, lãi suất sẽ thay đổi thành lãi suất thay đổi, cao hơn 2% so với lãi suất cho vay cơ bản.",0361433d-56d5-49fd-8195-b2317bfabaa6
19,Variable Rate,Variable Rate,Identifies a changeable rate setting.,[Auto] Xác định cài đặt tỷ lệ có thể thay đổi.,0361433d-56d5-49fd-8195-b2317bfabaa6
20,Insurance,Insurance,"Identifies the insurance activities that provide contracts to secure compensation for loss, damage or injury on payment of premium. For example, life insurance and benefits plans, property and casualty insurance, health insurance, reinsurance, insurance brokerage and advisory services.","[Auto] Xác định các hoạt động bảo hiểm cung cấp hợp đồng để đảm bảo bồi thường cho mất mát, thiệt hại hoặc thương tích khi thanh toán phí bảo hiểm. Ví dụ: bảo hiểm nhân thọ và các chương trình phúc lợi, bảo hiểm tài sản và thương vong, bảo hiểm y tế, tái bảo hiểm, môi giới bảo hiểm và dịch vụ tư vấn.",03bc5932-ff60-4518-b2d3-4d07dbd1faa3
21,Channel Management Allocation Reason,Channel Management Allocation Reason,A member of the dimension member Back Office Allocation Reason. Classifies measures by a cross charge made to the Back Office Allocation Center responsible for the Channel on which the Activity took place.,[Auto] Một thành viên của thành viên thứ nguyên Lý do phân bổ Back Office. Phân loại các biện pháp theo khoản phí chéo được thực hiện cho Trung tâm phân bổ văn phòng hỗ trợ chịu trách nhiệm về Kênh nơi Hoạt động diễn ra.,0495a034-81f0-48c6-a977-5dc1b38f8a1a
22,Communications And Information Technology Allocation Reason,Communications And Information Technology Allocation Reason,A member of the dimension member Back Office Allocation Reason. Classifies measures by a cross charge made to the Back Office Allocation Center responsible for the provision of communications and information technology services to enable the Activity to take place.,[Auto] Một thành viên của thành viên thứ nguyên Lý do phân bổ Back Office. Phân loại các biện pháp theo khoản phí chéo được thực hiện cho Trung tâm phân bổ văn phòng hỗ trợ chịu trách nhiệm cung cấp các dịch vụ công nghệ thông tin và truyền thông để cho phép Hoạt động diễn ra.,0495a034-81f0-48c6-a977-5dc1b38f8a1a
23,Other Back Office Allocation Reason,Other Back Office Allocation Reason,A member of the dimension member Back Office Allocation Reason. Classifies measures by a cross charge made to a Back Office Allocation Center responsible for carrying out other services to enable the Activity to take place.,[Auto] Một thành viên của thành viên thứ nguyên Lý do phân bổ Back Office. Phân loại các biện pháp theo khoản phí chéo được thực hiện cho Trung tâm phân bổ văn phòng hỗ trợ chịu trách nhiệm thực hiện các dịch vụ khác để cho phép Hoạt động diễn ra.,0495a034-81f0-48c6-a977-5dc1b38f8a1a
24,Follow Up,Follow Up,"Identifies an event that is a successor to or continuation of a previous event; for example, delivery of an outstanding portion of an equipment order, Customer inquiry on status of loan application, provision of a quotation for a Customer's Product request, a check that has been re-presented for payment, which was previously canceled due to insufficient funds.","[Auto] Xác định một sự kiện kế tiếp hoặc tiếp nối sự kiện trước đó; ví dụ: giao phần còn thiếu của đơn đặt hàng thiết bị, yêu cầu của Khách hàng về trạng thái đơn xin vay, cung cấp báo giá cho yêu cầu Sản phẩm của Khách hàng, séc đã được xuất trình lại để thanh toán, trước đó đã bị hủy do không đủ tiền.",052b3c1a-3cb5-4e46-b575-107f15d44697
25,Initial,Initial,"Identifies an event that has no direct connection with a previous event; for example, an initial loan inquiry that may lead to a formal application, a Check Presentation that is being executed for the first time .","[Auto] Xác định một sự kiện không có kết nối trực tiếp với sự kiện trước đó; ví dụ: cuộc điều tra khoản vay ban đầu có thể dẫn đến đơn đăng ký chính thức, Bản trình bày séc được thực hiện lần đầu tiên.",052b3c1a-3cb5-4e46-b575-107f15d44697
26,Outward Payment,Outward Payment,Identifies a Transaction that supports Outward Payments.,[Auto] Xác định một Giao dịch hỗ trợ Thanh toán ra nước ngoài.,053be8b5-c76b-4cc7-97d4-29a45c655b92
27,Inward Payment,Inward Payment,Identifies a Transaction that supports Inward Payments.,[Auto] Xác định một Giao dịch hỗ trợ Thanh toán vào.,053be8b5-c76b-4cc7-97d4-29a45c655b92
28,Prospective Household,Prospective Household,Identifies a group of people with the potential to fulfill the house holding criteria of the Financial Institution.,[Auto] Xác định nhóm người có tiềm năng đáp ứng tiêu chí sở hữu nhà của Tổ chức Tài chính.,0544a0b7-07b7-4509-8cbe-22e36caa218b
29,Active Household,Active Household,"Identifies a valid existing group of people who fulfill the house holding criteria of the Financial Institution e.g. a family having the same surname and all members residing at the same address, with this address being used by all family members as their primary contact address.","[Auto] Xác định một nhóm người hiện có hợp lệ đáp ứng các tiêu chí sở hữu nhà của Tổ chức Tài chính, ví dụ: một gia đình có cùng họ và tất cả các thành viên cư trú tại cùng một địa chỉ, với địa chỉ này được tất cả các thành viên trong gia đình sử dụng làm địa chỉ liên hệ chính của họ.",0544a0b7-07b7-4509-8cbe-22e36caa218b
