rdv_id,term_name
20,Insurance Type
31,Product Value Added Flag
36,Syndicate Participation Arrangement Type
40,Mechanical Fault Type
41,Weather Conditions Type
82,External Message Standard Format
84,Item Management Method
85,Encryption Status
100,Special Treatment Reason Type
102,Concession Customer Type
131,Legal Incompetency
132,Legal Competency Type
222,Statutory Regime
245,Commercial Product Type
277,Basel II Securitization Risk Approach
298,Magnetic Material Type
302,Consolidation Method
307,Government Scope
314,Association Type
351,Condition Numeric Range Type
355,Financial Market Instrument Asset Type
360,Accounting Transaction Basis
393,External Account Required Status
411,Line Of Business
479,Tax Advantage Recipient Indicator
480,Rate Range Type
485,Personal Property Purchase Type
550,Roll Determination Type
551,Lien Position
551,Required Collateral Type
582,Broken Covenant Type
666,Duplication Purpose
688,Payment Source Of Cash
692,Standing Order Payment Type
744,Retail Exposure Type
776,Electronic Document Standard
776,Electronic Document Storage Medium Type
776,Electronic Document Encryption
776,Electronic Document Format
776,Electronic Document Version
776,Electronic Standard Version
778,Plastic Item Type
782,Computer Network Mode
793,Elementary Business Operation Purpose
826,Property Origination
855,Insurance Placement Method
855,Indirect Insurance Product Type
870,Market Segmentation Type
912,Double Default Treatment Type
938,Customer Non Performing Loan Status
962,Future Value Type
971,Onboard Remuneration Payment Type
972,Exit Remuneration Payment Type
973,General Remuneration Payment Type
973,General Remuneration Payment Deferral Status
1322,Documentation Access Restriction Type
1322,Documentation Access Enabler Type
1354,Economic Downturn Type
1356,Idiosyncratic Liquidity Risk Scenario Type
1391,Documentation Development Phase
1438,Further Grouping Asset Type
1449,Employee Remuneration Type
1470,Environmental Weather Problem
1470,Environmental Content Problem
1514,Partnership Type
1515,Corporation Type
1527,Equity Collateral Type
1561,Debt Instrument Asset Type
1562,Equity Asset Type
1563,Option Asset Type
1564,Future Asset Type
1565,Referential Asset Type
1565,Other Asset Type
1566,Rights Asset Type
1584,Commodity Collateral Type
1657,Secured Bond Type
1673,Point Balance Type
1674,Period Balance Type
1679,Variable Remuneration Payment Vesting Status
1679,Variable Remuneration Payment Type
1699,Marking To Market Type
1701,Marking To Model Type
1761,Back Office Allocation Reason
1761,Back Office Type
1765,Financial Property Collateral Type
1766,Real Estate Collateral Type
1767,Chattel Collateral Type
1797,Qualifying Corporate Bond Rating Type
1798,Qualifying Covered Bond Rating Type
1834,Property Access Enabler Type
1834,Property Access Restriction Type
1836,Early Amortization Type
1860,Card Scheme Model Type
1869,Financial Institution Participation Type
1920,Security Based Mitigation Type
1974,Negotiated Settlement With Loss Type
1976,Negotiated Settlement Without Loss Type
1995,Secured Arrangement Coverage
1995,Security Legal Enforceability
1995,Secured Arrangement Risk Coverage
1995,Secured Arrangement Type
2015,Involved Party Risk Rating Grade
2015,Basel Risk Exposure Type
2016,Product Credit Exposure Type
2065,Interest Accrual Method
2283,Smoker Substance Type
2283,Individual Smoking Frequency Segment
2299,Funds Transfer Pricing Method
2301,Accounting Calculation Method Type
2303,Fund Share Issue Type
2303,Fund Profit Distribution Policy
2303,Fund Investor Restriction Indicator
2332,Individual Illness Type
2333,Individual Disability Type
2336,Credit Loss Effect Type
2349,Encoding Basis
2349,Transmission Type
2349,Electronic Network Type
2350,Delivery Mode
2350,Delivery Type
2387,Tamper-Evident Signature Type
2388,Not Tamper-Evident Signature Type
2389,Property Restriction Reason
2389,Property Restriction Applicability
2403,Credit Impact Type
2444,Arrangement In Order Duration Range
2446,Arrangement Out Of Order Recurrence Timeframe
2446,Arrangement Past Due Status
2446,Out Of Order Arrangement Status
2464,Restrictive Covenant Type
2497,Financial Legal Status
2497,Financial Viability
2497,Legal Competency Status
2499,Toxic Materials Type
2528,Proportional Insurance Product Type
2529,Non Proportional Insurance Product Type
2566,Card Intelligence
2566,Card Interface Type
2605,Bond Type
2606,Debt Type
2611,Secured Funding Type
2615,Marketable Security Type
2621,Off Balance Sheet Exposure Type
2622,Unsecured Funding Type
2624,Additional Requirements Type
2625,Conduit Type
2767,Not Employed Type
2768,Individual Employment Type
2841,Debt Security Collateral Type
2851,Receivables Relationship Type
2855,Financial Market Offering Declaration Type
2898,Accounting Unit Posting Status
2938,Agency Services Organization Unit Type
2939,Retail Brokerage Organization Unit Type
2940,Trading And Sales Organization Unit Type
2941,Retail Banking Organization Unit Type
2943,Other Financial Line Of Business Type
2945,Payment And Settlement Organization Unit Type
2946,Asset Management Organization Unit Type
2947,Corporate Finance Organization Unit Type
2996,Fundamental Characteristics Type
2997,Market Related Characteristics Type
3007,Specific Risk Type
3008,Incremental Risk Type
3009,General Market Risk Type
3046,Pool Risk Profile
3061,Internal Audience Type
3062,External Audience Type
3073,Single Condition Qualification Type
3073,Single Condition Reference Type
3075,Range Condition Type
3098,Visual Communication Form
3099,Written Communication Form
3141,Cap Price Use
3179,Property Ownership Type
3201,Commitment Exposure Type
3207,Tile Roof Type
3306,Outstanding Business Line Type
3315,Credit Derivative Secured Arrangement Type
3340,Refinance Purpose Type
3347,Asset Acquisition Financing Type
3364,Property Development Phase
3428,Mandate Authority Non Discretionary Type
3434,Residential Property Usage Type
3451,Uncommitted Exposure Communicated Indicator
3479,Sponsorship Source
3500,Unconsolidated Regulatory Capital Coverage
3557,Organization Registration Type
3572,Telephone Medium Type
