bpi_term_id,dimension_id,dimension_name,dimension_tags,bcv_category_id
117181b8-4888-45e5-a285-e43a18e987cb,212fd5a7-f8da-48b2-b101-2cfc198a6188,Transaction Type,property,6462bcb0-3560-48d5-9f4e-406e8375074a
117181b8-4888-45e5-a285-e43a18e987cb,231894d6-930e-43bf-ab1d-7d3c7599a853,Business Activity Occurrence Channel,property,e67ef71d-697b-47ae-aa96-6f24a6b01c3c
117181b8-4888-45e5-a285-e43a18e987cb,3506ea83-d2fc-4d1d-9563-47c8bda4dbb0,Channel Type,property,8a72919e-8c40-4a73-b190-4803deb2160d
117181b8-4888-45e5-a285-e43a18e987cb,4aa61531-2741-44d3-8133-9efc751d1404,Time Period,concept,693a94a1-1c02-4a34-8cde-b45fcbb97626
117181b8-4888-45e5-a285-e43a18e987cb,6ffbf272-aecd-4fe9-afa9-d0207f257f1a,Fee Type,property,a8fe79a1-0f42-4423-adca-3994493a78b3
117181b8-4888-45e5-a285-e43a18e987cb,7989b776-4394-4e84-a394-f5a353c75574,Transaction Allocation Reason,property,6462bcb0-3560-48d5-9f4e-406e8375074a
117181b8-4888-45e5-a285-e43a18e987cb,7ea186f5-c71f-48bf-9658-fcb87d687eb5,Payment Transaction Reason,property,6462bcb0-3560-48d5-9f4e-406e8375074a
117181b8-4888-45e5-a285-e43a18e987cb,978a894d-518c-4f76-bfe0-d5202e2e1a1f,Accounting Unit Balance Time Status,property,e1150d1a-f8ce-4943-a8c9-3959159af5ba
117181b8-4888-45e5-a285-e43a18e987cb,a1c40547-cadc-4bdc-be47-c2f2913b6789,Transaction Initiator Type,property,6462bcb0-3560-48d5-9f4e-406e8375074a
117181b8-4888-45e5-a285-e43a18e987cb,aaf03228-a14c-4c8c-9293-fa8108af4f8f,Allocation Type,property,6462bcb0-3560-48d5-9f4e-406e8375074a
117181b8-4888-45e5-a285-e43a18e987cb,b12bb5b6-b54d-4bb7-aeb6-1b9d13010b76,Reporting Currency,role,693a94a1-1c02-4a34-8cde-b45fcbb97626
117181b8-4888-45e5-a285-e43a18e987cb,caeaa42c-cd23-4d12-a580-47f939b9e560,Cost Allocation Center,property,6462bcb0-3560-48d5-9f4e-406e8375074a
117181b8-4888-45e5-a285-e43a18e987cb,e72b97bc-49cd-445c-bb90-c188c6f9351a,Transaction Book Effect,property,6462bcb0-3560-48d5-9f4e-406e8375074a
117181b8-4888-45e5-a285-e43a18e987cb,ebbdfb79-c559-4b3a-b9ae-2b7ec79737a5,Source Allocation Center,property,6462bcb0-3560-48d5-9f4e-406e8375074a
117181b8-4888-45e5-a285-e43a18e987cb,ebc7c2ad-03c2-4253-9c91-2848859df559,Channel Ownership Type,property,8a72919e-8c40-4a73-b190-4803deb2160d
117181b8-4888-45e5-a285-e43a18e987cb,f277f8c5-26cb-455f-bbe0-f162d582ed15,Measurement Currency,role,693a94a1-1c02-4a34-8cde-b45fcbb97626
1888b823-8412-4eda-bd7c-8f3eb7f04888,064ec6dc-d2e5-4956-9344-960470fd825d,Currency Locale,concept,693a94a1-1c02-4a34-8cde-b45fcbb97626
1888b823-8412-4eda-bd7c-8f3eb7f04888,0c6f28ff-8e9f-49e4-b3e5-e46408a26e23,Product Type,property,ac40c15a-f09d-4ea5-83f2-00a29e43d080
1888b823-8412-4eda-bd7c-8f3eb7f04888,2c920186-bc0f-42c1-a223-24a285ebe545,Currency Zone,property,693a94a1-1c02-4a34-8cde-b45fcbb97626
1888b823-8412-4eda-bd7c-8f3eb7f04888,30f2201e-14ec-41d4-a9ce-02df271f57a6,Currency Group,concept,8a72919e-8c40-4a73-b190-4803deb2160d
1888b823-8412-4eda-bd7c-8f3eb7f04888,41ba810a-fccd-4f6d-b38a-d87e7a84c671,Currency Convertibility,property,693a94a1-1c02-4a34-8cde-b45fcbb97626
1888b823-8412-4eda-bd7c-8f3eb7f04888,4aa61531-2741-44d3-8133-9efc751d1404,Time Period,concept,693a94a1-1c02-4a34-8cde-b45fcbb97626
1888b823-8412-4eda-bd7c-8f3eb7f04888,6b224a40-4d53-49c9-bde8-19fb350df149,Exposure Currency,role,693a94a1-1c02-4a34-8cde-b45fcbb97626
1888b823-8412-4eda-bd7c-8f3eb7f04888,7433ef19-6bb1-4eea-991f-e574677ce330,Organization Unit Function,property,54b9bd8a-ddfb-4512-8d46-e26d2926981e
1888b823-8412-4eda-bd7c-8f3eb7f04888,8a14c947-e699-4e39-a09e-e6e4ce43af39,Currency Risk Rating,concept,8a72919e-8c40-4a73-b190-4803deb2160d
1888b823-8412-4eda-bd7c-8f3eb7f04888,978a894d-518c-4f76-bfe0-d5202e2e1a1f,Accounting Unit Balance Time Status,property,e1150d1a-f8ce-4943-a8c9-3959159af5ba
1888b823-8412-4eda-bd7c-8f3eb7f04888,9dc77405-8721-41fb-aa3b-b7850198fadd,Location,concept,0dd20f21-d0ec-4ae8-a02c-4cd17716f413
1888b823-8412-4eda-bd7c-8f3eb7f04888,a8979a11-b271-4843-a0d7-cc46cfe3e579,Currency,concept,693a94a1-1c02-4a34-8cde-b45fcbb97626
1888b823-8412-4eda-bd7c-8f3eb7f04888,b12bb5b6-b54d-4bb7-aeb6-1b9d13010b76,Reporting Currency,role,693a94a1-1c02-4a34-8cde-b45fcbb97626
1888b823-8412-4eda-bd7c-8f3eb7f04888,d9f9659d-7e08-4039-a5e2-15d72c532e22,Line Of Business Reporting Group,concept,8a72919e-8c40-4a73-b190-4803deb2160d
1888b823-8412-4eda-bd7c-8f3eb7f04888,f277f8c5-26cb-455f-bbe0-f162d582ed15,Measurement Currency,role,693a94a1-1c02-4a34-8cde-b45fcbb97626
1c4b3870-6551-4624-a261-4fbe64ce96af,0c6f28ff-8e9f-49e4-b3e5-e46408a26e23,Product Type,property,ac40c15a-f09d-4ea5-83f2-00a29e43d080
1c4b3870-6551-4624-a261-4fbe64ce96af,4aa61531-2741-44d3-8133-9efc751d1404,Time Period,concept,693a94a1-1c02-4a34-8cde-b45fcbb97626
1c4b3870-6551-4624-a261-4fbe64ce96af,58427363-9739-4557-b122-931586b65456,Asset Dealing Portfolio Segment Type,property,8a72919e-8c40-4a73-b190-4803deb2160d
1c4b3870-6551-4624-a261-4fbe64ce96af,5bc4cbda-7b20-4ce3-ae6b-7b6af8968399,Customer Market Segment,concept,8a72919e-8c40-4a73-b190-4803deb2160d
1c4b3870-6551-4624-a261-4fbe64ce96af,71fd090e-e488-4057-b85d-45b225ae6bd5,Communication Form,property,8d9d994c-aa77-4692-8f6b-d314a5221237
1c4b3870-6551-4624-a261-4fbe64ce96af,7433ef19-6bb1-4eea-991f-e574677ce330,Organization Unit Function,property,54b9bd8a-ddfb-4512-8d46-e26d2926981e
1c4b3870-6551-4624-a261-4fbe64ce96af,978a894d-518c-4f76-bfe0-d5202e2e1a1f,Accounting Unit Balance Time Status,property,e1150d1a-f8ce-4943-a8c9-3959159af5ba
1c4b3870-6551-4624-a261-4fbe64ce96af,9dc77405-8721-41fb-aa3b-b7850198fadd,Location,concept,0dd20f21-d0ec-4ae8-a02c-4cd17716f413
1c4b3870-6551-4624-a261-4fbe64ce96af,adf8af3a-422c-4239-9e1a-349ff7132c10,Customer Relationship Age Segment,concept,8a72919e-8c40-4a73-b190-4803deb2160d
1c4b3870-6551-4624-a261-4fbe64ce96af,b12bb5b6-b54d-4bb7-aeb6-1b9d13010b76,Reporting Currency,role,693a94a1-1c02-4a34-8cde-b45fcbb97626
1c4b3870-6551-4624-a261-4fbe64ce96af,d1df5842-f297-46e9-85be-c6c1b03b00b0,Individual Age Group,concept,8a72919e-8c40-4a73-b190-4803deb2160d
1c4b3870-6551-4624-a261-4fbe64ce96af,d9f9659d-7e08-4039-a5e2-15d72c532e22,Line Of Business Reporting Group,concept,8a72919e-8c40-4a73-b190-4803deb2160d
1c4b3870-6551-4624-a261-4fbe64ce96af,f170bd8b-dce5-4d54-9ae0-cf302464f4d0,Geographic Area,concept,0dd20f21-d0ec-4ae8-a02c-4cd17716f413
1c4b3870-6551-4624-a261-4fbe64ce96af,f277f8c5-26cb-455f-bbe0-f162d582ed15,Measurement Currency,role,693a94a1-1c02-4a34-8cde-b45fcbb97626
1eb8e70c-6cab-4e7c-ae91-0dca1a8adffa,0c6f28ff-8e9f-49e4-b3e5-e46408a26e23,Product Type,property,ac40c15a-f09d-4ea5-83f2-00a29e43d080
1eb8e70c-6cab-4e7c-ae91-0dca1a8adffa,3506ea83-d2fc-4d1d-9563-47c8bda4dbb0,Channel Type,property,8a72919e-8c40-4a73-b190-4803deb2160d
1eb8e70c-6cab-4e7c-ae91-0dca1a8adffa,467002e1-6287-40db-a222-ee061c3cb631,Geographic Area Density Designation,property,0dd20f21-d0ec-4ae8-a02c-4cd17716f413
1eb8e70c-6cab-4e7c-ae91-0dca1a8adffa,4aa61531-2741-44d3-8133-9efc751d1404,Time Period,concept,693a94a1-1c02-4a34-8cde-b45fcbb97626
1eb8e70c-6cab-4e7c-ae91-0dca1a8adffa,5c5f2188-cf10-44d6-b2d0-80fc47e7e36a,Customer Proximity,concept,8a72919e-8c40-4a73-b190-4803deb2160d
1eb8e70c-6cab-4e7c-ae91-0dca1a8adffa,978a894d-518c-4f76-bfe0-d5202e2e1a1f,Accounting Unit Balance Time Status,property,e1150d1a-f8ce-4943-a8c9-3959159af5ba
1eb8e70c-6cab-4e7c-ae91-0dca1a8adffa,9dc77405-8721-41fb-aa3b-b7850198fadd,Location,concept,0dd20f21-d0ec-4ae8-a02c-4cd17716f413
