id,source_category,source_term,relationship_type,target_category,target_term
1,Accounting,Period Balance Type,part_of,Accounting,Accounting Unit Balance
2,Accounting,Accounting Unit Restricted By Arrangement Relationship Limit Condition,related,Condition,Accounting Unit Restricted By Arrangement Relationship Limit
3,Accounting,Accounting Unit Restricted By Arrangement Relationship Limit Condition,part_of,Accounting,Accounting Unit Restriction Arrangement
4,Accounting,Defining Business Direction,related,Business Direction,Business Direction
5,Accounting,Defining Business Direction,part_of,Accounting,Accounting Structure
6,Accounting,Product Accounting Category Designation Date,part_of,Accounting,Product Accounting Category Designation
7,Accounting,Accounting Unit Balance Segment,related,Group,Accounting Unit Management Group
8,Accounting,Accounting Unit Balance Segment,part_of,Accounting,Accounting Unit Balance
9,Accounting,Calculation Contribution,part_of,Accounting,Accounting Unit Roll Up
10,Accounting,Accounting Unit Balance Derivation Type,part_of,Accounting,Accounting Unit
11,Accounting,Parent Accounting Category,related,Group,Accounting Category
12,Accounting,Parent Accounting Category,part_of,Accounting,Accounting Structure Item
13,Accounting,Reconciling Individual,related,Involved Party,Individual
14,Accounting,Reconciling Individual,part_of,Accounting,Accounting Unit
15,Accounting,Vertical Disallowance Position Amount,part_of,Accounting,Financial Market Trading Position
16,Accounting,Shadow Accounting Unit,related,Accounting,Accounting Unit
17,Accounting,Shadow Accounting Unit,part_of,Accounting,Accounting Unit
18,Accounting,Accounting Unit Type,part_of,Accounting,Accounting Unit
19,Accounting,Financial Market Position Denomination Currency,related,Common,Currency
20,Accounting,Financial Market Position Denomination Currency,part_of,Accounting,Financial Market Position
21,Accounting,Future Value Type,part_of,Accounting,Accounting Unit Balance
22,Accounting,Value Asset Effect Type,part_of,Accounting,Accounting Unit Balance
23,Accounting,Product Accounting Category Designation,related,Product,Product
24,Accounting,Product Accounting Category Designation,related,Group,Accounting Category
25,Accounting,Position Calculation Date,part_of,Accounting,Financial Market Position
26,Accounting,Financial Instrument Leg Direction,part_of,Accounting,Financial Market Trading Position
27,Accounting,Asset / Liability Flag,part_of,Accounting,Accounting Structure Item
28,Accounting,Accounting Unit Tracking Financial Market Position,related,Accounting,Accounting Unit
29,Accounting,Accounting Unit Tracking Financial Market Position,part_of,Accounting,Financial Market Position
30,Accounting,Net Position Flag,part_of,Accounting,Financial Market Position
31,Accounting,Net Asset Value,part_of,Investment Management,Investment Fund Analysis
32,Accounting,Net Asset Value,part_of,Accounting,Financial Market Trading Position
33,Accounting,Association Date,part_of,Accounting,Accounting Unit
34,Accounting,Number Of Adjustments,part_of,Accounting,Accounting Unit Balance
35,Accounting,Accounting Structure,related,Accounting,Accounting Structure Item
36,Accounting,Accounting Structure,related,Accounting,Equivalent Accounting Structure
37,Accounting,Accounting Structure,related,Condition,Condition Applies To Accounting Structure
38,Accounting,Accounting Structure,related,Involved Party,Audited Accounting Structure
39,Accounting,Accounting Unit Balance,related,Common,Currency
40,Accounting,Accounting Unit Balance,related,Accounting,Accounting Unit
41,Accounting,Cost Basis Amount,part_of,Accounting,Investment Position
42,Accounting,Equivalent Accounting Unit,related,Accounting,Accounting Unit
43,Accounting,Equivalent Accounting Unit,part_of,Accounting,Accounting Unit
44,Accounting,Accounting Unit Balance Amount,part_of,Accounting,Accounting Unit Balance
45,Accounting,Accounting Structure Utilization Status Date,part_of,Accounting,Accounting Structure
46,Accounting,Cost Of Carry Amount,part_of,Accounting,Financial Market Position
47,Accounting,Accounting Unit Initiator,related,Involved Party,Individual
48,Accounting,Accounting Unit Initiator,part_of,Accounting,Accounting Unit
49,Accounting,Arrangement Accounting Category Life Cycle Status Reason,part_of,Accounting,Arrangement Accounting Category Designation
50,Accounting,Shadow Accounting Unit Flag,part_of,Accounting,Accounting Unit
51,Accounting,Accounting Unit Audited Flag,part_of,Accounting,Accounting Unit
52,Accounting,Position Quantity,part_of,Asset & Liability Management,Positions Analysis
53,Accounting,Position Quantity,part_of,Accounting,Financial Market Position
54,Accounting,Product Accounting Category Designation Purpose,part_of,Accounting,Product Accounting Category Designation
55,Accounting,Initial Product Accounting Category,related,Group,Accounting Category
56,Accounting,Initial Product Accounting Category,part_of,Accounting,Product Accounting Category Designation
57,Accounting,Financial Market Trading Position Type,part_of,Accounting,Financial Market Trading Position
58,Accounting,Clean Position Flag,part_of,Accounting,Financial Market Position
59,Accounting,Arrangement Accounting Category Designation Purpose,part_of,Accounting,Arrangement Accounting Category Designation
60,Accounting,Financial Market Position,related,Accounting,Covered Financial Market Position
61,Accounting,Financial Market Position,related,Accounting,Financial Market Position Underlying Position
62,Accounting,Financial Market Position,related,Product,Financial Market Instrument Tracking Financial Market Position
63,Accounting,Financial Market Position,related,Accounting,Covering Financial Market Position
64,Accounting,Financial Market Position,related,Involved Party,Financial Market Position Assessment Issuer
65,Accounting,Financial Market Position,related,Accounting,Hedged Financial Market Position
66,Accounting,Offsetting Accounting Unit,related,Accounting,Accounting Unit
67,Accounting,Offsetting Accounting Unit,part_of,Accounting,Accounting Unit
68,Accounting,Accounting Unit Balance Period Type,part_of,Accounting,Accounting Unit Balance
69,Accounting,Investment Income Received,part_of,Property,Financial Market Instrument Holding
70,Accounting,Financial Market Position Holding Type,part_of,Accounting,Financial Market Trading Position
71,Accounting,Accounting Unit Life Cycle Status Date,part_of,Accounting,Accounting Unit
72,Accounting,Accumulating Accounting Unit,related,Accounting,Accounting Unit
73,Accounting,Accumulating Accounting Unit,part_of,Accounting,Accounting Unit Roll Up
74,Accounting,Covering Financial Market Position Type,part_of,Accounting,Financial Market Position Cover
75,Accounting,Holding Number Of Periods,part_of,Accounting,Financial Market Position
76,Accounting,Marking To Model Type,part_of,Accounting,Financial Market Position
77,Accounting,Accounting Structure Item Utilization Status Date,part_of,Accounting,Accounting Structure Item
78,Accounting,Available For Lending Quantity,part_of,Accounting,Security Lending Position
79,Accounting,Available For Lending Quantity,part_of,Investment Management,Securities Available For Lending
80,Accounting,Arrangement Accounting Category Designation,related,Arrangement,Arrangement
81,Accounting,Arrangement Accounting Category Designation,related,Group,Accounting Category
82,Accounting,Product Accounting Category Life Cycle Status,part_of,Accounting,Product Accounting Category Designation
83,Accounting,Accounting Structure Identifier,part_of,Accounting,Accounting Structure
84,Accounting,Allocated Accounting Unit,related,Accounting,Accounting Unit
85,Accounting,Allocated Accounting Unit,part_of,Accounting,Accounting Unit
86,Accounting,Borrowing Position Amount,part_of,Accounting,Security Lending Position
87,Accounting,Borrowing Position Amount,part_of,Investment Management,Securities Available For Lending
88,Accounting,Accounting Unit Denomination Currency,related,Common,Currency
89,Accounting,Accounting Unit Denomination Currency,part_of,Accounting,Accounting Unit
90,Accounting,Accounting Structure Item,related,Accounting,Accounting Unit
91,Accounting,Accounting Structure Item,related,Group,Accounting Category
92,Accounting,Accounting Structure Item,related,Accounting,Accounting Structure
