attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
Organization Unit Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Organization"" (Involved Party). Gộp Units + Departments theo quy tắc HLD — cấu trúc tương tự, số trường ít."
Organization Unit Code,Mã đơn vị/phòng ban. BK,Text,false,false,draft,NHNCK.qlnhn.Units.UnitCode|NHNCK.qlnhn.Departments.DepartmentCode,BK chính. Unit ← UnitCode; Department ← DepartmentCode.
Source System Code,Mã nguồn dữ liệu. Giá trị: NHNCK.Units hoặc NHNCK.Departments,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode theo bảng nguồn gốc.
Organization Unit Type Code,Phân loại cấp (Đơn vị / Phòng ban),Classification Value,false,false,draft,,Scheme: ORGANIZATION_UNIT_TYPE. ETL derive: UNIT hoặc DEPARTMENT.
Organization Unit Name,Tên đơn vị/phòng ban,Text,true,false,draft,NHNCK.qlnhn.Units.UnitName|NHNCK.qlnhn.Departments.DepartmentName,Unit ← UnitName; Department ← DepartmentName.
Organization Unit Description,Mô tả,Text,true,false,draft,NHNCK.qlnhn.Units.Description|NHNCK.qlnhn.Departments.Description,
Parent Organization Unit Id,FK self-referencing — đơn vị cha,Surrogate Key,true,false,draft,NHNCK.qlnhn.Departments.UnitId,FK target: Regulatory Authority Organization Unit.Organization Unit Id. Self-referencing. Department → parent Unit. Unit → NULL.
Parent Organization Unit Code,Mã đơn vị cha,Text,true,false,draft,NHNCK.qlnhn.Departments.UnitId,FK target: Regulatory Authority Organization Unit.Organization Unit Code. Pair with Parent Organization Unit Id.
Organization Unit Status Code,Trạng thái,Classification Value,true,false,draft,NHNCK.qlnhn.Units.Status|NHNCK.qlnhn.Departments.Status,Scheme: ORGANIZATION_UNIT_STATUS.
Sort Order,Thứ tự sắp xếp,Small Counter,true,false,draft,NHNCK.qlnhn.Units.SortOrder|NHNCK.qlnhn.Departments.SortOrder,
