attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
Employment Status Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Individual Employment Status"" (Involved Party)."
Employment Status Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.Id,BK chính.
Source System Code,Mã nguồn dữ liệu. Giá trị: NHNCK.ProfessionalWorkHistories,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.
Practitioner Id,FK đến Securities Practitioner,Surrogate Key,false,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.ProfessionalId,FK target: Securities Practitioner.Practitioner Id.
Practitioner Code,Mã người hành nghề,Text,false,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.ProfessionalId,FK target: Securities Practitioner.Practitioner Code. Pair with Practitioner Id.
Securities Organization Id,FK đến tổ chức (Nhóm E),Surrogate Key,true,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.OrganizationId,FK target: Securities Organization Reference.Securities Organization Reference Id.
Securities Organization Code,Mã tổ chức,Text,true,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.OrganizationId,FK target: Securities Organization Reference.Securities Organization Reference Code. Pair with Securities Organization Id.
License Certificate Document Id,FK đến chứng chỉ,Surrogate Key,true,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.CertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Id.
License Certificate Document Code,Mã chứng chỉ,Text,true,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.CertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Code. Pair with License Certificate Document Id.
Position Name,Chức vụ,Text,true,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.Position,Nguồn text tự do (không FK → Positions). Suffix Name.
Department Name,Phòng ban,Text,true,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.Department,Text tự do. Suffix Name.
Employment Start Date,Từ ngày,Date,true,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.StartDate,"BCV: ""Individual Employment Status Date""."
Employment End Date,Đến ngày,Date,true,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.EndDate,NULL = đang làm việc.
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.qlnhn.ProfessionalWorkHistories.CreatedAt,
