bcv_core_object,silver_entity,silver_table,silver_attribute,silver_column,description,data_domain,data_type,nullable,is_primary_key,source_system,source_table,source_column,comment,classification_context,etl_derived_value
Arrangement,Disclosure Authorization,dscl_ahr,Disclosure Authorization Id,dscl_ahr_id,Khóa đại diện cho ủy quyền CBTT.,Surrogate Key,string,FALSE,TRUE,FIMS,AUTHOANNOUNCE,,PK surrogate.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Disclosure Authorization Code,dscl_ahr_code,Mã ủy quyền CBTT. Map từ PK bảng nguồn.,Text,string,FALSE,FALSE,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.id,BK chính.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Source System Code,src_stm_code,Mã nguồn dữ liệu.,Classification Value,string,FALSE,FALSE,FIMS,AUTHOANNOUNCE,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Disclosure Representative Id,dscl_rprs_id,FK đến người đại diện CBTT được ủy quyền.,Surrogate Key,string,FALSE,FALSE,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.InfoDiscRepresId,FK target: Disclosure Representative.Disclosure Representative Id.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Disclosure Representative Code,dscl_rprs_code,Mã người đại diện CBTT được ủy quyền.,Text,string,FALSE,FALSE,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.InfoDiscRepresId,Lookup pair: Disclosure Representative.Disclosure Representative Code. Pair with Disclosure Representative Id.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Relationship Type Code,rltnp_tp_code,Loại quan hệ ủy quyền. Dữ liệu lấy từ trường ID của bảng RELATIONSHIP.,Classification Value,string,TRUE,FALSE,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.RelationshipId,Scheme: FIMS_RELATIONSHIP_TYPE. Bảng RELATIONSHIP chỉ có cột Id — cần bổ sung cấu trúc.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Related Properties Code,rel_properties_code,Hình thức liên quan trong ủy quyền. Dữ liệu lấy từ trường ID của bảng RELATEDPROPERTIES.,Classification Value,string,TRUE,FALSE,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.RelatedPropertiesId,Scheme: FIMS_RELATED_PROPERTIES.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Effective Start Date,eff_strt_dt,Ngày bắt đầu có hiệu lực ủy quyền.,Date,date,TRUE,FALSE,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.SDate,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Effective End Date,eff_end_dt,Ngày kết thúc hiệu lực ủy quyền.,Date,date,TRUE,FALSE,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.EDate,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Created By,crt_by,Người tạo bản ghi.,Text,string,TRUE,FALSE,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.CreatedBy,Mã người dùng hệ thống — denormalized.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Created Timestamp,crt_tms,Ngày tạo bản ghi.,Timestamp,timestamp,TRUE,FALSE,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.DateCreated,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Updated Timestamp,udt_tms,Ngày cập nhật bản ghi.,Timestamp,timestamp,TRUE,FALSE,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.DateModified,,Source System Code = 'FIMS_AUTHOANNOUNCE',
