Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
risk_indicator_category,id,Primary key,PK,
risk_indicator_category,set_code,"Bộ chỉ tiêu
1=Trong nước
2=Quốc tế",,
risk_indicator_category,category_code,"Mã nhóm (VD: MACRO, MONETARY, STOCK_MARKET)",,
risk_indicator_category,category_name,Tên nhóm (VD: Yếu tố vĩ mô),,
risk_indicator_category,status,"0=Không hoạt động
1=Hoạt động",,
risk_indicator_category,created_at,Ngày tạo,,
risk_indicator_category,updated_at,Ngày sửa cuối,,
risk_indicator_category,created_by_id,User_id người tạo,,FK suy luận → system_user.id
risk_indicator_category,updated_by_id,User_id người cập nhật,,FK suy luận → system_user.id
risk_indicator_category,created_by_name,Tên người tạo,,
risk_indicator_category,updated_by_name,Tên người cập nhật,,
risk_indicator_category,deleted,"Soft delete: 0=Active, 1=Deleted",,
risk_indicator,id,Primary key,PK,
risk_indicator,indicator_code,"Mã chỉ tiêu (VD: GDP_VN, CPI_VN, VNINDEX, CPI_US, DXY)",,
risk_indicator,indicator_name,"Tên chỉ tiêu (VD: GDP, CPI, Chỉ số VNIndex, Lạm phát Mỹ)",,
risk_indicator,set_code,"Bộ chỉ tiêu
1=Trong nước
2=Quốc tế",,
risk_indicator,category_id,Nhóm chỉ tiêu (VD: Yếu tố vĩ mô),FK,FK → risk_indicator_category.id
risk_indicator,unit_code,"Đơn vị mặc định 
1=%
2=Điểm
3=Tỷ VND
4=Triệu USD
5=Hợp đồng
6=Cổ phiếu
7=Công ty
8=VND
9=Số tài khoản
10=Đơn vị tính",,
risk_indicator,source_code,"Nguồn mặc định
1=Investing
2=Tổng cục Thống kê
3=Ngân hàng Nhà nước
4=Nội bộ
5=HNX
6=VSDC
(Investing chỉ dùng cho chỉ tiêu quốc tế)",,
risk_indicator,period_type,"Tần suất: 1=Ngày, 2=Tháng, 3=Quý, 4=Năm",,
risk_indicator,status,"0=Không hoạt động
1=Hoạt động",,
risk_indicator,last_sync_time,Lần sync gần nhất,,
risk_indicator,display_order,Thứ tự hiển thị của chỉ tiêu,,
risk_indicator,is_display,"Có hiển thị trên màn hình không
0=Không
1=Có",,
risk_indicator,created_at,Ngày tạo,,
risk_indicator,updated_at,Ngày sửa cuối,,
risk_indicator,created_by_id,User_id người tạo,,FK suy luận → system_user.id
risk_indicator,updated_by_id,User_id người cập nhật,,FK suy luận → system_user.id
risk_indicator,created_by_name,Tên người tạo,,
risk_indicator,updated_by_name,Tên người cập nhật,,
risk_indicator,deleted,Soft delete,,
risk_indicator_custom,id,Primary key,PK,
risk_indicator_custom,indicator_name,"Tên chỉ tiêu (VD: GDP, CPI, Chỉ số VNIndex, Lạm phát Mỹ)",,
risk_indicator_custom,unit_code,"Đơn vị mặc định 
1=%
2=Điểm
3=Tỷ VND
4=Triệu USD
5=Hợp đồng
6=Cổ phiếu
7=Công ty
8=VND
9=Số tài khoản
10=Đơn vị tính",,
risk_indicator_custom,source_code,Nguồn cảnh báo,,
risk_indicator_custom,period_type,"Tần suất: 1=Ngày, 2=Tháng, 3=Quý, 4=Năm",,
risk_indicator_custom,status,"0=Không hoạt động
1=Hoạt động",,
risk_indicator_custom,created_at,Ngày tạo,,
risk_indicator_custom,updated_at,Ngày sửa cuối,,
risk_indicator_custom,created_by_id,User_id người tạo,,FK suy luận → system_user.id
risk_indicator_custom,updated_by_id,User_id người cập nhật,,FK suy luận → system_user.id
risk_indicator_custom,created_by_name,Tên người tạo,,
risk_indicator_custom,updated_by_name,Tên người cập nhật,,
risk_indicator_custom,deleted,Soft delete,,
risk_indicator_value,id,Primary key,PK,
risk_indicator_value,indicator_id,Chỉ tiêu,FK,FK → risk_indicator.id
risk_indicator_value,period_type,"Kỳ dữ liệu: 1=Ngày, 2=Tháng, 3=Quý, 4=Năm",,
risk_indicator_value,period_value,"Lưu giá trị dành cho trường hợp period_type = Tháng, Quý. 
Dựa vào dữ liệu của period_date.
Vd:
period_type=Tháng
period_date = 12/03/2026 thì period_value = 3
Vd:
period_type=Quý
period_date=12/03/2026
thì period_value = 1
(Quý 1: Tháng 1, Tháng 2, Tháng 3.
Quý 2: Tháng 4, Tháng 5, Tháng 6.
Quý 3: Tháng 7, Tháng 8, Tháng 9.
Quý 4: Tháng 10, Tháng 11, Tháng 12
)",,
risk_indicator_value,period_year,Năm lấy theo period_date,,
risk_indicator_value,period_date,Ngày đại diện cho kỳ,,
risk_indicator_value,period_label,"Chuỗi hiển thị kỳ (VD: 2024-01, 2024-Q1, 2024)",,
risk_indicator_value,value,Giá trị chỉ tiêu tại kỳ này,,
risk_indicator_value,unit_code,"Đơn vị 
1=%
2=Điểm
3=Tỷ VND
4=Triệu USD
5=Hợp đồng
6=Cổ phiếu
7=Công ty
8=VND
9=Số tài khoản 
10=Đơn vị tính",,
risk_indicator_value,source_code,"Nguồn
1=Investing
2=Tổng cục Thống kê
3=Ngân hàng Nhà nước
4=Nội bộ
5=HNX
6=VSDC
(Investing chỉ dùng cho chỉ tiêu quốc tế)",,
risk_indicator_value,data_origin,"Nguồn gốc: 1=API CSDL tập trung, 2=User chỉnh sửa",,
risk_indicator_value,cumulative_value,Giá trị luỹ kế,,
risk_indicator_value,created_at,Ngày tạo,,
risk_indicator_value,updated_at,Ngày sửa cuối,,
risk_indicator_value,created_by_id,User_id người tạo,,FK suy luận → system_user.id
risk_indicator_value,updated_by_id,User_id người cập nhật,,FK suy luận → system_user.id
risk_indicator_value,created_by_name,Tên người tạo,,
risk_indicator_value,updated_by_name,Tên người cập nhật,,
risk_indicator_value,deleted,Soft delete,,
risk_indicator_value_history,id,Primary key,PK,
risk_indicator_value_history,indicator_id,Chỉ tiêu,FK,FK → risk_indicator.id
risk_indicator_value_history,old_value,Giá trị cũ (null nếu là tạo mới),,
risk_indicator_value_history,new_value,Giá trị mới (null nếu là xóa),,
risk_indicator_value_history,unit_code,"Đơn vị 
1=%
2=Điểm
3=Tỷ VND
4=Triệu USD
5=Hợp đồng
6=Cổ phiếu
7=Công ty
8=VND
9=Số tài khoản 
10=Đơn vị tính",,
risk_indicator_value_history,source_code,"Nguồn
1=Investing
2=Tổng cục Thống kê
3=Ngân hàng Nhà nước
4=Nội bộ
5=HNX
6=VSDC
(Investing chỉ dùng cho chỉ tiêu quốc tế)",,
risk_indicator_value_history,data_origin,"Nguồn gốc dữ liệu sau thay đổi: 
1=API CSDL tập trung 2=User chỉnh sửa",,
risk_indicator_value_history,change_type,"Loại thay đổi: SYNC
UPDATE",,
risk_indicator_value_history,change_by_id,Người thực hiện (user id),,FK suy luận → system_user.id
risk_indicator_value_history,change_by_name,Tên người thực hiện,,
risk_indicator_value_history,change_at,Thời điểm ghi nhận thay đổi,,
risk_indicator_value_history,created_at,Ngày tạo,,
risk_indicator_value_history,updated_at,Ngày sửa cuối,,
risk_indicator_value_history,created_by_id,User_id người tạo,,FK suy luận → system_user.id
risk_indicator_value_history,updated_by_id,User_id người cập nhật,,FK suy luận → system_user.id
risk_indicator_value_history,created_by_name,Tên người tạo,,
risk_indicator_value_history,updated_by_name,Tên người cập nhật,,
risk_indicator_value_history,deleted,Soft delete,,
risk_indicator_schedule,id,Primary key,PK,
risk_indicator_schedule,indicator_id,Chỉ tiêu (1-1),FK,FK → risk_indicator.id
risk_indicator_schedule,frequency_type,"1=Giờ, 2=Ngày, 3=Tháng, 
4=Quý, 5=Năm",,
risk_indicator_schedule,frequency_value,Mỗi bao nhiêu đơn vị (VD: mỗi 2 ngày),,
risk_indicator_schedule,start_time,Ngày giờ bắt đầu chạy,,
risk_indicator_schedule,next_run_time,Lịch chạy tiếp theo (auto-calculated),,
risk_indicator_schedule,last_run_time,Lần chạy gần nhất,,
risk_indicator_schedule,cron_expression,Quartz cron,,
risk_indicator_schedule,is_enabled,0=Không hoạt động 1=Hoạt động,,
risk_indicator_schedule,total_runs,Số lần đã chạy (thống kê),,
risk_indicator_schedule,last_status,SUCCESS/FAILED,,
risk_indicator_schedule,last_error,Lỗi lần chạy gần nhất (nếu có),,
risk_indicator_schedule,created_at,Ngày tạo,,
risk_indicator_schedule,updated_at,Ngày cập nhật,,
risk_indicator_schedule,created_by_id,User ID người tạo,,FK suy luận → system_user.id
risk_indicator_schedule,updated_by_id,User ID người cập nhật,,FK suy luận → system_user.id
risk_indicator_schedule,created_by_name,Tên người tạo,,
risk_indicator_schedule,updated_by_name,Tên người cập nhật,,
risk_indicator_schedule,deleted,Soft delete,,
risk_report_type,id,Primary key,PK,
risk_report_type,code,Mã loại báo cáo (VD: MARKET_STATUS_PERIOD),,
risk_report_type,name,Tên loại báo cáo (VD: Báo cáo nhanh hàng tháng),,
risk_report_type,description,Mô tả chi tiết,,
risk_report_type,template_content,Nội dung template báo cáo (Word/HTML) chứa các placeholder theo cú pháp {{PLACEHOLDER_CODE}},,
risk_report_type,display_order,Thứ tự hiển thị của báo cáo,,
risk_report_type,is_active,"0=Không hoạt động
1=Hoạt động",,
risk_report_type,created_at,Ngày tạo,,
risk_report_type,updated_at,Ngày sửa cuối,,
risk_report_type,created_by_id,User_id người tạo,,FK suy luận → system_user.id
