STT,Tên bảng,Ý nghĩa bảng
1,BATCH_JOB_EXECUTION,Spring Batch — bảng kỹ thuật hệ thống (out_of_scope)
2,BATCH_JOB_EXECUTION_CONTEXT,Spring Batch — bảng kỹ thuật hệ thống (out_of_scope)
3,BATCH_JOB_EXECUTION_PARAMS,Spring Batch — bảng kỹ thuật hệ thống (out_of_scope)
4,BATCH_JOB_INSTANCE,Spring Batch — bảng kỹ thuật hệ thống (out_of_scope)
5,BATCH_STEP_EXECUTION,Spring Batch — bảng kỹ thuật hệ thống (out_of_scope)
6,BATCH_STEP_EXECUTION_CONTEXT,Spring Batch — bảng kỹ thuật hệ thống (out_of_scope)
7,DATABASECHANGELOG,Liquibase — bảng kỹ thuật hệ thống (out_of_scope)
8,DATABASECHANGELOGLOCK,Liquibase — bảng kỹ thuật hệ thống (out_of_scope)
9,EXPORT_FILE,Xuất file — bảng kỹ thuật hệ thống (out_of_scope)
10,PERMISSION_GROUP,Nhóm quyền
11,PERMISSION_GROUP_INDICATOR,Phân quyền chỉ tiêu theo nhóm quyền
12,PERMISSION_GROUP_USER,Phân quyền người dùng theo nhóm quyền
13,QRTZ_BLOB_TRIGGERS,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
14,QRTZ_CALENDARS,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
15,QRTZ_CRON_TRIGGERS,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
16,QRTZ_FIRED_TRIGGERS,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
17,QRTZ_JOB_DETAILS,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
18,QRTZ_LOCKS,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
19,QRTZ_PAUSED_TRIGGER_GRPS,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
20,QRTZ_SCHEDULER_STATE,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
21,QRTZ_SIMPLE_TRIGGERS,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
22,QRTZ_SIMPROP_TRIGGERS,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
23,QRTZ_TRIGGERS,Quartz — bảng kỹ thuật hệ thống (out_of_scope)
24,RISK_ALERT,Bản ghi cảnh báo thực tế được kích hoạt khi chỉ tiêu vượt ngưỡng
25,RISK_ALERT_CONFIG,Cấu hình ngưỡng cảnh báo và người xử lý theo từng chỉ tiêu
26,RISK_ALERT_HISTORY,Lịch sử xử lý cảnh báo theo dòng thời gian
27,RISK_ALERT_RESOLUTION,Bản ghi xử lý chi tiết cho cảnh báo
28,RISK_ALERT_RESOLUTION_FILE,File đính kèm theo giải trình cảnh báo
29,RISK_INDICATOR,Danh mục chỉ tiêu tài chính (trong nước & quốc tế)
30,RISK_INDICATOR_CATEGORY,"Nhóm chỉ tiêu trong 1 bộ (Yếu tố vĩ mô, Yếu tố tiền tệ, Thị trường cổ phiếu, …)"
31,RISK_INDICATOR_CUSTOM,Chỉ tiêu tự tạo
32,RISK_INDICATOR_DATA_PERMISSION,Phân quyền xem/sửa dữ liệu chỉ tiêu theo user (bảng mới so với khảo sát trước)
33,RISK_INDICATOR_SCHEDULE,Cấu hình job đồng bộ chỉ tiêu
34,RISK_INDICATOR_VALUE,Số liệu hiện tại của chỉ tiêu theo từng kỳ (ngày/tháng/quý/năm)
35,RISK_INDICATOR_VALUE_HISTORY,Lịch sử thay đổi số liệu chỉ tiêu (tự động và thủ công)
36,RISK_MARKET_REPORT,Báo cáo thị trường theo kỳ (bảng mới so với khảo sát trước)
37,RISK_MARKET_REPORT_FILE,File đính kèm báo cáo thị trường (bảng mới so với khảo sát trước)
38,RISK_MARKET_REPORT_TYPE,Danh mục loại báo cáo thị trường (bảng mới so với khảo sát trước)
39,RISK_NOTIFICATION,Lưu trữ thông báo
40,RISK_REPORT_FILE,File đính kèm báo cáo
41,RISK_REPORT_TYPE,Danh mục loại báo cáo
42,RISK_REPORT_UPLOAD_BATCH,Lượt upload file
43,USER_TABLE_CONFIG,Cấu hình hiển thị bảng/tab theo từng user (bảng mới so với khảo sát trước)
