STT,Tên bảng,Ý nghĩa bảng
1,CAU_HINH_GOI_TIN,Lưu các thông tin về cấu hình gói tin trao đổi giữa UBCKNN và Cục Thuế
2,CHUCNANG,Lưu các thông tin danh sách các menu hệ thống
3,DM_CHUCVU,Lưu các thông tin về danh mục chức vụ
4,DM_DON_VI,Lưu các thông tin về danh mục đơn vị
5,HT_THAM_SO,Lưu các thông tin về tham số hệ thống
6,NGUOIDUNG,Lưu các thông tin về người dùng hệ thống
7,NGUOIDUNG_NHOMNGUOIDUNG,Bảng mapping giữa người dùng và nhóm người dùng
8,NHAT_KY_HE_THONG,"Lưu các thông tin về nhật ký hệ thống, các thao tác của người dùng trên hệ thống"
9,NHOMNGUOIDUNG,Lưu các thông tin về nhóm người dùng trên hệ thống
10,NHOMNGUOIDUNG_CHUCNANG,Bảng mapping giữa nhóm người dùng và chức năng hệ thống
11,THIET_LAP_LICH,Bảng lưu cấu hình lịch truyền/ nhận dữ liệu giữa UBCKNN và Cục Thuế
12,DB_LOG,Bảng lưu log truy vẫn trên database
13,CONG_TY_KIEM_TOAN,Lưu các thông tin về công ty kiểm toán
14,DN_RUI_RO_CAO,Lưu các thông tin về Doanh nghiệp rủi ro cao được lấy về từ Cục Thuế
15,GOI_TIN,Lưu các thông tin về dữ liệu gói tin truyền nhận giữa UBCKNN và Cục Thuế
16,KIEM_TOAN_VIEN,Lưu các thông tin về Kiểm toán viên
17,THONG_TIN_CONG_TY,"Bảng lưu thông tin công ty bao gồm thông tin công ty đại chúng, công ty chứng khoán, công ty quản lý quỹ"
18,THONG_TIN_DK_THUE,Bảng lưu thông tin đăng ký thuế được lấy từ Cục Thuế
19,UBCK_XU_PHAT,Bảng lưu các thông tin về xử phạt tại UBCKNN
20,TCT_BAO_CAO,Bảng lưu các báo cáo tài chỉnh lấy từ Cục Thuế
21,TCT_BAO_CAO_CHI_TIET,Bảng lưu các thông tin chi tiết của báo cáo tài chỉnh lấy từ Cục Thuế
22,TCT_TT_CUONG_CHE_NO,Bảng lưu các thông tin cưỡng chế nợ lấy từ Cục Thuế
23,TT_XLY_VI_PHAM,Bảng lưu các thông tin xử lý vi phạm pháp luật về thuế
24,UBCK_BAO_CAO,Bảng lưu các báo cáo tài chính lấy từ các hệ thống của UBCKNN
25,UBCK_BAO_CAO_CHI_TIET,Bảng lưu các thông tin chi tiết của báo cáo tài chỉnh lấy từ các hệ thống tại UBCKNN
26,DANH_MUC,Bảng lưu các thông tin cấu hình danh mục
27,NHOM_DANH_MUC,Bảng lưu các thông tin cấu hình nhóm danh mục
28,TCT_TTCCN_HOA_DON,Bảng lưu các thông tin cưỡng chế nợ thông qua hóa đơn
29,HOA_DON_CHI_TIET,Bảng lưu các thông tin cấu hình hóa đơn
30,TTKDT_NGUOI_DAI_DIEN,Bảng lưu các thông tin người đại diện của tổ chức/ doanh nghiệp nộp thuế
