STT,Tên bảng,Ý nghĩa bảng
1,INSPECTION_ANNUAL_PLAN,Kế hoạch thanh tra hàng năm
2,INSPECTION_ANNUAL_PLAN_TARGET,Đối tượng trong kế hoạch thanh tra hàng năm
3,INSPECTION_TEAM,Hồ sơ đoàn thanh tra (quyết định và thông tin đoàn)
4,INSPECTION_TEAM_MEMBER,Thành viên đoàn thanh tra
5,INSPECTION_TEAM_TARGET,Đối tượng thanh tra của đoàn
6,INSPECTION_CONCLUSION,Kết luận thanh tra
7,INSPECTION_CONCLUSION_REMEDIAL,"Kiến nghị, biện pháp khắc phục trong kết luận thanh tra"
8,INSPECTION_REPORT_OUTLINE,Đề cương báo cáo thanh tra
9,POST_INSPECTION_PROCESSING,Theo dõi xử lý sau thanh tra
10,PROACTIVE_NOTICE,Thông báo chủ động (công bố thông tin)
11,PROACTIVE_NOTICE_RECIPIENT,Danh sách người nhận thông báo chủ động
12,EXAMINATION_ANNUAL_PLAN,Kế hoạch kiểm tra hàng năm
13,EXAMINATION_ANNUAL_PLAN_TARGET,Đối tượng trong kế hoạch kiểm tra hàng năm
14,EXAMINATION_TEAM,Hồ sơ đoàn kiểm tra
15,EXAMINATION_TEAM_MEMBER,Thành viên đoàn kiểm tra
16,EXAMINATION_TEAM_TARGET,Đối tượng kiểm tra của đoàn
17,EXAMINATION_RESULT_NOTICE,Thông báo kết quả kiểm tra
18,EXAMINATION_RESULT_NOTICE_REMEDIAL,"Kiến nghị, biện pháp khắc phục trong thông báo kết quả kiểm tra"
19,VIOLATION_CASE,Hồ sơ vụ việc vi phạm hành chính
20,VIOLATION_CASE_RECEIVED_DOCUMENT,Văn bản đầu vào của hồ sơ vi phạm
21,VIOLATION_CASE_OUTPUT_DOCUMENT,Văn bản đầu ra của hồ sơ vi phạm
22,VIOLATION_CASE_STATUS_HISTORY,Lịch sử trạng thái hồ sơ vi phạm
23,VIOLATION_RECORD,Biên bản vi phạm hành chính
24,VIOLATION_RECORD_BEHAVIOR,Hành vi vi phạm ghi nhận trong biên bản
25,VIOLATION_BEHAVIOR,Danh mục hành vi vi phạm hành chính
26,VIOLATION_BEHAVIOR_LEGAL_DOCUMENT,Văn bản pháp luật áp dụng cho hành vi vi phạm
27,PENALTY_DECISION,Quyết định xử phạt vi phạm hành chính
28,PENALTY_DECISION_APPROVAL_HISTORY,Lịch sử phê duyệt quyết định xử phạt
29,DIGITAL_CERTIFICATES,Danh mục chứng thư số (chữ ký số) dùng để ký điện tử hồ sơ
30,DIGITAL_CERTIFICATE_USERS,Người dùng được gán quyền sử dụng chứng thư số
31,PENALTY_DECISION_SIGN_LOGS,Lịch sử ký số quyết định xử phạt
32,PENALTY_DECISION_SUBJECT,Đối tượng bị xử phạt trong quyết định
