STT,Tên bảng,Ý nghĩa bảng
1,COUNTRY,Danh mục Quốc gia
2,REGION,Danh mục Vùng/miền
3,PROVINCE_NEW,Danh mục Tỉnh/Thành phố (mới)
4,PROVINCE_OLD,Danh mục Tỉnh/Thành phố (cũ)
5,DISTRICT_OLD,Danh mục Quận/Huyện (cũ)
6,WARD_NEW,Danh mục Phường/Xã/Thị trấn (mới)
7,WARD_OLD,Danh mục Phường/Xã/Thị trấn (cũ)
8,CURRENCY,Danh mục Tiền tệ
9,DEPARTMENT,Danh mục Phòng ban
10,ENTERPRISE_TYPE,Danh mục Loại hình doanh nghiệp
11,SECURITY_TYPE,Danh mục Loại chứng khoán
12,MARKET,Danh mục Thị trường
13,SECURITY,Danh mục Chứng khoán
14,PAR_VALUE,Danh mục Mệnh giá chứng khoán
15,FINANCIAL_INDICATOR,Danh mục Chỉ tiêu tài chính
16,FINANCIAL_REPORT_TYPE,Danh mục Loại báo cáo tài chính
17,INVESTOR_CATEGORY,Danh mục loại nhà đầu tư/cổ đông
18,INVESTOR_TYPE,Loại hình nhà đầu tư/cổ đông
19,FUND_TYPE,Danh mục loại hình quỹ
20,AGENT_TYPE,Danh mục loại đại lý
21,DATABASECHANGELOG,Lịch sử migration cơ sở dữ liệu
22,DATABASECHANGELOGLOCK,Lock khi Liquibase đang chạy
23,ENTERPRISE_POSITION_TYPE,Danh mục Loại chức vụ doanh nghiệp
24,ENTERPRISE_POSITION,Danh mục Chức vụ doanh nghiệp
25,POSITION_TYPE,Danh mục Loại chức danh
26,POSITION,Danh mục Chức danh
27,RELATIONSHIP_CATEGORY,Danh mục Quan hệ
28,QUALIFICATION_CATEGORY,Danh mục Trình độ
29,APPLIED_SUBJECT,Danh mục Đối tượng áp dụng
30,FREQUENCY_REPORT,Danh mục Kỳ báo cáo
31,PRACTICE_CERTIFICATE_TYPE,Danh mục Loại chứng chỉ hành nghề
32,WORKING_SCHEDULE,Danh mục Lịch làm việc
33,BUSINESS_ACTIVITY,Danh mục Hoạt động kinh doanh
34,BUSINESS_SERVICE,Danh mục Dịch vụ kinh doanh
35,BUSINESS_EVENT,Danh mục Sự vụ
36,BUSINESS_EVENT_ENTERPRISE_TYPE,Bảng trung gian N-N: Sự vụ - Loại hình doanh nghiệp
37,BUSINESS_LINE_LEVEL_1,Danh mục Ngành nghề cấp 1
38,BUSINESS_LINE_LEVEL_2,Danh mục Ngành nghề cấp 2
39,OPERATIONAL_STATUS_TYPE,Danh mục Loại trạng thái hoạt động
40,OPERATIONAL_STATUS_TYPE_ENTERPRISE_TYPE,Bảng trung gian N-N: Trạng thái hoạt động - Loại hình doanh nghiệp
41,ADMINISTRATIVE_PROCEDURE_COMPONENT,Thành phần Thủ tục hành chính
42,ADMINISTRATIVE_PROCEDURE,Danh mục Thủ tục hành chính
43,ADMINISTRATIVE_PROCEDURE_COMPONENT_MAPPING,Bảng trung gian N-N: TTHC - Thành phần TTHC
44,SECURITY_COMPANY,Danh mục Công ty chứng khoán
45,FUND_MANAGEMENT_COMPANY,Bảng quản lý Công ty quản lý quỹ
46,PRACTICE_CERTIFICATE,Danh mục Chứng chỉ hành nghề
47,LOG_DATA_CHANGES,Bảng lưu log thay đổi dữ liệu
48,ORGANIZATION_TYPE,Danh mục loại tổ chức
49,PUBLIC_COMPANY,Danh mục công ty đại chúng
50,SHAREHOLDER_TRANSACTION_TYPE,Danh mục loại giao dịch của cổ đông
51,APPROVED_AUDIT_FIRM,Danh mục Tổ chức kiểm toán được chấp thuận
52,APPROVED_AUDITORS,Bảng lưu thông tin kiểm toán viên
53,FOREIGN_BRANCH,Thông tin Văn phòng đại diện / Chi nhánh công ty chứng khoán nước ngoài
54,FOREIGN_INVESTOR_TYPE,Danh mục loại nhà đầu tư nước ngoài
55,ACTIVITY_STATUS,Danh mục tình trạng hoạt động
56,CUSTODIAN_BANK,Danh mục Ngân hàng lưu kí giám sát
57,ORGANIZATION_TYPE_USER_TYPE,Bảng trung gian nhiều-nhiều giữa loại tổ chức và đối tượng
58,PENALTY_FORM,Danh mục Hình thức xử phạt
59,INSPECTION_TARGET,Danh mục Tổ chức kiểm toán được chấp thuận
60,PAYMENT_CUSTODIAN_BANK,Danh mục Ngân hàng thanh toán/lưu ký
61,FUND_DISTRIBUTOR,Danh mục Tổ chức phân phối quỹ
62,FOREIGN_FUND_BRANCH,Bảng thông tin Văn phòng đại diện / Chi nhánh của quỹ nước ngoài tại Việt Nam
63,ACTIVE_STATUS,Bảng trạng thái hoạt động
64,VIOLATION_TYPE,Danh mục loại vi phạm
65,PENALTY_FORM_VIOLATION_TYPE,Bảng trung gian N-N giữa hình thức xử phạt và loại vi phạm
66,UBCK_STAFF,Danh mục nhân sự Ủy ban chứng khoán
67,LEGAL_DOCUMENT,Bảng thông tin văn bản pháp lý
68,INVESTMENT_FUND,Danh mục Quỹ đầu tư chứng khoán
