Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
TT_KE_HOACH,ID,"Khóa chính, tự tăng",PK,
TT_KE_HOACH,LOAI_KE_HOACH,Loại kế hoạch: THANH_TRA / KIEM_TRA,,
TT_KE_HOACH,TEN_KE_HOACH,"Tên kế hoạch (tự động ghép: ""Kế hoạch thanh tra/kiểm tra năm XXXX"")",,
TT_KE_HOACH,SO_QD_PHE_DUYET,Số quyết định phê duyệt (duy nhất),,
TT_KE_HOACH,NGAY_KY_QUYET_DINH,Ngày ký quyết định phê duyệt,,
TT_KE_HOACH,NAM_KE_HOACH,Năm kế hoạch (ví dụ: 2015),,
TT_KE_HOACH,SO_CONG_VAN,Số công văn,,
TT_KE_HOACH,NGAY_CONG_VAN,Ngày công văn,,
TT_KE_HOACH,GHI_CHU,Ghi chú (tối đa 4000 ký tự),,
TT_KE_HOACH,NGUOI_TAO,Người tạo kế hoạch,FK,FK → SYS_NGUOI_DUNG.TEN_DANG_NHAP
TT_KE_HOACH,NGAY_TAO,Ngày tạo bản ghi,,
TT_KE_HOACH,NGUOI_SUA,Người sửa gần nhất,FK,FK → SYS_NGUOI_DUNG.TEN_DANG_NHAP
TT_KE_HOACH,NGAY_SUA,Ngày sửa gần nhất,,
TT_KE_HOACH,TRANG_THAI,"Trạng thái: 1-Hoạt động, 0-Đã xóa",,
TT_KE_HOACH_DOI_TUONG,ID,"Khóa chính, tự tăng",PK,
TT_KE_HOACH_DOI_TUONG,KE_HOACH_ID,Tham chiếu tới TT_KE_HOACH.ID,FK,FK → TT_KE_HOACH.ID
TT_KE_HOACH_DOI_TUONG,TEN_DOI_TUONG,Tên đối tượng thanh tra,,
TT_KE_HOACH_DOI_TUONG,DIA_CHI,Địa chỉ đối tượng,,
TT_KE_HOACH_DOI_TUONG,THOI_GIAN_DU_KIEN,Thời gian dự kiến thanh tra,,
TT_KE_HOACH_DOI_TUONG,DON_VI_CHU_TRI,Đơn vị chủ trì,FK,FK → DM_DON_VI (theo tên đơn vị)
TT_KE_HOACH_DOI_TUONG,SO_CVTB,Số công văn thông báo,,
TT_KE_HOACH_DOI_TUONG,NGAY_KY,Ngày ký công văn thông báo,,
TT_KE_HOACH_DOI_TUONG,STT,Số thứ tự trong kế hoạch,,
TT_KE_HOACH_VAN_BAN,ID,"Khóa chính, tự tăng",PK,
TT_KE_HOACH_VAN_BAN,KE_HOACH_ID,Tham chiếu tới TT_KE_HOACH.ID,FK,FK → TT_KE_HOACH.ID
TT_KE_HOACH_VAN_BAN,SO_HIEU,Số hiệu văn bản,,
TT_KE_HOACH_VAN_BAN,TEN_TAI_LIEU,Tên tài liệu,,
TT_KE_HOACH_VAN_BAN,SO_THU_TU,Số thứ tự trang,,
TT_KE_HOACH_VAN_BAN,SO_TRANG,Số trang tài liệu,,
TT_KE_HOACH_VAN_BAN,NGUON_GOC_TAI_LIEU,Nguồn gốc tài liệu,,
TT_KE_HOACH_VAN_BAN,FILE_NAME,Tên file đính kèm,,
TT_KE_HOACH_VAN_BAN,FILE_PATH,Đường dẫn file lưu trữ,,
TT_KE_HOACH_VAN_BAN,FILE_SIZE,Kích thước file (bytes),,
TT_QUYET_DINH,ID,"Khóa chính, tự tăng",PK,
TT_QUYET_DINH,LOAI_HINH,Loại hình: THANH_TRA / KIEM_TRA,,
TT_QUYET_DINH,HINH_THUC,Hình thức văn bản,FK,FK → DM_HINH_THUC_VAN_BAN.ID
TT_QUYET_DINH,KE_HOACH_ID,Tham chiếu kế hoạch (nếu định kỳ),FK,FK → TT_KE_HOACH.ID
TT_QUYET_DINH,SO_QUYET_DINH,Số quyết định (duy nhất),,
