Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
CONTENTITEMINDEX,ID,"NUMBER(38,0)",Khóa chính (tự tăng),,
CONTENTITEMINDEX,DOCUMENTID,"NUMBER(38,0)",Khóa ngoại tới Document.Id của Orchard (kho lưu document JSON),,
CONTENTITEMINDEX,CONTENTITEMID,NVARCHAR2(255 CHAR),"ID content item Orchard (chuỗi duy nhất toàn hệ thống, định dạng: chữ số alphanumeric)",,
CONTENTITEMINDEX,CONTENTITEMVERSIONID,NVARCHAR2(255 CHAR),Contentitemversionid,,
CONTENTITEMINDEX,LATEST,"NUMBER(38,0)","Phiên bản mới nhất hay không (1=có, 0=không)",,
CONTENTITEMINDEX,PUBLISHED,"NUMBER(38,0)","Trạng thái xuất bản (1=đã xuất bản, 0=nháp/chưa xuất bản)",,
CONTENTITEMINDEX,CONTENTTYPE,NVARCHAR2(255 CHAR),"Tên loại nội dung (ví dụ: LandingPage, Fragment, TTHC, BaoCao, TinTuc)",,
CONTENTITEMINDEX,MODIFIEDUTC,NVARCHAR2(50 CHAR),Thời điểm sửa đổi lần cuối (UTC),,
CONTENTITEMINDEX,PUBLISHEDUTC,NVARCHAR2(50 CHAR),"Thời điểm xuất bản (UTC, NULL=chưa bao giờ xuất bản)",,
CONTENTITEMINDEX,CREATEDUTC,NVARCHAR2(50 CHAR),Thời điểm tạo content item (UTC),,
CONTENTITEMINDEX,OWNER,NVARCHAR2(255 CHAR),Tên đăng nhập Orchard chủ sở hữu content item này,,
CONTENTITEMINDEX,AUTHOR,NVARCHAR2(255 CHAR),Tên đăng nhập Orchard người tác giả phiên bản này,,
CONTENTITEMINDEX,DISPLAYTEXT,NVARCHAR2(2000 CHAR),Tiêu đề/tên content item để hiển thị trong danh sách,,
CONTENTITEMINDEX,SITECONTENTITEMID,VARCHAR2(255 BYTE),ID content item site - định danh phạm vi tenant/site,,
CONTENTITEMINDEX,EFFECTIVEOWNER,VARCHAR2(4000 BYTE),Effectiveowner,,
DOCUMENT,ID,"NUMBER(38,0)",Khóa chính (tự tăng),,
DOCUMENT,TYPE,NVARCHAR2(255 CHAR),Bộ phân biệt loại bản ghi,,
DOCUMENT,CONTENT,CLOB,Content,,
DOCUMENT,VERSION,"NUMBER(38,0)",Số phiên bản để khóa lạc quan (tăng mỗi lần cập nhật),,
DOCUMENT,SITECONTENTITEMID,VARCHAR2(255 BYTE),ID content item site - định danh phạm vi tenant/site,,
DOCUMENT,CREATEDAT,TIMESTAMP(6),Thời điểm tạo bản ghi (UTC),,
DOCUMENT,UPDATEDAT,TIMESTAMP(6),Thời điểm cập nhật lần cuối (UTC),,
DOCUMENT,HASAUTOROUTEPART,CHAR(1 BYTE),Hasautoroutepart,,
DOCUMENT,HASALIASPART,CHAR(1 BYTE),Hasaliaspart,,
DOCUMENT,HASCONTAINEDPART,CHAR(1 BYTE),Hascontainedpart,,
ALIASPARTINDEX,ID,"NUMBER(38,0)",Khóa chính (tự tăng),,
ALIASPARTINDEX,DOCUMENTID,"NUMBER(38,0)",Khóa ngoại tới Document.Id của Orchard (kho lưu document JSON),,
