Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
Order_HOSE,Trade Date,Character(8),Ngày giao dịch theo thị trường chứng khoán (yyyymmdd),,
Order_HOSE,Market ID,Character(3),"Mã thị trường: STO/BDO/RPO (HOSE), STX/UPX/BDX/DVX/HCX (HNX)",,
Order_HOSE,Symbol,Character(12),Mã chứng khoán (ISIN hoặc mã sàn),,FK suy luận → Instrument.symbol
Order_HOSE,Currency,Character(3),Đơn vị tiền tệ (VND),,
Order_HOSE,Board Type,Character(2),Loại bảng giao dịch: G1 Main / G2 ATO / G3 ATC / G4 Odd lot / G7 Buy-in / G8 Sell-out / T1-T6 Thỏa thuận / R1 Repo,,
Order_HOSE,Order Date,Character(8),Ngày đặt lệnh của người thực hiện giao dịch (yyyymmdd),,
Order_HOSE,Order Time,Character(6),Thời gian đặt lệnh (hh24miss),,
Order_HOSE,Session,Character(2),Phiên giao dịch: 00 Pre-market / 10 ATO / 20/40 Continuous / 30 ATC / 80 Odd lot / 90 Halt / 99 Close,,
Order_HOSE,Modify/Cancel,Character(1),Loại action: N=Lệnh mới / M=Sửa / C=Hủy,,
Order_HOSE,Order Accept #,Number(11),Số thứ tự lệnh do KRX cấp trong ngày theo từng Symbol. Reset mỗi ngày mới.,PK (ngày+Symbol),
Order_HOSE,Orig Order Accept #,Number(11),Số thứ tự lệnh gốc trước khi sửa/hủy. Trống nếu là lệnh mới.,,FK → Order_HOSE.Order Accept #
Order_HOSE,Side,Character(1),Chiều lệnh: B=Buy (Mua) / S=Sell (Bán),,
Order_HOSE,BRK #,Character(3),"Mã công ty chứng khoán (thành viên giao dịch). VD: 003=SSI, 011=HSC",,FK suy luận → Member.member_code
Order_HOSE,BRK,Character,Tên công ty chứng khoán (derived từ BRK #),,
Order_HOSE,PIN,Character,Mã PIN của tài khoản giao dịch tại CTCK,,
Order_HOSE,Acct No,Character(13),Mã số tài khoản giao dịch của nhà đầu tư tại CTCK,,FK suy luận → Account.account_no
Order_HOSE,Name,Character,Tên nhà đầu tư / chủ tài khoản,,
Order_HOSE,Market Maker Order,Character(1),Cờ lệnh nhà tạo lập thị trường: Y=Có / N=Không,,
Order_HOSE,Client/House Classification Code,Character(2),Phân loại: 10=Client trade (khách hàng) / 30=House trade (tự doanh CTCK),,
Order_HOSE,Invest Type,Character(4),Phân loại nhà đầu tư: 8000=Cá nhân / 7000=NĐT NN / 3000=Quỹ / 4000=Ngân hàng / 5000=CTCK...,,
Order_HOSE,Foreigner Investor type,Character(2),Phân loại NĐT nước ngoài: 00=Trong nước / 10=NN cư trú / 20=NN không cư trú,,
Order_HOSE,Order Type,Character(1),Loại lệnh theo giá: 1=Market / 2=Limit / 3=Stop Market / 4=Stop Limit,,
Order_HOSE,Order Price,Number(15),Giá đặt lệnh. 0 nếu Market order hoặc lệnh hủy.,,
Order_HOSE,Order VOL,Number(10),Khối lượng đặt lệnh,,
Order_HOSE,Order Condition,Character(1),Điều kiện khớp: 0=FAS / 1=GTC / 2=ATO / 3=FAK / 4=FOK / 6=GTD / 7=ATC / 9=MTL,,
Order_HOSE,LTP,Number(15),Last Traded Price — giá khớp gần nhất trên thị trường tại thời điểm đặt lệnh,,
Order_HOSE,Execution Price,Number(15),Giá khớp lệnh thực tế,,
Order_HOSE,Immed. Matched VOL,Number(10),Khối lượng khớp ngay tại thời điểm hệ thống ghi nhận lệnh,,
Order_HOSE,Matched VOL,Number(10),Tổng khối lượng đã khớp của lệnh (tích lũy),,
Order_HOSE,Order Rqty,Number(10),Khối lượng còn lại chưa khớp. = Order VOL − Matched VOL − Cancelled VOL,,
Order_HOSE,Order Price-LTP,Number(15),Chênh lệch giữa giá đặt và LTP (derived),,
Order_HOSE,Matched Ratio,Number,Tỷ lệ khớp lệnh = Matched VOL / Order VOL (derived),,
Order_HOSE,Buy Up/Sell Down Amt,Number(15),Mức tăng/giảm giá so với giá tham chiếu theo giá trị tiền,,
Order_HOSE,Buy Up/Sell Down Tick,Number,Mức tăng/giảm theo số bước giá (tick),,
Order_HOSE,New High/Low Price,Character,Đánh dấu nếu lệnh tạo giá cao/thấp mới trong ngày theo mã CK,,
Order_HOSE,Order Status,Character(1),Trạng thái: 0=New / 1=Partial Fill / 2=Filled / 3=Cancelled / 4=Rejected / 5=Expired / 6=Pending Cancel / 7=Pending Replace / 8=Replaced,,
Order_HOSE,Icd-Bug Qty,Number,Khối lượng điều chỉnh lỗi trong hệ thống giao dịch (operational),,
Order_HOSE,Expected execution price,Number(15),"Giá khớp dự kiến dựa trên thị trường hiện tại (estimated, không phải confirmed)",,
Order_HOSE,Expected execution volume,Number(10),Khối lượng khớp dự kiến (estimated),,
Order_HOSE,Short Sell Indicator,Character(2),Phân loại bán khống: 00=Bình thường / 10=Lệnh bán khống,,
Order_HOSE,Trader No,Character,Mã định danh người thực hiện giao dịch tại CTCK,,
Order_HOSE,Trader Name,Character,Tên người thực hiện giao dịch tại CTCK,,
Order_HOSE,Reference Sequence No.,Character(11),Số tham chiếu thứ tự giao dịch trong luồng dữ liệu,,
Order_HOSE,Order ID,Character(17),"Mã định danh logic của lệnh (17 ký tự, stable hơn Order Accept #)",,
Order_HOSE,Orig Order ID,Character(17),Order ID của lệnh gốc khi sửa/hủy,,FK → Order_HOSE.Order ID
Trade_HOSE,Trade Date,Character(8),Ngày giao dịch (yyyymmdd),,
Trade_HOSE,Market ID,Character(3),Mã thị trường (STO/BDO/RPO/STX/UPX/BDX/DVX/HCX),,
Trade_HOSE,Symbol,Character(12),Mã chứng khoán,,FK suy luận → Instrument.symbol
Trade_HOSE,Currency,Character(3),Đơn vị tiền tệ,,
Trade_HOSE,Board Type,Character(2),Loại bảng giao dịch,,
Trade_HOSE,Trade #,Number(11),Số thứ tự giao dịch khớp do KRX cấp trong ngày theo Symbol,PK (ngày+Symbol),
Trade_HOSE,Time,Character(6),Thời điểm xảy ra giao dịch khớp (hh24miss),,
Trade_HOSE,Session,Character(2),Phiên giao dịch lúc khớp,,
Trade_HOSE,Execution - Exec Price,Number(15),Giá khớp thực tế của giao dịch,,
Trade_HOSE,Execution - Exec Price - LTP,Number(15),Chênh lệch giữa giá khớp và LTP trước đó,,
Trade_HOSE,Execution - Volume,Number(10),Khối lượng khớp,,
Trade_HOSE,Execution - Value,Number(20),Tổng giá trị = Exec Price × Exec Volume,,
Trade_HOSE,Execution - LTP,Number(15),Last Traded Price của mã CK trước khi có Trade này,,
Trade_HOSE,Execution - New High/Low Price,Character,Đánh dấu nếu Trade tạo giá mới trong ngày,,
Trade_HOSE,Buy - Order Date,Character(8),Ngày đặt lệnh mua,,
Trade_HOSE,Buy - Order Time,Character(6),Thời gian đặt lệnh mua,,
Trade_HOSE,Buy - Order Accept #,Number(11),Số thứ tự lệnh mua tại KRX — trường join về Order_HOSE,,FK → Order_HOSE.Order Accept #
Trade_HOSE,Buy - BRK #,Character(3),Mã CTCK bên mua,,FK suy luận → Member.member_code
Trade_HOSE,Buy - BRK,Character,Tên CTCK bên mua,,
Trade_HOSE,Buy - PIN,Character,Mã PIN tài khoản bên mua,,
Trade_HOSE,Buy - Acct No,Character(13),Tài khoản NĐT bên mua,,FK suy luận → Account.account_no
Trade_HOSE,Buy - Name,Character,Tên NĐT bên mua,,
Trade_HOSE,Buy - Client/House Classification Code,Character(2),Phân loại lệnh mua: 10=Client / 30=House,,
Trade_HOSE,Buy - Invest Type,Character(4),Loại hình NĐT bên mua,,
Trade_HOSE,Buy - Foreigner Investor type,Character(2),Phân loại NĐT nước ngoài bên mua,,
Trade_HOSE,Buy - Order Price,Number(15),Giá đặt lệnh mua gốc,,
Trade_HOSE,Buy - Order VOL,Number(10),Khối lượng đặt mua gốc,,
