eform_id,content_type,eform_title,field_key,field_label,field_type,index_table,content_field_pattern,value_column,options,ghi_chu
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Tên công ty,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Địa danh,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Chọn ngày cấp,input-date,DateFieldIndex,,Date,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Tên cổ phiếu,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Tên tổ chức phát hành,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Địa chỉ chụ sở chính,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Số điện thoại,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Fax,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Website,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Vốn điều lệ,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Mã cổ phiếu,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Địa chỉ,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Số hiệu,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Số GCNĐKDN,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Số,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Chọn ngày cấp,input-date,DateFieldIndex,,Date,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,lần thứ,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,ngày thay đổi,input-date,DateFieldIndex,,Date,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Ngành nghề,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Mã ngành,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Sản phẩm/dịch vụ chính,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,"GP thành lập, hoạt động",input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,,radios,BooleanFieldIndex,,Boolean,Có|Không,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Tổng giá trị,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Đặc điểm,textarea,TextFieldIndex,,BigText,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Loại,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Tổng giá trị,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Đặc điểm,textarea,TextFieldIndex,,BigText,,
