STT,Tên bảng,Ý nghĩa bảng
1,COMPANY_PROFILES,Bảng lưu trữ thông tin hồ sơ và chi tiết công ty
2,CATEGORIES,Bảng lưu trữ danh mục ngành nghề của công ty đại chúng.
3,FOREIGN_OWNER_LIMIT,Bảng giới hạn tỷ lệ sở hữu nước ngoài
4,LEGAL_REPRESENTATIVE,Bảng người đại diện pháp luật
5,STATE_CAPITAL,Bảng thông tin vốn nhà nước
6,COMPANY_RELATIONSHIP,Thông tin quan hệ công ty
7,CAPITAL_MOBILIZATION,Lưu thông tin về Qua trình tăng vốn trước khi thành đại chúng
8,COMPANY_ADD_CAPITAL,Lưu thông tin về Quá trình tăng vốn
9,COMPANY_TENDER_OFFER,Lưu thông tin phương án về quá trình chào mua công khai
10,COMPANY_TENDER_OFFER_RESULT,Lưu thông tin kết quả thực hiện chào mua công khai
11,TENDER_OFFER,Lưu thông tin phương án chào mua công khai (Public Tender Offer)
12,TENDER_OFFER_RESULT,Lưu thông tin kết quả chào mua công khai (Public Tender Offer Result)
13,COMPANY_TREASURY_STOCKS,Lưu thông tin về cổ phiếu quỹ
14,COMPANY_TREASURY_SHARES,Lưu thông tin đợt mua/bán cổ phiếu quỹ (Treasury Share Transaction)
15,TREASURY_SHARE_TRANS_RESULT,Lưu thông tin kết quả giao dịch cổ phiếu quỹ (Treasury Share Transaction Result)
16,COMPANY_INSPECTION,"Lưu thông tin về thanh tra, kiểm tra"
17,COMPANY_PENALTIES,Lưu thông tin về xử phạt hành chính
18,COMPANY_CHANGE_ROLE_HIS,Lịch sử thay đổi thông tin quản lý công ty
19,LOGINS,Bảng tài khoản đăng nhập
20,COUNTRIES,Bảng lưu quốc gia
21,PROVINCES,Bảng lưu dữ liệu tỉnh thành
22,LOOKUP_VALUES,Bảng lưu dữ liệu danh mục
23,USER_AUDIT_LOG,Bảng lưu log người dùng thao tác trên hệ thống
24,REPORT_CATALOG,Bảng lưu mẫu biểu dữ liệu tài chính
25,RROW,Bảng lưu Chỉ tiêu tài chính
26,REP_FORMS,Bảng lưu sub form cho các mẫu báo cáo đầu vào khác
27,REP_ROW,Bảng lưu hàng trong sub form cho các mẫu báo cáo đầu vào khác
28,REP_COLUMN,Bảng lưu cột trong sub form cho các mẫu báo cáo đầu vào khác
29,RCOL_MGR,Danh mục cột báo cáo tài chính (phiên bản quản lý - song song với RCOL)
30,REPORT_CATALOG_MGR,Danh mục mẫu báo cáo tài chính (phiên bản quản lý - song song với REPORT_CATALOG)
31,RROW_MGR,Danh mục hàng báo cáo tài chính (phiên bản quản lý - song song với RROW)
32,REP_DATA,Lưu trữ dữ liệu của hàng và cột của báo cáo có cấu trúc
33,DYNAMIC_REPORT_TEMPLATES,Mẫu báo cáo động — header
34,DYNAMIC_REPORT_TEMPLATE_FIELDS,Chỉ tiêu thuộc mẫu báo cáo động
35,NOTIFICATIONS,Lưu thông tin về notifications
36,FORMS,Lưu mẫu báo cáo
37,FIELDS,Trường dữ liệu chi tiết
38,FORM_FIELDS,Lưu cấu hình trường dữ liệu của các mẫu báo cáo
39,FORM_FIELD_HISTORY,Lưu lại lịch sử khi cấu hình form_fields
40,ALERT_TEMPLATE_AUDIT_HDR,Danh sách mẫu template cảnh báo
41,ALERT_TEMPLATE_AUDIT_DTL,Danh sách rule cấu hình cảnh báo
42,DEPARTMENTS,Lưu dữ liệu phòng ban
43,DATA_TYPES,Lưu kiểu dữ liệu sử dụng cho các fields trong hệ thống
44,ACCOUNT_NUMBERS,Bảng lữu trữ tài khoản của cổ đông
45,POSITIONS,Bảng lữu trữ chức vụ của cổ đông
46,IDENTITY,Bảng lữu trữ giấy tờ cổ đông
47,STOCK_CONTROLS,Lưu thông tin cổ phiếu hạn chế
48,HOLDER_RELATIONSHIP,"Lưu thông tin quan hệ của NNB, NLQ…."
49,SMS_LOG,Lưu trữ log gửi SMS
50,SYS_PARAMETERS,Lưu trữ cấu hình tham số hệ thống
51,REPORT_EXTENSIONS,Lưu trữ dữ liệu gia hạn báo cáo định kỳ của công ty đại chúng
52,COMPANY_DATA,Lưu FORMS dữ liệu thuộc COMPANY_PROFILES
53,DATA,Lưu trữ dữ liệu của hàng và cột của báo cáo tài chính
54,DATA_VALUES,"Lưu dữ liệu khi nhập vào tương ứng với các Form, Fields"
55,BOND_LISTING_HISTORY,"Lưu trữ lịch sử thông tin phát hành trái phiếu ra công chúng, trái phiếu riêng lẻ của công ty đại chúng."
56,COMPANY_DIGITAL_CERTIFICATES,Lưu trữ dữ liệu ký số của các công ty
57,COMPANY_ENTITY_ROLE,"Lữu trữ thông tin vài trò cổ đông, người NB trong công ty đại chúng."
58,COMPANY_SHAREHOLDING,Lưu trữ thông tin cổ đông.
59,COMPANY_SHARE_STATISTICS,Lưu thông tin về số CP sau mỗi đợt mua/ bán
60,EVALUATIONS,Lưu trữ thông tin đánh giá công ty đại chúng.
61,EVALUATION_CBONDS,Lưu trữ dữ liệu xếp hạng trái phiếu (lấy từ sở HNX)
62,EVALUATION_CRITERIA,"Lưu trữ chỉ tiêu đánh giá, xếp hạng công ty đại chúng."
63,EVALUATION_DETAILS,"Lưu trữ chi tiết đánh giá, xếp hạng công ty đại chúng theo kỳ."
64,EVALUATION_GROUPS,"Lưu trữ nhóm chỉ tiêu đánh giá, xếp hàng công ty đại chúng."
65,EVALUATION_PERIODS,"Lưu trữ kỳ đánh giá, xếp hạng công ty đại chúng"
66,EVALUATION_ERROR_LOG,"Nhật ký lỗi phát sinh trong quá trình đánh giá, xếp hạng công ty đại chúng"
67,EVALUATION_LEVEL_SCORE,Cấu hình điểm áp dụng chung cho tất cả chỉ tiêu theo mức đánh giá
