id,name,parent_id,description,level,description_vi
5c35c8d4-7234-4842-9c6a-eb007fd661a7,Business Performance Indicators,,"The set of terms and linkages that reflect the key measurement areas the organization would want to report on.

Attribution - Do Not Remove

This category includes some Basel material. 
Basel material is © Bank for International Settlements (""BIS""). All rights reserved.
Basel material is available on the BIS website free of charge: www.bis.org.
Neither the BIS nor the Basel Committee on Banking Supervision:
(a) is liable for the IBM release
(b) has reviewed it or
(c) endorses it.
Neither the BIS nor the Basel Committee on Banking Supervision warrants or guarantees the accuracy, completeness, or fitness for purpose of the BIS material contained in any IBM information model; or shall in any circumstances be liable for any loss, damage, liability or expense suffered by any person in connection with reliance by that person on any such BIS material.
Where any IBM information model (or part thereof) has been translated from English into any other language, such translation is not an official BIS translation.

This category includes some Comprehensive Capital Analysis and Review (CCAR) material.
CCAR documentation is published by United States Federal Reserve and is available from https://www.federalreserve.gov/reportforms/forms/FR_Y-14M20160630_f.pdf

This category contains some material from 
United States Foreign Account Tax Compliance Act (FATCA)
Source: United States Internal Revenue Service (irs.gov)
Use of the FATCA material does not constitute an endorsement, recommendation, or favoring by the United States Government or the Internal Revenue Service.

End of Attribution",0,"[Auto] Tập hợp các thuật ngữ và mối liên kết phản ánh các lĩnh vực đo lường chính mà tổ chức muốn báo cáo.

Ghi công - Không xóa

Thể loại này bao gồm một số tài liệu Basel. 
Tài liệu cơ bản là © Ngân hàng Thanh toán Quốc tế (""BIS""). Mọi quyền được bảo lưu.
Tài liệu Basel được cung cấp miễn phí trên trang web của BIS: www.bis.org.
Cả BIS và Ủy ban Basel về Giám sát Ngân hàng đều không:
(a) chịu trách nhiệm về việc phát hành của IBM
(b) đã xem xét nó hoặc
(c) xác nhận nó.
Cả BIS lẫn Ủy ban Basel về Giám sát Ngân hàng đều không đảm bảo hay đảm bảo tính chính xác, đầy đủ hoặc phù hợp cho mục đích của tài liệu BIS có trong bất kỳ mô hình thông tin nào của IBM; hoặc trong mọi trường hợp sẽ phải chịu trách nhiệm pháp lý về mọi tổn thất, thiệt hại, trách nhiệm pháp lý hoặc chi phí mà bất kỳ người nào phải gánh chịu liên quan đến việc người đó tin cậy vào bất kỳ tài liệu BIS nào như vậy.
Khi bất kỳ mô hình thông tin nào của IBM (hoặc một phần của nó) đã được dịch từ tiếng Anh sang bất kỳ ngôn ngữ nào khác thì bản dịch đó không phải là bản dịch chính thức của BIS.

Danh mục này bao gồm một số tài liệu Phân tích và Đánh giá Vốn Toàn diện (CCAR).
Tài liệu CCAR được Cục Dự trữ Liên bang Hoa Kỳ xuất bản và có sẵn từ https://www.federalreserve.gov/reportforms/forms/FR_Y-14M20160630_f.pdf

Thể loại này chứa một số tài liệu từ 
Đạo luật tuân thủ thuế tài khoản nước ngoài của Hoa Kỳ (FATCA)
Nguồn: Sở Thuế vụ Hoa Kỳ (irs.gov)
Việc sử dụng tài liệu FATCA không cấu thành sự chứng thực, khuyến nghị hoặc ưu ái của Chính phủ Hoa Kỳ hoặc Sở Thuế vụ.

Kết thúc ghi công"
ef28ad09-ad76-4fc1-8d34-7f53dcf080c9,Asset & Liability Management,5c35c8d4-7234-4842-9c6a-eb007fd661a7,This category groups terms focused on the management of assets and liabilities to maximize long term wealth for an Involved Party.,1,[Auto] Danh mục này nhóm các điều khoản tập trung vào việc quản lý tài sản và nợ phải trả để tối đa hóa tài sản lâu dài cho Bên liên quan.
930a8ecd-4a06-45a6-8b22-b7567f028b09,Investment Management,5c35c8d4-7234-4842-9c6a-eb007fd661a7,"This category groups terms focused on the analysis of areas of the Financial Institution with an emphasis on custody, cash management, fund accounting, performance & attribution and corporate governance.",1,"[Auto] Danh mục này nhóm các thuật ngữ tập trung vào việc phân tích các lĩnh vực của Tổ chức Tài chính với trọng tâm là lưu ký, quản lý tiền mặt, kế toán quỹ, hiệu suất & phân bổ và quản trị doanh nghiệp."
ef2de3bf-c675-4c60-aef9-903b375fb9d9,Payments,5c35c8d4-7234-4842-9c6a-eb007fd661a7,This category groups terms focused on areas of Payments Analytics and Payments Processing.,1,[Auto] Danh mục này nhóm các thuật ngữ tập trung vào các lĩnh vực Phân tích thanh toán và Xử lý thanh toán.
5fce6d3d-6810-4673-af26-aaed646e079b,Profitability,5c35c8d4-7234-4842-9c6a-eb007fd661a7,This category groups terms focused on the analysis of areas of the Financial Institution with emphasis on its ability to maximize profit.,1,[Auto] Nhóm các thuật ngữ thuộc danh mục này tập trung vào việc phân tích các lĩnh vực của Tổ chức Tài chính với sự nhấn mạnh vào khả năng tối đa hóa lợi nhuận của tổ chức đó.
49c68589-622b-41c8-b250-425cc7087b58,Regulatory Compliance,5c35c8d4-7234-4842-9c6a-eb007fd661a7,"This category groups terms focused on the analysis of the Financial Institution's Arrangements and Activities according to legal statutes, the directives of government and regulatory institutions.",1,"[Auto] Danh mục này nhóm các thuật ngữ tập trung vào việc phân tích các Cơ chế và Hoạt động của Tổ chức Tài chính theo các quy định pháp luật, chỉ thị của chính phủ và các tổ chức quản lý."
86f4dacf-809b-492c-91ab-2b4f88fba9b4,Relationship Marketing,5c35c8d4-7234-4842-9c6a-eb007fd661a7,This category groups terms focused on the quality and effectiveness of the Financial Institution's commercial relationships with other Involved Parties.,1,[Auto] Loại này nhóm các điều khoản tập trung vào chất lượng và hiệu quả của mối quan hệ thương mại của Tổ chức Tài chính với các Bên liên quan khác.
e1afa92b-801a-47b1-a2f3-23e40866e116,Risk Management,5c35c8d4-7234-4842-9c6a-eb007fd661a7,This category groups terms focused on the impact of potential changes in the Financial Institution's business.,1,[Auto] Danh mục này nhóm các thuật ngữ tập trung vào tác động của những thay đổi tiềm ẩn trong hoạt động kinh doanh của Tổ chức Tài chính.
780d7532-7ee6-4bea-a3e6-329d5ff9df12,Wealth Management,5c35c8d4-7234-4842-9c6a-eb007fd661a7,"This category groups terms focused on the analysis of areas of the Financial Institution with an emphasis on wealth management, including portfolio management, relationship management, performance reporting and financial planning.",1,"[Auto] Danh mục này nhóm các thuật ngữ tập trung vào phân tích các lĩnh vực của Tổ chức Tài chính với trọng tâm là quản lý tài sản, bao gồm quản lý danh mục đầu tư, quản lý mối quan hệ, báo cáo hiệu suất và lập kế hoạch tài chính."
fe4f0ac4-bf68-481a-95ee-4f87d2baeb0a,Liquidity Risk - Drivers,e1afa92b-801a-47b1-a2f3-23e40866e116,"This category groups terms focused on scenario analysis of liquidity risk, and which stress tests should shock in order to reveal the potential consequences of extreme events on an institution's liquidity position. Each driver must be stressed under each of the stress scenarios to reveal how they will be affected and the level of outflows that will occur as a result of the various stresses, and the institution must assess its ability to withstand the outflows given its liquidity resources.",2,"[Auto] Danh mục này nhóm các thuật ngữ tập trung vào phân tích kịch bản về rủi ro thanh khoản và các bài kiểm tra sức chịu đựng nào sẽ gây sốc nhằm tiết lộ những hậu quả tiềm tàng của các sự kiện cực đoan đối với vị thế thanh khoản của tổ chức. Mỗi động lực phải được căng thẳng trong từng tình huống căng thẳng để tiết lộ chúng sẽ bị ảnh hưởng như thế nào và mức độ dòng vốn sẽ xảy ra do những căng thẳng khác nhau, đồng thời tổ chức phải đánh giá khả năng chống lại dòng vốn chảy ra dựa trên nguồn thanh khoản của mình."
f31004eb-aebb-4846-a25b-b7f9508f54d3,Liquidity Risk - Monitoring,e1afa92b-801a-47b1-a2f3-23e40866e116,"This category groups terms focused on reporting the metrics outlined in this section as consistent monitoring tools. These metrics capture specific information related to a bank's cash flows, balance sheet structure, available unencumbered collateral and certain market indicators.",2,"[Auto] Danh mục này nhóm các thuật ngữ tập trung vào việc báo cáo các số liệu được nêu trong phần này dưới dạng các công cụ giám sát nhất quán. Các số liệu này nắm bắt thông tin cụ thể liên quan đến dòng tiền của ngân hàng, cấu trúc bảng cân đối kế toán, tài sản thế chấp không bị cản trở và các chỉ số thị trường nhất định."
e7235ff9-f4cd-47a3-9119-0b8a0a75b218,Liquidity Risk - Regulatory Standards,e1afa92b-801a-47b1-a2f3-23e40866e116,This category groups terms focused on reporting standards for supervisors to use in liquidity risk supervision.,2,[Auto] Loại này nhóm các thuật ngữ tập trung vào các tiêu chuẩn báo cáo để người giám sát sử dụng trong giám sát rủi ro thanh khoản.
