path,name,description,description_vi
Business Scopes,Business Scopes,,
Business Scopes >> AML Suspicious Transactions,AML Suspicious Transactions,"A Business Scope that groups terms describing characteristics of transactions and activities that affect financial balances of retail accounts so pattern abnormalities and suspicious behavior can be established. The information includes Transactions and Payment types, amounts, origin and destination, customers and institutions involved, locations, known blocklists, account details and channels used to conduct the transactions.

Attribution - Do Not Remove
This category contains content from ISO 20022 Message Definitions and ISO 20022 External Code Sets.
This is not an official site for ISO 20022 Message Standards and External Code Sets. The sole source of up-to-date materials and information on ISO 20022 Message Standards, External Code Sets and Repository is https://www.iso20022.org/.
End of Attribution","[Auto] Phạm vi kinh doanh bao gồm các nhóm thuật ngữ mô tả đặc điểm của giao dịch và hoạt động ảnh hưởng đến số dư tài chính của tài khoản bán lẻ để có thể xác định các mô hình bất thường và hành vi đáng ngờ. Thông tin bao gồm các Giao dịch và loại thanh toán, số tiền, nguồn gốc và điểm đến, khách hàng và tổ chức có liên quan, địa điểm, danh sách chặn đã biết, chi tiết tài khoản và các kênh được sử dụng để thực hiện giao dịch.

Ghi công - Không xóa
Danh mục này chứa nội dung từ Định nghĩa thông báo ISO 20022 và Bộ mã bên ngoài ISO 20022.
Đây không phải là trang web chính thức về Tiêu chuẩn thông báo ISO 20022 và Bộ mã bên ngoài. Nguồn tài liệu và thông tin cập nhật duy nhất về Tiêu chuẩn thông báo ISO 20022, Bộ mã bên ngoài và Kho lưu trữ là https://www.iso20022.org/.
Kết thúc ghi công"
Business Scopes >> Accessibility,Accessibility,A Scope identifying terms in the Knowledge Accelerator for Financial Services (KAFS) vocabulary required for Accessibility support. Accessibility is defined as access to information by anyone under any circumstances.,[Auto] Phạm vi xác định các thuật ngữ trong từ vựng Công cụ tăng tốc kiến ​​thức cho dịch vụ tài chính (KAFS) cần thiết để hỗ trợ Khả năng tiếp cận. Khả năng tiếp cận được định nghĩa là khả năng tiếp cận thông tin của bất kỳ ai trong bất kỳ trường hợp nào.
Business Scopes >> Activity Based Costing,Activity Based Costing,A Business Scope that specifies the main terms supporting the used in determining how the costs and income received by the Financial Institution are being cross charged between the Profit Centers.,[Auto] Phạm vi kinh doanh chỉ định các điều khoản chính hỗ trợ việc sử dụng trong việc xác định chi phí và thu nhập mà Tổ chức tài chính nhận được được tính chéo giữa các Trung tâm lợi nhuận như thế nào.
Business Scopes >> Advanced Securities,Advanced Securities,"This scope includes business terms from the business core vocabulary that support the definition and reporting of standard, advanced and complex Security instruments.","[Auto] Phạm vi này bao gồm các thuật ngữ kinh doanh từ từ vựng cốt lõi của doanh nghiệp hỗ trợ định nghĩa và báo cáo các công cụ Bảo mật tiêu chuẩn, nâng cao và phức tạp."
Business Scopes >> Alignment Scopes,Alignment Scopes,This alignment scope area is a grouping of business terms that may be relevant to align the Business Core Vocabulary and Business Performance Indicators for a specific Industry Alignment Vocabulary topic.,[Auto] Khu vực phạm vi liên kết này là một nhóm các thuật ngữ kinh doanh có thể liên quan để điều chỉnh Từ vựng cốt lõi trong kinh doanh và các Chỉ số hiệu quả kinh doanh cho một chủ đề Từ vựng liên kết ngành cụ thể.
Business Scopes >> Alignment Scopes >> Algorithmics Alignment Scope,Algorithmics Alignment Scope,"This alignment scope includes business terms from the Business Core Vocabulary that support Algorithmics calculation engines, for data elements relevant to Algorithmics ALM & Liquidity Risk solutions.","[Auto] Phạm vi căn chỉnh này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh hỗ trợ các công cụ tính toán Thuật toán, cho các thành phần dữ liệu liên quan đến các giải pháp Rủi ro thanh khoản và ALM thuật toán."
Business Scopes >> Alignment Scopes >> Basel Disclosures Alignment Scope,Basel Disclosures Alignment Scope,"This alignment scope includes all of the business terms from the Business Core Vocabulary that support the scope of application of disclosure requirements, along with requirements on the location, frequency, timing of reporting, assurance considerations and guiding principles on high-quality disclosures.","[Auto] Phạm vi điều chỉnh này bao gồm tất cả các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh hỗ trợ phạm vi áp dụng các yêu cầu công bố thông tin, cùng với các yêu cầu về địa điểm, tần suất, thời gian báo cáo, các cân nhắc đảm bảo và nguyên tắc hướng dẫn về công bố thông tin chất lượng cao."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes,Basel Framework Alignment Scopes,These alignment scopes include business terms from the Business Core Vocabulary and Business Performance Indicators that support various Basel Scenarios.,[Auto] Các phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh hỗ trợ các Kịch bản Basel khác nhau.
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II Advanced Capital Adequacy Framework Alignment Scope,Basel II Advanced Capital Adequacy Framework Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that support 12 CFR Part 3, 12 CFR Parts 208 and 225, 12 CFR Part 325, 12 CFR Parts 559, 560, 563, and 567 Risk-Based Capital Standards: Advanced Capital Adequacy Framework Basel II; Final Rule.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ báo hiệu quả kinh doanh hỗ trợ 12 CFR Phần 3, 12 CFR Phần 208 và 225, 12 CFR Phần 325, 12 CFR Phần 559, 560, 563 và 567 Tiêu chuẩn vốn dựa trên rủi ro: Khung an toàn vốn nâng cao Basel II; Quy tắc cuối cùng."
