id,name,artifact_type,category,description_en,description_vi,tags
16,Location,category,Knowledge Accelerator for Financial Services >> Business Core Vocabulary,"This category groups terms describing a place where something can be found, a destination of information or a bounded area, such as a country or state, about which the modeled organization wishes to keep information.","[Auto] Danh mục này nhóm các thuật ngữ mô tả nơi có thể tìm thấy thứ gì đó, điểm đến của thông tin hoặc khu vực giới hạn, chẳng hạn như quốc gia hoặc tiểu bang mà tổ chức theo mô hình mong muốn lưu giữ thông tin.",
17,Involved Party,category,Knowledge Accelerator for Financial Services >> Business Core Vocabulary,This category groups terms representing all participants that may have contact with the modeled organization or that are of interest to the modeled organization and about which the modeled organization wishes to maintain information.,[Auto] Danh mục này nhóm các thuật ngữ đại diện cho tất cả những người tham gia có thể có liên hệ với tổ chức được mô hình hóa hoặc được tổ chức được mô hình hóa quan tâm và về tổ chức được mô hình hóa mong muốn duy trì thông tin.,
18,Transaction,category,Knowledge Accelerator for Financial Services >> Business Core Vocabulary,This category groups terms describing financial and maintenance activities that effect the Financial Institution's financial position. Transactions are recorded by posting debits or credits to the Financial Institution's accounts and are vital to the Financial Institution's ability to maintain an audit trail of monetary business actions.,[Auto] Danh mục này nhóm các thuật ngữ mô tả các hoạt động tài chính và bảo trì có ảnh hưởng đến tình hình tài chính của Tổ chức Tài chính. Các giao dịch được ghi lại bằng cách ghi nợ hoặc ghi có vào tài khoản của Tổ chức Tài chính và rất quan trọng đối với khả năng của Tổ chức Tài chính trong việc duy trì dấu vết kiểm toán các hoạt động kinh doanh tiền tệ.,
19,Common,category,Knowledge Accelerator for Financial Services >> Business Core Vocabulary,This category groups terms that are relevant to multiple Business Core Vocabulary Subcategories.,[Auto] Danh mục này nhóm các thuật ngữ có liên quan đến nhiều Danh mục con Từ vựng cốt lõi trong kinh doanh.,
20,Event,category,Knowledge Accelerator for Financial Services >> Business Core Vocabulary,"This category groups terms describing unexpected and intermittent happenings about which the Financial Institution wishes to keep information. These incidents may be ancillary to the core business activities, but their occurrence can have a significant impact on the overall business.","[Auto] Danh mục này nhóm các thuật ngữ mô tả các sự kiện bất ngờ và không liên tục mà Tổ chức Tài chính muốn lưu giữ thông tin. Những sự cố này có thể là phụ trợ cho các hoạt động kinh doanh cốt lõi, nhưng sự xuất hiện của chúng có thể có tác động đáng kể đến hoạt động kinh doanh tổng thể.",
21,Group,category,Knowledge Accelerator for Financial Services >> Business Core Vocabulary,"This category groups terms describing a specific grouping of objects that is of interest to the Financial Institution and may itself be composed of other Groups. The grouping can be created for marketing, management, control, and reporting purposes, or for other conceptual or concrete purposes as required.","[Auto] Danh mục này nhóm các thuật ngữ mô tả một nhóm đối tượng cụ thể mà Tổ chức Tài chính quan tâm và bản thân nó có thể bao gồm các Nhóm khác. Việc phân nhóm có thể được tạo cho mục đích tiếp thị, quản lý, kiểm soát và báo cáo hoặc cho các mục đích khái niệm hoặc cụ thể khác theo yêu cầu.",
22,Communication,category,Knowledge Accelerator for Financial Services >> Business Core Vocabulary,This category groups terms describing the exchange of information between the Financial Institution and its Involved Parties.,[Auto] Danh mục này nhóm các thuật ngữ mô tả việc trao đổi thông tin giữa Tổ chức Tài chính và các Bên liên quan của nó.,
23,Property,category,Knowledge Accelerator for Financial Services >> Business Core Vocabulary,"This category groups terms describing any value item, either tangible or intangible, that is owned, managed, used by, or of specific interest to the Financial Institution in pursuit and accomplishment of its business. It describes Properties which are capable of being pledged in order to secure a loan - can be used in place of an obligation; for example a real property or a purchased asset.","[Auto] Danh mục này nhóm các thuật ngữ mô tả bất kỳ hạng mục giá trị nào, hữu hình hoặc vô hình, được sở hữu, quản lý, sử dụng hoặc được Tổ chức Tài chính quan tâm cụ thể trong việc theo đuổi và hoàn thành hoạt động kinh doanh của mình. Nó mô tả các Tài sản có khả năng được cầm cố để đảm bảo khoản vay - có thể được sử dụng thay cho nghĩa vụ; ví dụ như một bất động sản hoặc một tài sản được mua.",
24,Condition,category,Knowledge Accelerator for Financial Services >> Business Core Vocabulary,This category groups terms describing the rules and conditions on how the modeled organization conducts its business.,[Auto] Danh mục này nhóm các thuật ngữ mô tả các quy tắc và điều kiện về cách tổ chức được mô hình hóa tiến hành hoạt động kinh doanh của mình.,
25,Documentation,category,Knowledge Accelerator for Financial Services >> Business Core Vocabulary,"This category groups terms describing items or sets of Documentation. Documentation is distinguished from other resources, and is generally not capable of being pledged in order to secure a loan - cannot be used in place of an obligation; for example a web page or economic report.",[Auto] Danh mục này nhóm các thuật ngữ mô tả các mục hoặc bộ Tài liệu. Tài liệu được phân biệt với các nguồn lực khác và thường không có khả năng được cầm cố để đảm bảo khoản vay - không thể được sử dụng thay cho nghĩa vụ; ví dụ như một trang web hoặc báo cáo kinh tế.,
