id,name,description,description_vi,related_term_name,bcv_category
035c1a9e-2e55-4532-ac27-56d1b0b56012,Execution Mode,Distinguishes between events according to the manner in which they are executed.,[Auto] Phân biệt giữa các sự kiện theo cách chúng được thực hiện.,Execution Mode,Common
052b3c1a-3cb5-4e46-b575-107f15d44697,Occurrence Context,Distinguishes between events according to the circumstances of their occurrence.,[Auto] Phân biệt giữa các sự kiện theo hoàn cảnh xảy ra của chúng.,Occurrence Context,Common
0a990498-1458-49f2-965e-d1082c06d95d,Telephone Medium Type,Distinguishes between Telephone Media according to the type of technology being used.,[Auto] Phân biệt giữa Phương tiện Điện thoại theo loại công nghệ đang được sử dụng.,Telephone Medium Type,Common
0fbef1da-d181-4a0c-a199-b66bf9bd0e61,Origination Type,Distinguishes between events according to whether it originated within or outside the Financial Institution.,[Auto] Phân biệt giữa các sự kiện tùy theo nó bắt nguồn từ bên trong hay bên ngoài Tổ chức Tài chính.,Origination Type,Common
23a895d1-324e-4a43-9e02-2cd0feef860b,Risk Weighting Relative Position,Distinguishes between risk weighting types according to the relative effect they have when applied.,[Auto] Phân biệt giữa các loại trọng số rủi ro theo tác động tương đối mà chúng có khi áp dụng.,Risk Weighting Relative Position,Common
2c70b614-72e2-4167-9306-e6d8321d39ed,Value Estimate Type,Distinguishes estimated values according to the method used to derive the estimation.,[Auto] Phân biệt các giá trị ước tính theo phương pháp được sử dụng để rút ra ước tính.,Value Estimate Type,Common
37a83fd2-cf8e-4c17-8b27-41e56be0f0a1,Payment Method,"Distinguishes between Payments, whether scheduled or completed, according to the method used to make the payment; for example a Payment Instruction specifies that the Payment should be made via a Direct Debit, or a Money Scheduler schedules payments via regularly scheduled Standing Orders.","[Auto] Phân biệt giữa các khoản Thanh toán, dù được lên lịch hay đã hoàn thành, theo phương thức được sử dụng để thực hiện thanh toán; ví dụ: Chỉ thị thanh toán chỉ định rằng Thanh toán phải được thực hiện thông qua Ghi nợ trực tiếp hoặc Người lập lịch trình tiền lên lịch thanh toán thông qua các Lệnh thường trực được lập lịch thường xuyên.",Payment Method,Common
381b3e44-0d07-4d42-a5f0-f6ea159010eb,Currency Utilization Status,Distinguishes between Currencies according to the extent to which they are being put to use.,[Auto] Phân biệt giữa các loại tiền tệ theo mức độ chúng được đưa vào sử dụng.,Currency Utilization Status,Common
38296386-b6f0-4177-84d3-c01e2c2009c6,Period Of Record Duration,Distinguishes between Time Periods according to how long a period that they apply to.,[Auto] Phân biệt giữa các Khoảng thời gian theo khoảng thời gian áp dụng chúng.,Period Of Record Duration,Common
5752c05f-e1a3-490c-9b5c-cafe6b9d5295,Suspicion Type,Distinguishes between events according to whether or not fraudulent activity was thought to have been associated with the event.,[Auto] Phân biệt giữa các sự kiện tùy theo hoạt động gian lận có được cho là có liên quan đến sự kiện đó hay không.,Suspicion Type,Common
5e3b183b-25e1-4f93-80d1-16e794b8c65e,Unit Of Measure Utilization Status,Distinguishes between Units Of Measure according to the extent to which they are being put to use.,[Auto] Phân biệt giữa các Đơn vị Đo lường theo mức độ chúng được đưa vào sử dụng.,Unit Of Measure Utilization Status,Common
6855c777-6680-41e0-86ba-c254d62cff86,Currency Backing Type,"Distinguishes between Currencies according to how the Currency is backed, for example Fiat money issued by a government, or a currency backed by physical commodities such as gold or other precious metals.","[Auto] Phân biệt giữa các loại tiền tệ theo cách tiền tệ được hỗ trợ, ví dụ như tiền Fiat do chính phủ phát hành hoặc tiền tệ được hỗ trợ bởi hàng hóa vật chất như vàng hoặc kim loại quý khác.",Currency Backing Type,Common
