source_system,source_table,description,group,reason
DCST,CONG_TY_KIEM_TOAN,Công ty kiểm toán,Group B,Thu thập tại source gốc.
DCST,KIEM_TOAN_VIEN,Kiểm toán viên,Group B,Thu thập tại source gốc.
DCST,THONG_TIN_CONG_TY,Thông tin công ty chứng khoán,Group B,Dữ liệu phát sinh từ nguồn gốc khác (SCMS). Thu thập tại source gốc.
DCST,UBCK_BAO_CAO,Báo cáo UBCKNN,Group B,"Thu thập tại source gốc (FMS, IDS)."
DCST,UBCK_BAO_CAO_CHI_TIET,Chi tiết báo cáo UBCKNN,Group B,Thu thập tại source gốc.
DCST,UBCK_XU_PHAT,Quyết định xử phạt của UBCKNN,Group B,Dữ liệu phát sinh từ nguồn gốc khác (IDS/HT Thanh tra).
DCST,"(user, permission, log, config)",Quản trị hệ thống,Group C (12 bảng),Không có FK đến bảng Group A. Không có giá trị nghiệp vụ.
DCST,DANH_MUC,Danh mục tham chiếu,Reference Data,Không có FK inbound từ bảng nghiệp vụ — xử lý thành Classification Value.
DCST,NHOM_DANH_MUC,Nhóm danh mục tham chiếu,Reference Data,Không có FK inbound từ bảng nghiệp vụ — xử lý thành Classification Value scheme.
DCST,GOI_TIN,Quản lý trạng thái truyền nhận gói tin,System,System operational table — không có giá trị nghiệp vụ.
FIMS,RPTPROCESS,Lưu lịch sử xử lý báo cáo,Activity Log,"Activity log tại nguồn — chỉ phục vụ vận hành hệ thống FIMS. UserId chỉ là system user, không map được sang Atomic entity."
FIMS,RELATIONSHIP,Danh mục quan hệ ủy quyền CBTT,Chưa thiết kế,Chưa có cấu trúc cột đầy đủ — chỉ có 1 cột Id.
FIMS,CALENDAR,Lưu danh sách lịch hệ thống,Config,Operational/system data — không có giá trị nghiệp vụ
FIMS,CALENDARMANAGERMENT,Lưu các thay đổi lịch hệ thống,Config,Operational/system data — không có giá trị nghiệp vụ
FIMS,CDTWARN,Lưu danh sách điều kiện cảnh báo,Config,Operational/system data — không có giá trị nghiệp vụ
FIMS,PARAWARN,Lưu danh sách tham số cảnh báo,Config,Operational/system data — không có giá trị nghiệp vụ
FIMS,RPTPDSHT,Bảng trung gian giữa SHEET và RPTPERIOD,Config,Không có FK inbound từ bảng nghiệp vụ — xử lý thành Classification Value
FIMS,SELFSETPD,Lưu danh sách cấu hình kỳ báo cáo do cán bộ UB tự thiết lập,Config,Operational/system data — không có giá trị nghiệp vụ
FIMS,SYSVAR,Bảng lưu danh sách tham số hệ thống,Config,Operational/system data — không có giá trị nghiệp vụ
FIMS,DOCUMENT,Lưu danh sách tài liệu hệ thống,Reference Data,Không có FK inbound từ bảng nghiệp vụ — tài liệu hệ thống nội bộ.
FIMS,RPTOUTFILESAVE,Lưu danh sách file thống kê đã được gen tự động,Report Output,Operational/system data — không có giá trị nghiệp vụ
FIMS,RPTOUTMANAGEMENT,Lưu danh sách cấu hình gen file thống kê tự động,Report Output,Operational/system data — không có giá trị nghiệp vụ
FIMS,RPTTPOUT,Lưu danh sách biểu mẫu báo cáo đầu ra,Report Output,Báo cáo đầu ra hệ thống — không phải báo cáo nghiệp vụ thành viên nộp
