bcv_core_object,atomic_entity,atomic_table,atomic_attribute,atomic_column,description,data_domain,data_type,nullable,is_primary_key,source_system,source_table,source_column,comment,classification_context,etl_derived_value
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Securities Practitioner Conduct Violation Id,scr_prac_conduct_vln_id,Khóa đại diện cho bản ghi vi phạm đạo đức hành nghề (surrogate key).,Surrogate Key,string,false,true,NHNCK,VIOLATIONS,,"PK surrogate. BCV: ""Business Activity"" (Conduct Violation). Vi phạm đạo đức nghề nghiệp của người hành nghề chứng khoán.",Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Securities Practitioner Conduct Violation Code,scr_prac_conduct_vln_code,Mã định danh kỹ thuật tự tăng. BK của entity. Map từ PK bảng nguồn.,Text,string,false,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.ID,BK chính. PK nguồn (NUMBER — ETL cần convert sang string).,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Source System Code,src_stm_code,Mã hệ thống nguồn.,Classification Value,string,false,false,NHNCK,VIOLATIONS,,Scheme: SOURCE_SYSTEM. Hardcode.,Source System Code = 'NHNCK_VIOLATIONS',NHNCK.VIOLATIONS
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Securities Practitioner Id,scr_prac_id,FK đến người hành nghề chứng khoán bị vi phạm.,Surrogate Key,string,false,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.PROFESSIONAL_ID,FK target: Securities Practitioner.Securities Practitioner Id.,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Securities Practitioner Code,scr_prac_code,Mã người hành nghề chứng khoán bị vi phạm.,Text,string,false,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.PROFESSIONAL_ID,Lookup pair: Securities Practitioner.Securities Practitioner Code. Pair with Securities Practitioner Id.,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,License Decision Document Id,license_dcsn_doc_id,FK đến quyết định xử lý vi phạm.,Surrogate Key,string,true,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.DECISION_ID,FK target: License Decision Document.License Decision Document Id.,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,License Decision Document Code,license_dcsn_doc_code,Mã quyết định xử lý vi phạm.,Text,string,true,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.DECISION_ID,Lookup pair: License Decision Document.License Decision Document Code. Pair with License Decision Document Id.,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Practitioner Name At Violation,prac_nm_at_vln,Họ tên người hành nghề tại thời điểm vi phạm (snapshot).,Text,string,true,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.FULL_NAME,Snapshot — lưu giá trị tại thời điểm ghi nhận vi phạm. Không join lại PROFESSIONALS.,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Practitioner Birth Date At Violation,prac_brth_dt_at_vln,Ngày sinh người hành nghề tại thời điểm vi phạm (snapshot).,Date,date,true,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.BIRTH_DATE,Snapshot — lưu giá trị tại thời điểm ghi nhận vi phạm. Không join lại PROFESSIONALS.,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Practitioner Identity Number At Violation,prac_id_nbr_at_vln,Số CMND/CCCD người hành nghề tại thời điểm vi phạm (snapshot).,Text,string,true,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.IDENTITY_NUMBER,Snapshot — lưu giá trị tại thời điểm ghi nhận vi phạm. Grain ≠ Involved Party nên không tách IP Alt Identification.,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Violation Record Date,vln_rcrd_dt,Ngày ghi nhận vi phạm (business event date).,Timestamp,timestamp,false,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.CREATED_AT,Business event date của Fact Append — thời điểm vi phạm được ghi nhận vào hệ thống.,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Note,note,Ghi chú vi phạm.,Text,string,true,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.NOTE,,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Record Type Code,rcrd_tp_code,Phân loại bản ghi.,Classification Value,string,true,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.RECORD_TYPE,Scheme: RECORD_TYPE. Nguồn lưu dạng số (NUMBER) — ETL cần convert sang string.,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Record Status Code,rcrd_st_code,Trạng thái bản ghi vi phạm (1=Hoạt động).,Classification Value,string,false,false,NHNCK,VIOLATIONS,NHNCK.qlnhn.VIOLATIONS.RECORD_STATUS,Scheme: VIOLATION_STATUS. Nguồn lưu dạng số (NUMBER) — ETL cần convert sang string.,Source System Code = 'NHNCK_VIOLATIONS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Securities Practitioner Professional Training Class Enrollment Id,scr_prac_prof_trn_clss_enrollment_id,Id tự sinh (surrogate key),Surrogate Key,string,false,true,NHNCK,SPECIALIZATION_COURSE_DETAILS,,PK surrogate. BCV: Business Activity — đăng ký học viên vào lớp đào tạo nghiệp vụ + kết quả.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Securities Practitioner Professional Training Class Enrollment Code,scr_prac_prof_trn_clss_enrollment_code,Mã định danh (BK từ PK nguồn),Text,string,false,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.ID,BK chính.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Source System Code,src_stm_code,Mã nguồn dữ liệu,Classification Value,string,false,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',NHNCK.SPECIALIZATION_COURSE_DETAILS
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Securities Practitioner Professional Training Class Id,scr_prac_prof_trn_clss_id,FK đến lớp đào tạo nghiệp vụ chứng khoán,Surrogate Key,string,false,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.SPECIALIZATION_COURSE_ID,FK target: Securities Practitioner Professional Training Class.Securities Practitioner Professional Training Class Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
