source_system,source_table,atomic_entity,group,lld_file
NHNCK,COUNTRIES,Geographic Area,T1,attr_NHNCK_COUNTRIES.csv
NHNCK,PROVINCES,Geographic Area,T1,attr_NHNCK_PROVINCES.csv
NHNCK,DISTRICTS,Geographic Area,T1,attr_NHNCK_DISTRICTS.csv
NHNCK,UNITS,Regulatory Authority Organization Unit,T1,attr_NHNCK_UNITS.csv
NHNCK,UNITS,Involved Party Postal Address,T1,attr_NHNCK_UNITS_IP_Postal_Address.csv
NHNCK,UNITS,Involved Party Electronic Address,T1,attr_NHNCK_UNITS_IP_Electronic_Address.csv
NHNCK,DEPARTMENTS,Regulatory Authority Organization Unit,T1,attr_NHNCK_DEPARTMENTS.csv
NHNCK,ORGANIZATIONS,Securities Organization Reference,T1,attr_NHNCK_ORGANIZATIONS.csv
NHNCK,ORGANIZATIONS,Involved Party Postal Address,T1,attr_NHNCK_ORGANIZATIONS_IP_Postal_Address.csv
NHNCK,ORGANIZATIONS,Involved Party Electronic Address,T1,attr_NHNCK_ORGANIZATIONS_IP_Electronic_Address.csv
NHNCK,DECISIONS,Securities Practitioner License Decision Document,T1,attr_NHNCK_DECISIONS.csv
NHNCK,USERS,Regulatory Authority Officer,T1,attr_NHNCK_USERS.csv
NHNCK,USERS,Involved Party Electronic Address,T1,attr_NHNCK_USERS_IP_Electronic_Address.csv
NHNCK,PROFESSIONALS,Securities Practitioner,T2,attr_NHNCK_PROFESSIONALS.csv
NHNCK,PROFESSIONAL_HISTORIES,Securities Practitioner,T2,attr_NHNCK_PROFESSIONALS.csv
NHNCK,PROFESSIONALS,Involved Party Postal Address,T2,attr_NHNCK_PROFESSIONALS_IP_Postal_Address.csv
NHNCK,PROFESSIONALS,Involved Party Electronic Address,T2,attr_NHNCK_PROFESSIONALS_IP_Electronic_Address.csv
NHNCK,PROFESSIONALS,Involved Party Alternative Identification,T2,attr_NHNCK_PROFESSIONALS_IP_Alt_Identification.csv
NHNCK,SPECIALIZATION_COURSES,Securities Practitioner Professional Training Class,T2,attr_NHNCK_SPECIALIZATION_COURSES.csv
NHNCK,EXAM_SESSIONS,Securities Practitioner Qualification Examination Assessment,T2,attr_NHNCK_EXAM_SESSIONS.csv
NHNCK,CERTIFICATE_RECORDS,Securities Practitioner License Certificate Document,T3,attr_NHNCK_CERTIFICATE_RECORDS.csv
NHNCK,APPLICATIONS,Securities Practitioner License Application,T3,attr_NHNCK_APPLICATIONS.csv
NHNCK,PROFESSIONAL_WORK_HISTORIES,Securities Practitioner Employment Status,T3,attr_NHNCK_PROFESSIONAL_WORK_HISTORIES.csv
NHNCK,PROFESSIONAL_RELATIONSHIPS,Securities Practitioner Related Party,T3,attr_NHNCK_PROFESSIONAL_RELATIONSHIPS.csv
NHNCK,VIOLATIONS,Securities Practitioner Conduct Violation,T3,attr_NHNCK_VIOLATIONS.csv
NHNCK,ORGANIZATION_REPORTS,Securities Practitioner Organization Employment Report,T3,attr_NHNCK_ORGANIZATION_REPORTS.csv
NHNCK,SPECIALIZATION_COURSE_DETAILS,Securities Practitioner Professional Training Class Enrollment,T3,attr_NHNCK_SPECIALIZATION_COURSE_DETAILS.csv
NHNCK,EXAM_DETAILS,Securities Practitioner Qualification Examination Assessment Result,T3,attr_NHNCK_EXAM_DETAILS.csv
NHNCK,EXAM_SESSION_FEES,Securities Practitioner Qualification Examination Assessment Fee,T3,attr_NHNCK_EXAM_SESSION_FEES.csv
NHNCK,APPLICATION_SPECIALIZATIONS,Securities Practitioner License Application Education Certificate Document,T4,attr_NHNCK_APPLICATION_SPECIALIZATIONS.csv
NHNCK,APPLICATION_FEES,Securities Practitioner License Application Fee,T4,attr_NHNCK_APPLICATION_FEES.csv
NHNCK,APPLICATION_EXPERIENCES,Securities Practitioner License Application Employment Experience,T4,attr_NHNCK_APPLICATION_EXPERIENCES.csv
NHNCK,APPLICATION_PROFESSIONALS,Securities Practitioner License Application Snapshot,T4,attr_NHNCK_APPLICATION_PROFESSIONALS.csv
NHNCK,APPLICATION_RE_EXAMS,Securities Practitioner License Application Re-Exam Request,T4,attr_NHNCK_APPLICATION_RE_EXAMS.csv
NHNCK,PROFESSIONAL_TRAININGS,Securities Practitioner Professional Training History,T4,attr_NHNCK_PROFESSIONAL_TRAININGS.csv
