subfolder,file_name,id,physical_name,logical_name,bcv_core_object,bcv_concept,table_type,etl_pattern,source,status,attribute_count,brd_ref
Business_Activity,dm_atm_scr_prac_conduct_vln-NHNCK.VIOLATIONS.yaml,ATM-scr_prac_conduct_vln-NHNCK.VIOLATIONS,scr_prac_conduct_vln,Securities Practitioner Conduct Violation,Business Activity,[Business Activity] Conduct Violation,Fact Append,Fact Append,NHNCK,approved,14,BRD-SRC-NHNCK-VIOLATIONS
Business_Activity,dm_atm_scr_prac_prof_trn_clss_enrollment-NHNCK.SPECIALIZATION_COURSE_DETAILS.yaml,ATM-scr_prac_prof_trn_clss_enrollment-NHNCK.SPECIALIZATION_COURSE_DETAILS,scr_prac_prof_trn_clss_enrollment,Securities Practitioner Professional Training Class Enrollment,Business Activity,[Business Activity] Business Activity,Fundamental,SCD4A,NHNCK,approved,33,BRD-SRC-NHNCK-SPECIALIZATION_COURSE_DETAILS
Communication,dm_atm_scr_prac_qualf_exam_ases-NHNCK.EXAM_SESSIONS.yaml,ATM-scr_prac_qualf_exam_ases-NHNCK.EXAM_SESSIONS,scr_prac_qualf_exam_ases,Securities Practitioner Qualification Examination Assessment,Communication,[Communication] Assessment,Fundamental,SCD4A,NHNCK,approved,27,BRD-SRC-NHNCK-EXAM_SESSIONS
Communication,dm_atm_scr_prac_qualf_exam_ases_rslt-NHNCK.EXAM_DETAILS.yaml,ATM-scr_prac_qualf_exam_ases_rslt-NHNCK.EXAM_DETAILS,scr_prac_qualf_exam_ases_rslt,Securities Practitioner Qualification Examination Assessment Result,Communication,[Communication] Assessment,Fundamental,SCD4A,NHNCK,approved,22,BRD-SRC-NHNCK-EXAM_DETAILS
Condition,dm_atm_scr_prac_qualf_exam_ases_fee-NHNCK.EXAM_SESSION_FEES.yaml,ATM-scr_prac_qualf_exam_ases_fee-NHNCK.EXAM_SESSION_FEES,scr_prac_qualf_exam_ases_fee,Securities Practitioner Qualification Examination Assessment Fee,Condition,[Condition] Financial Charge,Fundamental,SCD4A,NHNCK,approved,15,BRD-SRC-NHNCK-EXAM_SESSION_FEES
Documentation,dm_atm_scr_prac_license_ap-NHNCK.APPLICATIONS.yaml,ATM-scr_prac_license_ap-NHNCK.APPLICATIONS,scr_prac_license_ap,Securities Practitioner License Application,Documentation,[Documentation] Gov. Registration Document,Fundamental,SCD4A,NHNCK,approved,38,BRD-SRC-NHNCK-APPLICATIONS
Documentation,dm_atm_scr_prac_license_ap_ed_ctf_doc-NHNCK.APPLICATION_SPECIALIZATIONS.yaml,ATM-scr_prac_license_ap_ed_ctf_doc-NHNCK.APPLICATION_SPECIALIZATIONS,scr_prac_license_ap_ed_ctf_doc,Securities Practitioner License Application Education Certificate Document,Documentation,[Documentation] Education Certificate,Fundamental,SCD4A,NHNCK,approved,14,BRD-SRC-NHNCK-APPLICATION_SPECIALIZATIONS
Documentation,dm_atm_scr_prac_license_ap_re_exam_rqs-NHNCK.APPLICATION_RE_EXAMS.yaml,ATM-scr_prac_license_ap_re_exam_rqs-NHNCK.APPLICATION_RE_EXAMS,scr_prac_license_ap_re_exam_rqs,Securities Practitioner License Application Re-Exam Request,Documentation,[Documentation] Gov. Registration Document,Fundamental,SCD4A,NHNCK,approved,16,BRD-SRC-NHNCK-APPLICATION_RE_EXAMS
Documentation,dm_atm_scr_prac_license_ctf_doc-NHNCK.CERTIFICATE_RECORDS.yaml,ATM-scr_prac_license_ctf_doc-NHNCK.CERTIFICATE_RECORDS,scr_prac_license_ctf_doc,Securities Practitioner License Certificate Document,Documentation,[Documentation] Gov. Registration Document,Fundamental,SCD4A,NHNCK,approved,23,BRD-SRC-NHNCK-CERTIFICATE_RECORDS
Documentation,dm_atm_scr_prac_license_dcsn_doc-NHNCK.DECISIONS.yaml,ATM-scr_prac_license_dcsn_doc-NHNCK.DECISIONS,scr_prac_license_dcsn_doc,Securities Practitioner License Decision Document,Documentation,[Documentation] Gov. Registration Document,Fundamental,SCD4A,NHNCK,approved,17,BRD-SRC-NHNCK-DECISIONS
