source_system,staging_table,ods_table,table_type,technical_table,etl_handle,filter,description
DCST,stg_dcst_cau_hinh_goi_tin,ods_dcst_cau_hinh_goi_tin,,,Incremental - Append,,Lưu các thông tin về cấu hình gói tin trao đổi giữa UBCKNN và Cục Thuế
DCST,stg_dcst_chucnang,ods_dcst_chucnang,,,Incremental - Append,,Lưu các thông tin danh sách các menu hệ thống
DCST,stg_dcst_dm_chucvu,ods_dcst_dm_chucvu,,,Incremental - Append,,Lưu các thông tin về danh mục chức vụ
DCST,stg_dcst_dm_don_vi,ods_dcst_dm_don_vi,,,Incremental - Append,,Lưu các thông tin về danh mục đơn vị
DCST,stg_dcst_ht_tham_so,ods_dcst_ht_tham_so,,,Incremental - Append,,Lưu các thông tin về tham số hệ thống
DCST,stg_dcst_nguoidung,ods_dcst_nguoidung,,,Incremental - Append,,Lưu các thông tin về người dùng hệ thống
DCST,stg_dcst_nguoidung_nhomnguoidung,ods_dcst_nguoidung_nhomnguoidung,,,Incremental - Append,,Bảng mapping giữa người dùng và nhóm người dùng
DCST,stg_dcst_nhat_ky_he_thong,ods_dcst_nhat_ky_he_thong,,,Incremental - Append,,"Lưu các thông tin về nhật ký hệ thống, các thao tác của người dùng trên hệ thống"
DCST,stg_dcst_nhomnguoidung,ods_dcst_nhomnguoidung,,,Incremental - Append,,Lưu các thông tin về nhóm người dùng trên hệ thống
DCST,stg_dcst_nhomnguoidung_chucnang,ods_dcst_nhomnguoidung_chucnang,,,Incremental - Append,,Bảng mapping giữa nhóm người dùng và chức năng hệ thống
DCST,stg_dcst_thiet_lap_lich,ods_dcst_thiet_lap_lich,,,Incremental - Append,,Bảng lưu cấu hình lịch truyền/ nhận dữ liệu giữa UBCKNN và Cục Thuế
DCST,stg_dcst_db_log,ods_dcst_db_log,,,Incremental - Append,,Bảng lưu log truy vẫn trên database
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,,,Incremental - Append,,Lưu các thông tin về công ty kiểm toán
DCST,stg_dcst_dn_rui_ro_cao,ods_dcst_dn_rui_ro_cao,,,Incremental - Append,,Lưu các thông tin về Doanh nghiệp rủi ro cao được lấy về từ Cục Thuế
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,,,Incremental - Append,,Lưu các thông tin về dữ liệu gói tin truyền nhận giữa UBCKNN và Cục Thuế
DCST,stg_dcst_kiem_toan_vien,ods_dcst_kiem_toan_vien,,,Incremental - Append,,Lưu các thông tin về Kiểm toán viên
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,,,Incremental - Append,,"Bảng lưu thông tin công ty bao gồm thông tin công ty đại chúng, công ty chứng khoán, công ty quản lý quỹ"
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,,,Incremental - Append,,Bảng lưu thông tin đăng ký thuế được lấy từ Cục Thuế
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,,,Incremental - Append,,Bảng lưu các thông tin về xử phạt tại UBCKNN
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,,,Incremental - Append,,Bảng lưu các báo cáo tài chỉnh lấy từ Cục Thuế
DCST,stg_dcst_tct_bao_cao_chi_tiet,ods_dcst_tct_bao_cao_chi_tiet,,,Incremental - Append,,Bảng lưu các thông tin chi tiết của báo cáo tài chỉnh lấy từ Cục Thuế
DCST,stg_dcst_tct_tt_cuong_che_no,ods_dcst_tct_tt_cuong_che_no,,,Incremental - Append,,Bảng lưu các thông tin cưỡng chế nợ lấy từ Cục Thuế
DCST,stg_dcst_tt_xly_vi_pham,ods_dcst_tt_xly_vi_pham,,,Incremental - Append,,Bảng lưu các thông tin xử lý vi phạm pháp luật về thuế
DCST,stg_dcst_ubck_bao_cao,ods_dcst_ubck_bao_cao,,,Incremental - Append,,Bảng lưu các báo cáo tài chính lấy từ các hệ thống của UBCKNN
DCST,stg_dcst_ubck_bao_cao_chi_tiet,ods_dcst_ubck_bao_cao_chi_tiet,,,Incremental - Append,,Bảng lưu các thông tin chi tiết của báo cáo tài chỉnh lấy từ các hệ thống tại UBCKNN
DCST,stg_dcst_danh_muc,ods_dcst_danh_muc,,,Incremental - Append,,Bảng lưu các thông tin cấu hình danh mục
DCST,stg_dcst_nhom_danh_muc,ods_dcst_nhom_danh_muc,,,Incremental - Append,,Bảng lưu các thông tin cấu hình nhóm danh mục
DCST,stg_dcst_tct_ttccn_hoa_don,ods_dcst_tct_ttccn_hoa_don,,,Incremental - Append,,Bảng lưu các thông tin cưỡng chế nợ thông qua hóa đơn
DCST,stg_dcst_hoa_don_chi_tiet,ods_dcst_hoa_don_chi_tiet,,,Incremental - Append,,Bảng lưu các thông tin cấu hình hóa đơn
DCST,stg_dcst_ttkdt_nguoi_dai_dien,ods_dcst_ttkdt_nguoi_dai_dien,,,Incremental - Append,,Bảng lưu các thông tin người đại diện của tổ chức/ doanh nghiệp nộp thuế
FIMS,stg_fims_users,ods_fims_users,,,Incremental - Append,,lưu danh sách người dùng trên hệ thống
FIMS,stg_fims_usersmenus,ods_fims_usersmenus,,,Incremental - Append,,lưu danh sách quyền được phân cho người dùng
FIMS,stg_fims_userrpto,ods_fims_userrpto,,,Incremental - Append,,lưu danh sách phân quyền sử dụng báo cáo đầu ra
