bcv_core_object,atomic_entity,atomic_table,atomic_attribute,atomic_column,description,data_domain,data_type,nullable,is_primary_key,source_system,ods_table,ods_column,comment,classification_context,etl_derived_value
Arrangement,Disclosure Authorization,dscl_ahr,Disclosure Authorization Id,dscl_ahr_id,Khóa đại diện cho ủy quyền CBTT.,Surrogate Key,string,False,True,FIMS,ods_fims_authoannounce,,PK surrogate.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Disclosure Authorization Code,dscl_ahr_code,Mã ủy quyền CBTT. Map từ PK bảng nguồn.,Text,string,False,False,FIMS,ods_fims_authoannounce,id,BK chính.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Source System Code,src_stm_code,Mã nguồn dữ liệu.,Classification Value,string,False,False,FIMS,ods_fims_authoannounce,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Disclosure Representative Id,dscl_rprs_id,FK đến người đại diện CBTT được ủy quyền.,Surrogate Key,string,False,False,FIMS,ods_fims_authoannounce,infodiscrepresid,FK target: Disclosure Representative.Disclosure Representative Id.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Disclosure Representative Code,dscl_rprs_code,Mã người đại diện CBTT được ủy quyền.,Text,string,False,False,FIMS,ods_fims_authoannounce,infodiscrepresid,Lookup pair: Disclosure Representative.Disclosure Representative Code. Pair with Disclosure Representative Id.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Relationship Type Code,rltnp_tp_code,Loại quan hệ ủy quyền. Dữ liệu lấy từ trường ID của bảng RELATIONSHIP.,Classification Value,string,True,False,FIMS,ods_fims_authoannounce,relationshipid,Scheme: FIMS_RELATIONSHIP_TYPE. Bảng RELATIONSHIP chỉ có cột Id — cần bổ sung cấu trúc.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Related Properties Code,rel_properties_code,Hình thức liên quan trong ủy quyền. Dữ liệu lấy từ trường ID của bảng RELATEDPROPERTIES.,Classification Value,string,True,False,FIMS,ods_fims_authoannounce,relatedpropertiesid,Scheme: FIMS_RELATED_PROPERTIES.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Effective Start Date,eff_strt_dt,Ngày bắt đầu có hiệu lực ủy quyền.,Date,date,True,False,FIMS,ods_fims_authoannounce,sdate,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Effective End Date,eff_end_dt,Ngày kết thúc hiệu lực ủy quyền.,Date,date,True,False,FIMS,ods_fims_authoannounce,edate,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Created By,crt_by,Người tạo bản ghi.,Text,string,True,False,FIMS,ods_fims_authoannounce,createdby,Mã người dùng hệ thống — denormalized.,Source System Code = 'FIMS_AUTHOANNOUNCE',
