bcv_core_object,silver_entity,silver_attribute,silver_data_type,description,data_domain,nullable,is_primary_key,source_system,source_table,source_column,comment,classification_context,etl_derived_value
Arrangement,Disclosure Authorization,Disclosure Authorization Id,string,Khóa đại diện cho ủy quyền CBTT.,Surrogate Key,False,True,FIMS,AUTHOANNOUNCE,,PK surrogate.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Disclosure Authorization Code,string,Mã ủy quyền CBTT. Map từ PK bảng nguồn.,Text,False,False,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.id,BK chính.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Source System Code,string,Mã nguồn dữ liệu.,Classification Value,False,False,FIMS,AUTHOANNOUNCE,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Disclosure Representative Id,string,FK đến người đại diện CBTT được ủy quyền.,Surrogate Key,False,False,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.InfoDiscRepresId,FK target: Disclosure Representative.Disclosure Representative Id.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Disclosure Representative Code,string,Mã người đại diện CBTT được ủy quyền.,Text,False,False,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.InfoDiscRepresId,FK target: Disclosure Representative.Disclosure Representative Code. Pair with Disclosure Representative Id.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Relationship Type Code,string,Loại quan hệ ủy quyền. Dữ liệu lấy từ trường ID của bảng RELATIONSHIP.,Classification Value,True,False,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.RelationshipId,Scheme: FIMS_RELATIONSHIP_TYPE. Bảng RELATIONSHIP chỉ có cột Id — cần bổ sung cấu trúc.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Related Properties Code,string,Hình thức liên quan trong ủy quyền. Dữ liệu lấy từ trường ID của bảng RELATEDPROPERTIES.,Classification Value,True,False,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.RelatedPropertiesId,Scheme: FIMS_RELATED_PROPERTIES.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Effective Start Date,date,Ngày bắt đầu có hiệu lực ủy quyền.,Date,True,False,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.SDate,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Effective End Date,date,Ngày kết thúc hiệu lực ủy quyền.,Date,True,False,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.EDate,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Created By,string,Người tạo bản ghi.,Text,True,False,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.CreatedBy,Mã người dùng hệ thống — denormalized.,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Created Timestamp,timestamp,Ngày tạo bản ghi.,Timestamp,True,False,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.DateCreated,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,Updated Timestamp,timestamp,Ngày cập nhật bản ghi.,Timestamp,True,False,FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE.DateModified,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Discretionary Investment Account,Discretionary Investment Account Id,string,Khóa đại diện cho hợp đồng ủy thác quản lý danh mục.,Surrogate Key,False,True,FMS,INVESACC,,PK surrogate.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Discretionary Investment Account Code,string,Mã định danh tài khoản ủy thác. Map từ PK bảng nguồn.,Text,False,False,FMS,INVESACC,FMS.INVESACC.Id,BK chính.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Source System Code,string,Mã nguồn dữ liệu.,Classification Value,False,False,FMS,INVESACC,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Discretionary Investment Investor Id,string,FK đến nhà đầu tư ủy thác.,Surrogate Key,False,False,FMS,INVESACC,FMS.INVESACC.InvesId,FK target: Discretionary Investment Investor.Discretionary Investment Investor Id.,Source System Code = 'FMS_INVESACC',
