atomic_entity,source_system(s),cluster_size,proposed_domain_prefix,proposed_bcv_term,proposed_entity_physical_name,old_entity_physical_name,flag,other_proposals
Audit Firm,SCMS,2,Audit Firm,,audit_firm,audt_firm,HEAD_EMPTY_BCV,
Audit Firm Auditor,SCMS,2,Audit Firm,Auditor,af_auditor,audt_firm_audtr,OK,
Examination Result Notice,THANHTRA,2,Examination Result Notice,,examination_result_notice,exam_rslt_ntc,HEAD_EMPTY_BCV,
Examination Result Notice Remedial,THANHTRA,2,Examination Result Notice,Remedial,ern_remedial,exam_rslt_ntc_rmdl,OK,
Examination Team Member,THANHTRA,2,Examination Team,Member,et_member,exam_tm_mbr,OK,
Examination Team Target,THANHTRA,2,Examination Team,Target,et_target,exam_tm_trgt,OK,
Inspection Conclusion,THANHTRA,2,Inspection Conclusion,,inspection_conclusion,insp_cncl,HEAD_EMPTY_BCV,
Inspection Conclusion Remedial,THANHTRA,2,Inspection Conclusion,Remedial,ic_remedial,insp_cncl_rmdl,OK,
Inspection Team Member,THANHTRA,2,Inspection Team,Member,it_member,insp_tm_mbr,OK,
Inspection Team Target,THANHTRA,2,Inspection Team,Target,it_target,insp_tm_trgt,OK,
Involved Party Alternative Identification,"NHNCK, IAM, SCMS",3,Involved Party,Alternative Identification,ip_alternative_identification,ip_alt_identn,OK,
Involved Party Electronic Address,"NHNCK, IAM, SCMS",3,Involved Party,Electronic Address,ip_electronic_address,ip_elc_adr,OK,
Involved Party Postal Address,"NHNCK, IAM, SCMS",3,Involved Party,Postal Address,ip_postal_address,ip_pst_adr,OK,
Penalty Decision,THANHTRA,4,Penalty Decision,,penalty_decision,pny_dcsn,HEAD_EMPTY_BCV,
Penalty Decision Circumstance,THANHTRA,4,Penalty Decision,Circumstance,pd_circumstance,pny_dcsn_sbj_bhvr_crcm,OK,
Penalty Decision Subject,THANHTRA,2,Penalty Decision Subject,,penalty_decision_subject,pny_dcsn_sbj,HEAD_EMPTY_BCV,
Penalty Decision Subject Behavior,THANHTRA,2,Penalty Decision Subject,Behavior,pds_behavior,pny_dcsn_sbj_bhvr,OK,
Regulatory Authority Officer,NHNCK,2,Regulatory Authority,Officer,ra_officer,reg_ahr_ofcr,OK,
Regulatory Authority Organization Unit,NHNCK,2,Regulatory Authority,Organization Unit,ra_organization_unit,reg_ahr_ou,OK,
Securities Company,SCMS,41,Securities Company,,securities_company,scr_co,HEAD_EMPTY_BCV,
Securities Company Adhoc Report,SCMS,41,Securities Company,Adhoc Report,sc_adhoc_report,scr_co_adhc_rprt,OK,
Securities Company Complaint Petition,SCMS,41,Securities Company,Complaint Petition,sc_complaint_petition,scr_co_cmplnt_ptn,OK,
Securities Company Custodian Bank,SCMS,41,Securities Company,Custodian Bank,sc_custodian_bank,scr_co_cstdn_bnk,OK,
