gold_entity,table_type,status,description,source_table,FKs
Calendar Date Dimension,dim,draft,Lịch ngày — năm/quý/tháng/tuần phục vụ slicer và phân tích theo thời gian,Generated,
Securities Practitioner Dimension,dim,draft,Người hành nghề chứng khoán — tên/ngày sinh/quốc tịch/trình độ/trạng thái hành nghề,Securities Practitioner,
Securities Organization Reference Dimension,dim,draft,Tổ chức chứng khoán — tên/loại/trạng thái hoạt động,Securities Organization Reference,
Classification Dimension,dim,draft,Bảng phân loại chung — gộp tất cả classification value theo scheme: CERTIFICATE_TYPE/CERTIFICATE_STATUS/RELATIONSHIP_TYPE/CONDUCT_VIOLATION_TYPE/VIOLATION_STATUS/EXAMINATION_RESULT/TRAINING_RESULT,Classification Value,
Securities Practitioner Related Party Dimension,dim,draft,Người liên quan của NHN — tên/nghề nghiệp/nơi làm việc/năm sinh/quốc gia. Chứa cả NLQ là NHN lẫn không phải NHN,Securities Practitioner Related Party,
Organization Reports Dimension,dim,draft,Lượt công tác NHN tại tổ chức — chức vụ/phòng ban/ngày bắt đầu/ngày kết thúc,Securities Practitioner Organization Employment Report,
Examination Session Dimension,dim,draft,Đợt thi sát hạch CCHN — tên đợt/năm thi/ngày thi/đơn vị tổ chức/QĐ công nhận,Securities Practitioner Qualification Examination Assessment,
Professional Training Class Dimension,dim,draft,Khóa cập nhật kiến thức — tên khóa/năm học/ngày thi/mã khóa,Securities Practitioner Professional Training Class,
Fact Practitioner Snapshot,fact,draft,Periodic snapshot NHN — chụp toàn bộ NHN mỗi ngày batch kèm thông tin CCHN đại diện/nơi công tác hiện tại,Securities Practitioner / Securities Practitioner License Certificate Document,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Securities Organization Reference Dimension.Organization Dimension Id | Classification Dimension.Certificate Type Dimension Id
Fact Certificate Snapshot,fact,draft,Periodic snapshot CCHN — chụp toàn bộ chứng chỉ hành nghề mỗi ngày batch với loại hình/trạng thái/ngày cấp/ngày thu hồi,Securities Practitioner License Certificate Document,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Securities Organization Reference Dimension.Organization Dimension Id | Classification Dimension.Certificate Type Dimension Id | Classification Dimension.Certificate Status Dimension Id
Fact Violation,fact,draft,Event fact vi phạm NHN — ghi nhận từng sự kiện vi phạm hành chính/pháp luật với nội dung/quyết định/hình thức xử phạt,Securities Practitioner Conduct Violation,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Classification Dimension.Conduct Violation Type Dimension Id | Classification Dimension.Violation Status Dimension Id
Fact Practitioner Employment Snapshot,fact,draft,Factless periodic snapshot — ghi nhận quan hệ NHN với tổ chức qua các lượt công tác. Thông tin chi tiết lookup từ Organization Reports Dimension,Securities Practitioner Organization Employment Report,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Organization Reports Dimension.Organization Reports Dimension Id | Securities Organization Reference Dimension.Organization Dimension Id
Fact Practitioner Relationship Snapshot,fact,draft,Factless periodic snapshot — ghi nhận quan hệ gia đình NHN với người liên quan. Dữ liệu 2 chiều lấy as-is từ Silver,Securities Practitioner Related Party,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Securities Practitioner Related Party Dimension.Related Party Dimension Id | Classification Dimension.Relationship Type Dimension Id
Fact Examination Result,fact,draft,Event fact kết quả thi sát hạch — ghi nhận điểm thi/kết quả per NHN per đợt thi,Securities Practitioner Qualification Examination Assessment Result,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Examination Session Dimension.Examination Session Dimension Id | Classification Dimension.Examination Result Dimension Id
Fact Training Enrollment,fact,draft,Event fact đăng ký khóa cập nhật kiến thức — ghi nhận điểm/kết quả per NHN per khóa học,Securities Practitioner Professional Training Class Enrollment,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Professional Training Class Dimension.Training Class Dimension Id | Classification Dimension.Training Result Dimension Id
