"stt","datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"1","Asset Category Dimension","ast_cgy_dim","Asset Category Code","ast_cgy_code","False","Text","string","NK","Mã loại tài sản — ETL derived từ FIMS_SECURITIES_TYPE. Xem O_NDTNN_9","","pending","Classification Value","","scheme = FIMS_SECURITIES_TYPE",""
"1","Asset Category Dimension","ast_cgy_dim","Asset Category Dimension Id","ast_cgy_dim_id","False","Surrogate Key","string","PK","Surrogate key","","pending","Generated","","",""
"1","Asset Category Dimension","ast_cgy_dim","Asset Category Name","ast_cgy_nm","True","Text","string","","Tên loại tài sản (Cổ phiếu CCQ niêm yết / Trái phiếu / UPCoM / Vốn góp CK khác / Tiền tương đương)","","pending","Classification Value","","scheme = FIMS_SECURITIES_TYPE",""
"1","Asset Category Dimension","ast_cgy_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã nguồn dữ liệu. Pending — Atomic source chưa xác định (scheme FIMS_SECURITIES_TYPE chưa resolve).","","pending","","","",""
"2","Business Type Dimension","bsn_tp_dim","Business Category Code","bsn_cgy_code","true","Classification Value","string","","CASE WHEN cv.cl_code IN ('MGIOI','BLANH','TUVAN','TDOANH') THEN 'NGHIEP_VU' ELSE NULL END (scheme: FIMS_BUSINESS_TYPE)","CASE WHEN cv.cl_code IN ('MGIOI','BLANH','TUVAN','TDOANH') THEN 'NGHIEP_VU' ELSE NULL END","computed","Classification Value","cv","Classification Code","cl_code"
"2","Business Type Dimension","bsn_tp_dim","Business Type Code","bsn_tp_code","false","Text","string","NK","Mã nghiệp vụ — Classification Value (scheme: FIMS_BUSINESS_TYPE)","","","Classification Value","cv","Classification Code","cl_code"
"2","Business Type Dimension","bsn_tp_dim","Business Type Dimension Id","bsn_tp_dim_id","false","Surrogate Key","string","PK","Surrogate key ETL generated","","","Generated","","ETL derived",""
"2","Business Type Dimension","bsn_tp_dim","Business Type Name","bsn_tp_nm","true","Text","string","","Tên nghiệp vụ — Classification Value (scheme: FIMS_BUSINESS_TYPE)","cv.cl_nm","direct","Classification Value","cv","Classification Name","cl_nm"
"2","Business Type Dimension","bsn_tp_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn","cv.src_stm_code WHERE cv.scm_code = 'FIMS_BUSINESS_TYPE'","direct","Classification Value","cv","Source System Code","src_stm_code"
"3","Calendar Date Dimension","cdr_dt_dim","Calendar Date","cdr_dt","false","Date","date","NK","Ngày dương lịch — NK join anchor","cdr_dt.cdr_dt","direct","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Full Date","cdr_dt","false","Date","date","NK","Ngày đầy đủ — NK của Calendar Date Dimension.","cdr_dt.cdr_dt","direct","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Calendar Date","cdr_dt","false","Date","date","NK","Natural key — ngày lịch","","","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Calendar Date","cdr_dt","false","Date","date","NK","Ngày đầy đủ — natural key lịch","cdr_dt.cdr_dt","direct","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Calendar Date Dimension Id","cdr_dt_dim_id","false","Surrogate Key","string","PK","Surrogate key — map từ Atomic Calendar Date Id (int yyyymmdd)","cdr_dt.cdr_dt_id","direct","Calendar Date","cdr_dt","Calendar Date Id","cdr_dt_id"
"3","Calendar Date Dimension","cdr_dt_dim","Date Dimension Id","cdr_dt_dim_id","false","Surrogate Key","string","PK","Surrogate key. Driving table: cdr_dt.","","","Generated","","",""
"3","Calendar Date Dimension","cdr_dt_dim","Calendar Date Dimension Id","cdr_dt_dim_id","false","Surrogate Key","string","PK","Surrogate key ETL generated","","","","","",""
"3","Calendar Date Dimension","cdr_dt_dim","Calendar Date Dimension Id","cdr_dt_dim_id","false","Surrogate Key","string","PK","Surrogate key lịch ngày. Driving table: cdr_dt","cdr_dt.cdr_dt_id","direct","Calendar Date","cdr_dt","Calendar Date Id","cdr_dt_id"
"3","Calendar Date Dimension","cdr_dt_dim","Day Of Week","day_of_wk","true","Small Counter","int","","Thứ trong tuần (1=Thứ 2 ... 7=Chủ nhật)","DAYOFWEEK(cdr_dt.cdr_dt)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Day Of Week","day_of_wk","true","Small Counter","int","","Thứ trong tuần (1=CN, 7=T7) — derived từ Full Date.","DAYOFWEEK(cdr_dt.cdr_dt)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Day Of Week","day_of_wk","false","Small Counter","int","","Ngày trong tuần (1=CN, 7=T7)","DAYOFWEEK(cdr_dt.cdr_dt)","computed","","","",""
"3","Calendar Date Dimension","cdr_dt_dim","Day of Week","day_of_wk","true","Small Counter","int","","Ngày trong tuần (1=CN, 7=T7)","DAYOFWEEK(cdr_dt.cdr_dt)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Holiday Flag","hol_f","true","Boolean","boolean","","Cờ ngày nghỉ lễ công cộng","cdr_dt.hol_f","direct","Calendar Date","cdr_dt","Holiday Flag","hol_f"
"3","Calendar Date Dimension","cdr_dt_dim","Holiday Flag","hol_f","true","Boolean","boolean","","Cờ ngày lễ — True nếu là ngày nghỉ lễ theo lịch VN.","cdr_dt.hol_f","direct","Calendar Date","cdr_dt","Holiday Flag","hol_f"
"3","Calendar Date Dimension","cdr_dt_dim","Holiday Flag","hol_f","false","Indicator","string","","Cờ ngày lễ","cdr_dt.hol_f","direct","Calendar Date","cdr_dt","Holiday Flag","hol_f"
"3","Calendar Date Dimension","cdr_dt_dim","Holiday Flag","hol_f","true","Indicator","string","","Cờ ngày lễ","cdr_dt.hol_f","direct","Calendar Date","cdr_dt","Holiday Flag","hol_f"
"3","Calendar Date Dimension","cdr_dt_dim","Holiday Name","hol_nm","true","Text","string","","Tên ngày lễ — NULL nếu không phải ngày nghỉ","cdr_dt.hol_nm","direct","Calendar Date","cdr_dt","Holiday Name","hol_nm"
"3","Calendar Date Dimension","cdr_dt_dim","Holiday Name","hol_nm","true","Text","string","","Tên ngày lễ (nếu có).","cdr_dt.hol_nm","direct","Calendar Date","cdr_dt","Holiday Name","hol_nm"
"3","Calendar Date Dimension","cdr_dt_dim","Holiday Name","hol_nm","true","Text","string","","Tên ngày lễ","cdr_dt.hol_nm","direct","Calendar Date","cdr_dt","Holiday Name","hol_nm"
"3","Calendar Date Dimension","cdr_dt_dim","Holiday Name","hol_nm","true","Text","string","","Tên ngày lễ (nếu có)","cdr_dt.hol_nm","direct","Calendar Date","cdr_dt","Holiday Name","hol_nm"
"3","Calendar Date Dimension","cdr_dt_dim","Is Weekend","is_weekend","true","Boolean","boolean","","Cuối tuần (True/False)","DAYOFWEEK(cdr_dt.cdr_dt) IN (1,7)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Is Weekend","is_weekend","true","Boolean","boolean","","Cờ cuối tuần — True nếu Day Of Week IN (1,7).","DAYOFWEEK(cdr_dt.cdr_dt) IN (1,7)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Is Weekend","is_weekend","false","Boolean","boolean","","Cờ cuối tuần","DAYOFWEEK(cdr_dt.cdr_dt) IN (1,7)","computed","","","",""
"3","Calendar Date Dimension","cdr_dt_dim","Is Weekend","is_weekend","true","Boolean","boolean","","True nếu Thứ 7 hoặc Chủ nhật","DAYOFWEEK(cdr_dt.cdr_dt) IN (1,7)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Month","mo","true","Small Counter","int","","Tháng (1–12)","MONTH(cdr_dt.cdr_dt)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Month","mo","true","Small Counter","int","","Tháng — derived từ Full Date.","MONTH(cdr_dt.cdr_dt)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Month","mo","false","Small Counter","int","","Tháng","MONTH(cdr_dt.cdr_dt)","computed","","","",""
"3","Calendar Date Dimension","cdr_dt_dim","Quarter","qtr","true","Small Counter","int","","Quý (1–4)","QUARTER(cdr_dt.cdr_dt)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Quarter","qtr","true","Small Counter","int","","Quý — derived từ Full Date.","QUARTER(cdr_dt.cdr_dt)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Quarter","qtr","false","Small Counter","int","","Quý","QUARTER(cdr_dt.cdr_dt)","computed","","","",""
"3","Calendar Date Dimension","cdr_dt_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — filter nguồn chính thức ECAT_ECAT_29_HolidayInfo. Driving table: cdr_dt.","cdr_dt.src_stm_code WHERE cdr_dt.src_stm_code = 'ECAT_ECAT_29_HolidayInfo'","direct","Calendar Date","cdr_dt","Source System Code","src_stm_code"
"3","Calendar Date Dimension","cdr_dt_dim","Year","yr","true","Small Counter","int","","Năm (YYYY)","YEAR(cdr_dt.cdr_dt)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Year","yr","true","Small Counter","int","","Năm — derived từ Full Date.","YEAR(cdr_dt.cdr_dt)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"3","Calendar Date Dimension","cdr_dt_dim","Year","yr","false","Small Counter","int","","Năm","YEAR(cdr_dt.cdr_dt)","computed","","","",""
"3","Calendar Date Dimension","cdr_dt_dim","Year","yr","true","Small Counter","int","","Năm","YEAR(cdr_dt.cdr_dt)","computed","Calendar Date","cdr_dt","Calendar Date","cdr_dt"
"4","Classification Dimension","cl_dim","Classification Code","cl_code","false","Classification Value","string","","Mã giá trị trong scheme TT_VIOLATION_TYPE","cv.cl_code WHERE cv.scm_code = 'TT_VIOLATION_TYPE'","direct","Classification Value","cv","Classification Code","cl_code"
"4","Classification Dimension","cl_dim","Classification Code","cl_code","false","Classification Value","string","","Mã giá trị trong scheme TT_CASE_STATUS","cv.cl_code WHERE cv.scm_code = 'TT_CASE_STATUS'","direct","Classification Value","cv","Classification Code","cl_code"
"4","Classification Dimension","cl_dim","Classification Code","cl_code","false","Classification Value","string","","Mã giá trị trong scheme TT_PLAN_TYPE","cv.cl_code WHERE cv.scm_code = 'TT_PLAN_TYPE'","direct","Classification Value","cv","Classification Code","cl_code"
"4","Classification Dimension","cl_dim","Classification Code","cl_code","false","Classification Value","string","","Mã giá trị trong scheme TT_PETITION_TYPE","cv.cl_code WHERE cv.scm_code = 'TT_PETITION_TYPE'","direct","Classification Value","cv","Classification Code","cl_code"
"4","Classification Dimension","cl_dim","Classification Code","cl_code","false","Classification Value","string","","Mã giá trị trong scheme TT_PETITION_STATUS","cv.cl_code WHERE cv.scm_code = 'TT_PETITION_STATUS'","direct","Classification Value","cv","Classification Code","cl_code"
"4","Classification Dimension","cl_dim","Classification Code","cl_code","false","Classification Value","string","","Mã giá trị trong scheme TT_SUBJECT_CATEGORY — PENDING (O_TT_4)","","pending","","","",""
"4","Classification Dimension","cl_dim","Classification Code","cl_code","false","Classification Value","string","","Mã giá trị trong scheme TT_PENALTY_SUBJECT_CATEGORY — PENDING (O_TT_9)","","pending","","","",""
"4","Classification Dimension","cl_dim","Classification Dimension Id","cl_dim_id","false","Surrogate Key","string","PK","Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_VIOLATION_TYPE","","","Generated","","ETL derived",""
"4","Classification Dimension","cl_dim","Classification Dimension Id","cl_dim_id","false","Surrogate Key","string","PK","Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_CASE_STATUS","","","Generated","","ETL derived",""
"4","Classification Dimension","cl_dim","Classification Dimension Id","cl_dim_id","false","Surrogate Key","string","PK","Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_PLAN_TYPE","","","Generated","","ETL derived",""
"4","Classification Dimension","cl_dim","Classification Dimension Id","cl_dim_id","false","Surrogate Key","string","PK","Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_PETITION_TYPE","","","Generated","","ETL derived",""
"4","Classification Dimension","cl_dim","Classification Dimension Id","cl_dim_id","false","Surrogate Key","string","PK","Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_PETITION_STATUS","","","Generated","","ETL derived",""
"4","Classification Dimension","cl_dim","Classification Dimension Id","cl_dim_id","false","Surrogate Key","string","PK","Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_SUBJECT_CATEGORY","","","Generated","","ETL derived",""
"4","Classification Dimension","cl_dim","Classification Dimension Id","cl_dim_id","false","Surrogate Key","string","PK","Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_PENALTY_SUBJECT_CATEGORY","","","Generated","","ETL derived",""
"4","Classification Dimension","cl_dim","Classification Name","cl_nm","true","Text","string","","Tên hiển thị tiếng Việt — scheme TT_VIOLATION_TYPE","cv.cl_nm WHERE cv.scm_code = 'TT_VIOLATION_TYPE'","direct","Classification Value","cv","Classification Name","cl_nm"
"4","Classification Dimension","cl_dim","Classification Name","cl_nm","true","Text","string","","Tên hiển thị tiếng Việt — scheme TT_CASE_STATUS","cv.cl_nm WHERE cv.scm_code = 'TT_CASE_STATUS'","direct","Classification Value","cv","Classification Name","cl_nm"
"4","Classification Dimension","cl_dim","Classification Name","cl_nm","true","Text","string","","Tên hiển thị tiếng Việt — scheme TT_PLAN_TYPE","cv.cl_nm WHERE cv.scm_code = 'TT_PLAN_TYPE'","direct","Classification Value","cv","Classification Name","cl_nm"
"4","Classification Dimension","cl_dim","Classification Name","cl_nm","true","Text","string","","Tên hiển thị tiếng Việt — scheme TT_PETITION_TYPE","cv.cl_nm WHERE cv.scm_code = 'TT_PETITION_TYPE'","direct","Classification Value","cv","Classification Name","cl_nm"
"4","Classification Dimension","cl_dim","Classification Name","cl_nm","true","Text","string","","Tên hiển thị tiếng Việt — scheme TT_PETITION_STATUS","cv.cl_nm WHERE cv.scm_code = 'TT_PETITION_STATUS'","direct","Classification Value","cv","Classification Name","cl_nm"
"4","Classification Dimension","cl_dim","Classification Name","cl_nm","true","Text","string","","Tên hiển thị tiếng Việt — scheme TT_SUBJECT_CATEGORY — PENDING (O_TT_4)","","pending","","","",""
"4","Classification Dimension","cl_dim","Classification Name","cl_nm","true","Text","string","","Tên hiển thị tiếng Việt — scheme TT_PENALTY_SUBJECT_CATEGORY — PENDING (O_TT_9)","","pending","","","",""
"4","Classification Dimension","cl_dim","Scheme Code","scm_code","false","Classification Value","string","","Mã scheme phân loại: TT_VIOLATION_TYPE","cv.scm_code WHERE cv.scm_code = 'TT_VIOLATION_TYPE'","direct","Classification Value","cv","Scheme Code","scm_code"
