attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
Tax Financial Statement Item Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,PK surrogate. BCV: Reported Information (Documentation).
Tax Financial Statement Item Code,Mã định danh bản ghi trong DCST. BK,Text,false,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.ID,BK chính. PK nguồn map vào Code.
Source System Code,Mã nguồn dữ liệu. Giá trị: DCST.TCT_BAO_CAO_CHI_TIET,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. Hardcode.
Tax Financial Statement Id,ID bảng TCT_BAO_CAO. FK đến Tax Financial Statement,Surrogate Key,false,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.TCT_BAO_CAO_ID,FK target: Tax Financial Statement.Tax Financial Statement Id.
Tax Financial Statement Code,ID bảng TCT_BAO_CAO,Text,false,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.TCT_BAO_CAO_ID,FK target: Tax Financial Statement.Tax Financial Statement Code. Pair with Tax Financial Statement Id.
Line Item Code,Mã chỉ tiêu,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.MA_CHI_TIEU,Mã định danh chỉ tiêu (VD: A100).
Line Item Name,Tên chỉ tiêu,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.TEN_CHI_TIEU,Denormalized name tương ứng Line Item Code.
Line Item Note,Thuyết minh,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.THUYET_MINH,Ghi chú/thuyết minh bổ sung cho chỉ tiêu.
Sheet Name,Tên sheet,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.TEN_SHEET,Tên sheet trong biểu mẫu báo cáo tài chính.
Year End Amount,Số cuối năm,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_CUOI_NAM,"Nguồn VARCHAR(100) — giữ Text. Wide table: giữ nguyên các cột số liệu, không pivot."
Year Start Amount,Số đầu năm,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_DAU_NAM,Nguồn VARCHAR — giữ Text.
Current Year Amount,Năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.NAM_NAY,
Prior Year Amount,Năm trước,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.NAM_TRUOC,
Prior Year Increase Amount,Số tăng năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_TANG_NAM_TRUOC,Giữ nguyên mô tả nguồn. Lưu ý: mô tả nguồn "Số tăng năm nay" mâu thuẫn với tên cột SO_TANG_NAM_TRUOC — cần xác nhận với team DCST.
Current Year Net Amount,Số năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_NAM_NAY,Khác với NAM_NAY — cột riêng biệt.
Prior Year Net Amount,Số năm ngoái,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_NAM_NGOAI,
Current Year Opening Balance,Số dư đầu năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_DU_DAU_NAM_NAY,Prefix nhất quán Current Year.
Current Year Closing Balance,Số dư cuối năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_DU_CUOI_NAM_NAY,
Prior Year Opening Balance,Số dư đầu năm trước,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_DU_DAU_NAM_TRUOC,Prefix nhất quán Prior Year.
Prior Year Closing Balance,Số dư cuối năm trước,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_DU_CUOI_NAM_TRUOC,
Current Year Increase Amount,Số tăng năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_TANG_NAM_NAY,
Current Year Decrease Amount,Số giảm năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_GIAM_NAM_NAY,
Prior Year Decrease Amount,Số giảm năm trước,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_GIAM_NAM_TRUOC,
Preparer Name,Người lập biểu,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.NGUOILAPBIEU,Prefix Preparer — chủ thể khác với NNT chính.
Chief Accountant Name,Kế toán trưởng,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.KETOANTRUONG,Prefix Chief Accountant — chủ thể khác.
Report Preparation Date,Ngày lập,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.NGAYLAP,Nguồn VARCHAR — giữ Text.
Director Name,Giám đốc,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.GIAMDOC,Prefix Director — chủ thể khác.
Auditor License Number,Số chứng chỉ hành nghề,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SOCHUNGCHIHANHNGHE,Prefix Auditor — nhất quán với Tax Financial Statement.
