attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
Tax Invoice Enforcement Order Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,PK surrogate. BCV: Invoice (Documentation).
Tax Invoice Enforcement Order Code,Mã định danh bản ghi trong DCST. BK,Text,false,false,draft,DCST.TCT_TTCCN_HOA_DON.ID,BK chính. PK nguồn map vào Code.
Source System Code,Mã nguồn dữ liệu. Giá trị: DCST.TCT_TTCCN_HOA_DON,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. Hardcode.
Registered Taxpayer Id,Mã số thuế của người nộp thuế. FK đến Registered Taxpayer,Surrogate Key,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_NNHAN,FK target: Registered Taxpayer.Registered Taxpayer Id. ETL JOIN MA_NNHAN (= MST) → Registered Taxpayer. Nullable vì link ngầm.
Registered Taxpayer Code,Mã số thuế của người nộp thuế,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_NNHAN,FK target: Registered Taxpayer.Registered Taxpayer Code. Pair with Registered Taxpayer Id.
Taxpayer Name,Tên người nộp thuế,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TEN_NNHAN,Snapshot tại thời điểm quyết định.
Supervisory Tax Authority Code,Mã cơ quan quản lý trực tiếp,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_CQT_QL,Nhất quán prefix Supervisory Tax Authority với THONG_TIN_DK_THUE LLD và TCT_TT_CUONG_CHE_NO LLD.
Supervisory Tax Authority Name,Tên cơ quan quản lý trực tiếp,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TEN_CQT_QL,Denormalized name. Nhất quán prefix.
Taxpayer Business Industry,Tên ngành kinh doanh của đối tượng bị cưỡng chế,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.NGANH_KD_DTBCC,Snapshot tại thời điểm quyết định.
Enforcement Type Code,Mã hình thức cưỡng chế,Classification Value,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_HTCC,Scheme: TAX_ENFORCEMENT_TYPE. Với bảng này luôn là hình thức ngừng sử dụng hóa đơn. Dùng chung với TCT_TT_CUONG_CHE_NO.
Enforcement Type Name,Tên hình thức cưỡng chế,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TEN_HTCC,Denormalized name tương ứng Enforcement Type Code.
Electronic Transaction Code,Mã giao dịch điện tử,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_GDDT,Nhất quán với TCT_TT_CUONG_CHE_NO LLD.
Enforcement Order Number,Số quyết định,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.SO_QD,Prefix Invoice Enforcement thể hiện đây là QĐ cưỡng chế theo hình thức ngừng HĐ — phân biệt với Enforcement Order Number trong TCT_TT_CUONG_CHE_NO.
Enforcement Order Date,Ngày quyết định,Date,true,false,draft,DCST.TCT_TTCCN_HOA_DON.NGAY_QD,Nhất quán prefix Invoice Enforcement Order.
Enforcement Effective Start Date,Ngày hiệu lực từ,Date,true,false,draft,DCST.TCT_TTCCN_HOA_DON.NGAY_HIEU_LUC_QD_TU,Nhất quán prefix Enforcement Effective với TCT_TT_CUONG_CHE_NO LLD.
Enforcement Effective End Date,Ngày hiệu lực đến,Date,true,false,draft,DCST.TCT_TTCCN_HOA_DON.NGAY_HIEU_LUC_QD_DEN,Nhất quán prefix Enforcement Effective.
Enforcement Status,Hiệu lực,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.HIEU_LUC,"Nguồn VARCHAR(100) — giữ Text. Cần xác nhận giá trị (còn hiệu lực / hết hiệu lực...). Nếu binary → chuyển Boolean sau khi profile."
Prior Enforcement Order Number,Căn cứ số quyết định,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.CAN_CU_QDSO,"Viện dẫn Enforcement Order Number trong Tax Debt Enforcement Order (biện pháp nhẹ hơn đã áp dụng trước, không hiệu quả). Liên kết logic — không có FK vật lý. Prefix Prior Enforcement phân biệt với Invoice Enforcement Order Number của chính bảng này."
Prior Enforcement Order Date,Căn cứ ngày quyết định,Date,true,false,draft,DCST.TCT_TTCCN_HOA_DON.CAN_CU_QDNGAY,Nhất quán prefix Prior Enforcement Order.
Notice Taxpayer Code,Thông báo: Mã số thuế người nộp thuế,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TB_MA_NNHAN,"Prefix Notice Taxpayer — thường trùng nhóm đối tượng bị CC nhưng có thể khác (VD: thông báo gửi công ty mẹ thay công ty con bị CC). ETL cần xử lý riêng khi resolve FK."
Notice Taxpayer Name,Thông báo: Tên người nộp thuế,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TB_TEN_NNHAN,Cùng lưu ý như Notice Taxpayer Code.
Notice Code,Mã thông báo,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_THONG_BAO,Prefix Notice nhất quán nhóm ⑤.
Notice Name,Tên thông báo,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TEN_THONG_BAO,Denormalized name. Nhất quán prefix Notice.
Notified Tax Debt Amount,Thông báo số tiền nợ và số tiền phạt nộp chậm,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TB_NO_SO,Nguồn VARCHAR(100) — giữ Text vì không có currency code đi kèm. Cần xác nhận đơn vị với team DCST.
Debt Notice Date,Thông báo tiền nợ và tiền phạt nộp chậm,Date,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TB_NO_NGAY,Nhất quán prefix Debt Notice.
