gold_entity,gold_table,gold_attribute,gold_column,nullable,data_domain,data_type,key,description,source_entity,silver_table,source_attribute,silver_column
Calendar Date Dimension,cdr_dt_dim,Calendar Date Dimension Id,cdr_dt_dim_id,False,Surrogate Key,string,PK,ETL generated surrogate key,Generated,,,
Calendar Date Dimension,cdr_dt_dim,Date,dt,True,Date,date,,Ngày lịch,Calendar Date,cdr_dt,Calendar Date,cdr_dt
Calendar Date Dimension,cdr_dt_dim,Year,yr,True,Small Counter,int,,Năm,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Month,mo,True,Small Counter,int,,Tháng (1-12),Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Quarter,qtr,True,Small Counter,int,,Quý (1-4) — ETL derived từ Month,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Day Of Week,day_of_wk,True,Small Counter,int,,"Thứ trong tuần (1=CN, 7=Thứ 7)",Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Week Of Year,wk_of_yr,True,Small Counter,int,,Tuần trong năm (ISO),Generated,,ETL derived,
Fund Management Company Dimension,fnd_mgt_co_dim,Fund Management Company Dimension Id,fnd_mgt_co_dim_id,False,Surrogate Key,string,PK,ETL generated surrogate key,Generated,,,
Fund Management Company Dimension,fnd_mgt_co_dim,Company Code,co_code,True,Text,string,,Mã CTQLQ ← FMS.SECURITIES.Id,Fund Management Company,fnd_mgt_co,Fund Management Company Code,fnd_mgt_co_code
Fund Management Company Dimension,fnd_mgt_co_dim,Company Name,co_nm,True,Text,string,,Tên đầy đủ ← FMS.SECURITIES.FullName,Fund Management Company,fnd_mgt_co,Fund Management Company Name,fnd_mgt_co_nm
Fund Management Company Dimension,fnd_mgt_co_dim,Company Short Name,co_shrt_nm,True,Text,string,,Tên viết tắt ← FMS.SECURITIES.ShortName,Fund Management Company,fnd_mgt_co,Fund Management Company Short Name,fnd_mgt_co_shrt_nm
Fund Management Company Dimension,fnd_mgt_co_dim,Life Cycle Status Code,lcs_code,False,Classification Value,string,,Trạng thái vòng đời ← FMS.SECURITIES.Status,Fund Management Company,fnd_mgt_co,Life Cycle Status Code,lcs_code
Fund Management Company Dimension,fnd_mgt_co_dim,Charter Capital Amount,charter_cptl_amt,True,Currency Amount,"decimal(23,2)",,Vốn điều lệ ← FMS.SECURITIES.SecCapital,Fund Management Company,fnd_mgt_co,Charter Capital Amount,charter_cptl_amt
Fund Management Company Dimension,fnd_mgt_co_dim,Effective Date,eff_dt,True,Date,date,,Ngày hiệu lực SCD2,Generated,,ETL derived,
Fund Management Company Dimension,fnd_mgt_co_dim,Expiry Date,expiry_dt,True,Date,date,,Ngày hết hiệu lực SCD2 (9999-12-31 = current),Generated,,ETL derived,
Fund Management Company Dimension,fnd_mgt_co_dim,Population Date,ppn_dt,True,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Investment Fund Dimension,ivsm_fnd_dim,Investment Fund Dimension Id,ivsm_fnd_dim_id,False,Surrogate Key,string,PK,ETL generated surrogate key,Generated,,,
Investment Fund Dimension,ivsm_fnd_dim,Fund Code,fnd_code,True,Text,string,,Mã quỹ ← FMS.FUNDS.Id,Investment Fund,ivsm_fnd,Investment Fund Code,ivsm_fnd_code
Investment Fund Dimension,ivsm_fnd_dim,Fund Name,fnd_nm,True,Text,string,,Tên quỹ ← FMS.FUNDS.FundName,Investment Fund,ivsm_fnd,Investment Fund Name,ivsm_fnd_nm
Investment Fund Dimension,ivsm_fnd_dim,Fund Short Name,fnd_shrt_nm,True,Text,string,,Tên viết tắt ← FMS.FUNDS.FundShortName,Investment Fund,ivsm_fnd,Investment Fund Short Name,ivsm_fnd_shrt_nm
Investment Fund Dimension,ivsm_fnd_dim,Fund Type Code,fnd_tp_code,False,Classification Value,string,,Loại hình quỹ ← FMS.FUNDS.FundType. PENDING O_FMS_10: chờ profile giá trị code cụ thể,Investment Fund,ivsm_fnd,Fund Type Code,fnd_tp_code
Investment Fund Dimension,ivsm_fnd_dim,Practice Status Code,practice_st_code,False,Classification Value,string,,Trạng thái HĐ ← FMS.FUNDS.Status,Investment Fund,ivsm_fnd,Practice Status Code,practice_st_code
Investment Fund Dimension,ivsm_fnd_dim,Fund Capital Amount,fnd_cptl_amt,True,Currency Amount,"decimal(23,2)",,Vốn điều lệ quỹ ← FMS.FUNDS.FundCapital,Investment Fund,ivsm_fnd,Fund Capital Amount,fnd_cptl_amt
Investment Fund Dimension,ivsm_fnd_dim,License Decision Date,license_dcsn_dt,True,Date,date,,Ngày cấp phép ← FMS.FUNDS.DecisionDate,Investment Fund,ivsm_fnd,License Decision Date,license_dcsn_dt
Investment Fund Dimension,ivsm_fnd_dim,Active Date,actv_dt,True,Date,date,,Ngày HĐ ← FMS.FUNDS.ActiveDate,Investment Fund,ivsm_fnd,Active Date,actv_dt
Investment Fund Dimension,ivsm_fnd_dim,Stop Date,stop_dt,True,Date,date,,Ngày dừng HĐ ← FMS.FUNDS.StopDate,Investment Fund,ivsm_fnd,Stop Date,stop_dt
Investment Fund Dimension,ivsm_fnd_dim,Effective Date,eff_dt,True,Date,date,,Ngày hiệu lực SCD2,Generated,,ETL derived,
Investment Fund Dimension,ivsm_fnd_dim,Expiry Date,expiry_dt,True,Date,date,,Ngày hết hiệu lực SCD2 (9999-12-31 = current),Generated,,ETL derived,
Investment Fund Dimension,ivsm_fnd_dim,Population Date,ppn_dt,True,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Fact Fund Management Company Snapshot,fct_fnd_mgt_co_snpst,Snapshot Date Dimension Id,snpst_dt_dim_id,False,Surrogate Dimension Key,string,FK → Calendar Date Dimension,FK lịch — ETL lookup từ snapshot date cuối tháng,Generated,,ETL derived,
Fact Fund Management Company Snapshot,fct_fnd_mgt_co_snpst,Active Company Count,actv_co_cnt,True,Small Counter,int,,COUNT(Fund Management Company) WHERE Life_Cycle_Status = đang HĐ ← FMS.SECURITIES db,Generated,,ETL derived,
Fact Fund Management Company Snapshot,fct_fnd_mgt_co_snpst,Investment Fund Count,ivsm_fnd_cnt,True,Small Counter,int,,COUNT(Investment Fund) tất cả loại hình ← FMS.FUNDS db,Generated,,ETL derived,
Fact Fund Management Company Snapshot,fct_fnd_mgt_co_snpst,Retirement Fund Count,retm_fnd_cnt,True,Small Counter,int,,COUNT(Investment Fund) WHERE Fund_Type_Code = Quỹ hưu trí. PENDING O_FMS_10: chờ code cụ thể,Generated,,ETL derived,
Fact Fund Management Company Snapshot,fct_fnd_mgt_co_snpst,Foreign Org Unit Rep Office Count,frgn_org_unit_rep_offc_cnt,True,Small Counter,int,,COUNT(Foreign FMC Org Unit) loại VPĐD ← FMS.FORBRCH. PENDING O_FMS_7: chờ xác nhận phân biệt VPĐD/CN,Generated,,ETL derived,
Fact Fund Management Company Snapshot,fct_fnd_mgt_co_snpst,Foreign Org Unit Branch Count,frgn_org_unit_br_cnt,True,Small Counter,int,,COUNT(Foreign FMC Org Unit) loại CN ← FMS.FORBRCH. PENDING O_FMS_7,Generated,,ETL derived,
Fact Fund Management Company Snapshot,fct_fnd_mgt_co_snpst,Distribution Agent Count,dstr_agnt_cnt,True,Small Counter,int,,COUNT(Fund Distribution Agent) ← FMS.AGENCIES db,Generated,,ETL derived,
Fact Fund Management Company Snapshot,fct_fnd_mgt_co_snpst,Total AUM Amount,tot_aum_amt,True,Currency Amount,"decimal(23,2)",,SUM AUM per CTQLQ ← FMS.RPTVALUES. PENDING O_FMS_1: chờ cell code SheetId/TgtId chỉ tiêu AUM,Report Import Value,rpt_impr_val,Value,val
Fact Fund Management Company Snapshot,fct_fnd_mgt_co_snpst,Total Discretionary Contract Count,tot_dscr_ctr_cnt,True,Small Counter,int,,COUNT(Discretionary Investment Account) ← FMS.INVESACC db,Generated,,ETL derived,
Fact Fund Management Company Snapshot,fct_fnd_mgt_co_snpst,Population Date,ppn_dt,True,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Report Date Dimension Id,rpt_dt_dim_id,False,Surrogate Dimension Key,string,FK → Calendar Date Dimension,FK lịch ← Member Periodic Report.Report Date,Generated,,ETL derived,
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Fund Management Company Dimension Id,fnd_mgt_co_dim_id,False,Surrogate Dimension Key,string,FK → Fund Management Company Dimension,FK CTQLQ — ETL lookup từ Member Periodic Report.Fund Management Company Id,Generated,,ETL derived,
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Report Template Code,rpt_tpl_code,True,Text,string,,DD — mã biểu mẫu BC ← FMS.RPTVALUES.RptId,Report Import Value,rpt_impr_val,Report Id,rpt_id
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Reporting Period Code,rpt_prd_code,True,Text,string,,DD — kỳ báo cáo ← FMS.RPTVALUES.PrdId,Reporting Period,rpt_prd,Reporting Period Code,rpt_prd_code
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Total Contract Count,tot_ctr_cnt,True,Small Counter,int,,SUM tổng số HĐ UTDM từ chỉ tiêu BC. PENDING O_FMS_1: cell code WHERE SheetId=<x> AND TgtId=<y>,Report Import Value,rpt_impr_val,Value,val
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Individual Contract Count,idv_ctr_cnt,True,Small Counter,int,,SUM số HĐ cá nhân từ chỉ tiêu BC. PENDING O_FMS_1,Report Import Value,rpt_impr_val,Value,val
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Organization Contract Count,org_ctr_cnt,True,Small Counter,int,,SUM số HĐ tổ chức từ chỉ tiêu BC. PENDING O_FMS_1,Report Import Value,rpt_impr_val,Value,val
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Total Trust Market Value,tot_trst_mkt_val,True,Currency Amount,"decimal(23,2)",,SUM tổng GTTT UTDM từ chỉ tiêu BC. PENDING O_FMS_1,Report Import Value,rpt_impr_val,Value,val
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Individual Trust Market Value,idv_trst_mkt_val,True,Currency Amount,"decimal(23,2)",,SUM GTTT UTDM cá nhân từ chỉ tiêu BC. PENDING O_FMS_1,Report Import Value,rpt_impr_val,Value,val
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Organization Trust Market Value,org_trst_mkt_val,True,Currency Amount,"decimal(23,2)",,SUM GTTT UTDM tổ chức từ chỉ tiêu BC. PENDING O_FMS_1,Report Import Value,rpt_impr_val,Value,val
Fact Discretionary Investment Contract Snapshot,fct_dscr_ivsm_ctr_snpst,Population Date,ppn_dt,True,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Fact Investment Fund NAV Snapshot,fct_ivsm_fnd_nav_snpst,Report Date Dimension Id,rpt_dt_dim_id,False,Surrogate Dimension Key,string,FK → Calendar Date Dimension,FK lịch ← Member Periodic Report.Report Date,Generated,,ETL derived,
Fact Investment Fund NAV Snapshot,fct_ivsm_fnd_nav_snpst,Investment Fund Dimension Id,ivsm_fnd_dim_id,False,Surrogate Dimension Key,string,FK → Investment Fund Dimension,FK quỹ — ETL lookup từ Report Import Value.Investment Fund Id,Generated,,ETL derived,
Fact Investment Fund NAV Snapshot,fct_ivsm_fnd_nav_snpst,Fund Management Company Dimension Id,fnd_mgt_co_dim_id,False,Surrogate Dimension Key,string,FK → Fund Management Company Dimension,FK CTQLQ — ETL lookup từ Report Import Value.Fund Management Company Id,Generated,,ETL derived,
Fact Investment Fund NAV Snapshot,fct_ivsm_fnd_nav_snpst,Report Template Code,rpt_tpl_code,True,Text,string,,DD — mã biểu mẫu BC ← FMS.RPTVALUES.RptId,Report Import Value,rpt_impr_val,Report Id,rpt_id
