kpi_id,dashboard,kpi_name,kpi_description,requirement_group,kpi_category,source_module,mart_table,mart_column,column_role,logic
K_QLKD_1,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Tổng số CTCK đã được cấp phép,Tổng số CTCK đã được cấp phép,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Securities Company Dimension Id,MEASURE,COUNT DISTINCT aggregation
K_QLKD_1,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Tổng số CTCK đã được cấp phép,Tổng số CTCK đã được cấp phép,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Snapshot Date,FILTER,= last day of selected period
K_QLKD_2,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK đã bị thu hồi,Số CTCK đã bị thu hồi,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Securities Company Dimension Id,MEASURE,COUNT DISTINCT aggregation
K_QLKD_2,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK đã bị thu hồi,Số CTCK đã bị thu hồi,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Snapshot Date,FILTER,= last day of selected period
K_QLKD_2,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK đã bị thu hồi,Số CTCK đã bị thu hồi,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Company Status Dimension Id,FILTER,Classification Dim (scheme SCMS_COMPANY_STATUS) Classification Code = 'REVOKED'
K_QLKD_3,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK đang hoạt động bình thường,Số CTCK đang hoạt động bình thường,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Securities Company Dimension Id,MEASURE,COUNT DISTINCT aggregation
K_QLKD_3,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK đang hoạt động bình thường,Số CTCK đang hoạt động bình thường,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Snapshot Date,FILTER,= last day of selected period
K_QLKD_3,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK đang hoạt động bình thường,Số CTCK đang hoạt động bình thường,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Company Status Dimension Id,FILTER,Classification Dim (scheme SCMS_COMPANY_STATUS) Classification Code = 'ACTIVE'
K_QLKD_4,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK thuộc diện cảnh báo,Số CTCK thuộc diện cảnh báo,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Securities Company Dimension Id,MEASURE,COUNT DISTINCT aggregation
K_QLKD_4,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK thuộc diện cảnh báo,Số CTCK thuộc diện cảnh báo,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Snapshot Date,FILTER,= last day of selected period
K_QLKD_4,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK thuộc diện cảnh báo,Số CTCK thuộc diện cảnh báo,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Company Status Dimension Id,FILTER,Classification Dim (scheme SCMS_COMPANY_STATUS) Classification Code = 'WARNING'
K_QLKD_5,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK thuộc diện kiểm soát,Số CTCK thuộc diện kiểm soát,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Securities Company Dimension Id,MEASURE,COUNT DISTINCT aggregation
K_QLKD_5,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK thuộc diện kiểm soát,Số CTCK thuộc diện kiểm soát,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Snapshot Date,FILTER,= last day of selected period
K_QLKD_5,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK thuộc diện kiểm soát,Số CTCK thuộc diện kiểm soát,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Company Status Dimension Id,FILTER,Classification Dim (scheme SCMS_COMPANY_STATUS) Classification Code = 'CONTROL'
K_QLKD_6,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK thuộc diện kiểm soát đặc biệt,Số CTCK thuộc diện kiểm soát đặc biệt,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Securities Company Dimension Id,MEASURE,COUNT DISTINCT aggregation
K_QLKD_6,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK thuộc diện kiểm soát đặc biệt,Số CTCK thuộc diện kiểm soát đặc biệt,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Snapshot Date,FILTER,= last day of selected period
K_QLKD_6,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK thuộc diện kiểm soát đặc biệt,Số CTCK thuộc diện kiểm soát đặc biệt,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Company Status Dimension Id,FILTER,Classification Dim (scheme SCMS_COMPANY_STATUS) Classification Code = 'SPECIAL_CONTROL'
K_QLKD_7,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK đình chỉ hoạt động,Số CTCK đình chỉ hoạt động,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Securities Company Dimension Id,MEASURE,COUNT DISTINCT aggregation
K_QLKD_7,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK đình chỉ hoạt động,Số CTCK đình chỉ hoạt động,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Snapshot Date,FILTER,= last day of selected period
K_QLKD_7,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK đình chỉ hoạt động,Số CTCK đình chỉ hoạt động,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Company Status Dimension Id,FILTER,Classification Dim (scheme SCMS_COMPANY_STATUS) Classification Code = 'SUSPENDED'
K_QLKD_8,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK trạng thái khác,Số CTCK trạng thái khác,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Securities Company Dimension Id,MEASURE,COUNT DISTINCT aggregation
K_QLKD_8,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK trạng thái khác,Số CTCK trạng thái khác,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Snapshot Date,FILTER,= last day of selected period
K_QLKD_8,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số CTCK trạng thái khác,Số CTCK trạng thái khác,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Snapshot,Company Status Dimension Id,FILTER,"Classification Dim (scheme SCMS_COMPANY_STATUS) Classification Code NOT IN (REVOKED, ACTIVE, WARNING, CONTROL, SPECIAL_CONTROL, SUSPENDED)"
K_QLKD_1_SSCK,Dashboard Tổng quan công ty chứng khoán toàn thị trường,So sánh cùng kỳ Tổng số CTCK,So sánh cùng kỳ Tổng số CTCK,Block 1 — Thống kê số lượng CTCK theo trạng thái,Chỉ tiêu phái sinh,SCMS,,,DERIVED,(K_QLKD_1 − K_QLKD_1 [Year − 1]) / K_QLKD_1 [Year − 1] × 100%
K_QLKD_9,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số tài khoản có phát sinh giao dịch,Số tài khoản có phát sinh giao dịch,Block 2 — Tài khoản & dư tiền gửi giao dịch toàn thị trường,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Member Report Value,Cell Value,MEASURE,"SUM(CAST(""Cell Value"" AS BIGINT))"
K_QLKD_9,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số tài khoản có phát sinh giao dịch,Số tài khoản có phát sinh giao dịch,Block 2 — Tài khoản & dư tiền gửi giao dịch toàn thị trường,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Member Report Value,Report Metadata Dimension Id,FILTER,JOIN Report Metadata Dim — Cell Code = '<TX_ACTIVE_ACCOUNT_COUNT>' (pending QLKD_O5)
K_QLKD_9,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số tài khoản có phát sinh giao dịch,Số tài khoản có phát sinh giao dịch,Block 2 — Tài khoản & dư tiền gửi giao dịch toàn thị trường,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Member Report Value,Report Date,FILTER,= <selected>
K_QLKD_9,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số tài khoản có phát sinh giao dịch,Số tài khoản có phát sinh giao dịch,Block 2 — Tài khoản & dư tiền gửi giao dịch toàn thị trường,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Member Report Value,Member Object Type Dimension Id,FILTER,Classification Dim (scheme SCMS_MEMBER_OBJECT_TYPE) = SECURITIES_COMPANY
K_QLKD_10,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số dư tiền gửi giao dịch,Số dư tiền gửi giao dịch,Block 2 — Tài khoản & dư tiền gửi giao dịch toàn thị trường,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Member Report Value,Cell Value,MEASURE,"SUM(CAST(""Cell Value"" AS DECIMAL(20,2))) / 1e9"
K_QLKD_10,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số dư tiền gửi giao dịch,Số dư tiền gửi giao dịch,Block 2 — Tài khoản & dư tiền gửi giao dịch toàn thị trường,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Member Report Value,Report Metadata Dimension Id,FILTER,JOIN Report Metadata Dim — Cell Code = '<TX_DEPOSIT_BALANCE>' (pending QLKD_O5)
K_QLKD_10,Dashboard Tổng quan công ty chứng khoán toàn thị trường,Số dư tiền gửi giao dịch,Số dư tiền gửi giao dịch,Block 2 — Tài khoản & dư tiền gửi giao dịch toàn thị trường,Chỉ tiêu cơ sở,SCMS,Fact Securities Company Member Report Value,Report Date,FILTER,= <selected>
