gold_entity,gold_table,gold_attribute,gold_column,data_type,nullable,data_domain,key,description,source_entity,source_attribute
Fact Inspection Case Activity,fct_inspection_case_avy,Received Date Dimension Id,rcvd_dt_dim_id,string,false,Surrogate Dimension Key,FK → Calendar Date Dimension,FK lịch — ETL lookup từ Inspection Case.Received Date. ThanhTra.TT_HO_SO.NGAY_NHAN_HO_SO,Inspection Case,Received Date
Fact Inspection Case Activity,fct_inspection_case_avy,Subject Category Dimension Id,sbj_cgy_dim_id,string,false,Surrogate Dimension Key,FK → Classification Dimension (scheme: TT_SUBJECT_CATEGORY),FK phân loại đối tượng — ETL-derived từ Inspection Decision Subject.Subject Reference Id (polymorphic → DM_CONG_TY_CK/QLQ/DC/DM_DOI_TUONG_KHAC). 6 giá trị tạm thời — xem O_TT_4,Inspection Decision Subject,Subject Reference Id
Fact Inspection Case Activity,fct_inspection_case_avy,Violation Type Dimension Id,vln_tp_dim_id,string,false,Surrogate Dimension Key,FK → Classification Dimension (scheme: TT_VIOLATION_TYPE),FK loại hành vi vi phạm — ETL join Inspection Case Conclusion (lấy MAX Conclusion Sequence Number) → map HANH_VI_VI_PHAM_ID → Classification Dimension. ThanhTra.TT_KET_LUAN.HANH_VI_VI_PHAM_ID,Inspection Case Conclusion,Violation Type Code
Fact Inspection Case Activity,fct_inspection_case_avy,Inspection Case Code,inspection_case_code,string,true,Text,DD,PK nguồn dùng làm degenerate key hồ sơ trên Fact. COUNT(DISTINCT) để đếm hồ sơ. ThanhTra.TT_HO_SO.ID,Inspection Case,Inspection Case Code
Fact Inspection Case Activity,fct_inspection_case_avy,Inspection Decision Subject Code,inspection_dcsn_sbj_code,string,true,Text,DD,PK nguồn của đối tượng trong quyết định — composite grain key cùng Inspection Case Code. ThanhTra.TT_QUYET_DINH_DOI_TUONG.ID,Inspection Decision Subject,Inspection Decision Subject Code
Fact Inspection Case Activity,fct_inspection_case_avy,Inspection Type Code,inspection_tp_code,string,true,Classification Value,,Loại hình THANH_TRA / KIEM_TRA — bộ lọc phân biệt TT vs KT. ThanhTra.TT_HO_SO.LOAI_HINH,Inspection Case,Inspection Type Code
Fact Inspection Case Activity,fct_inspection_case_avy,Case Status Code,case_st_code,string,true,Classification Value,,Trạng thái hồ sơ — filter HOAN_THANH / không HOAN_THANH. ThanhTra.TT_HO_SO.TRANG_THAI_ID,Inspection Case,Case Status Code
Fact Inspection Case Activity,fct_inspection_case_avy,Population Date,ppn_dt,timestamp,true,Timestamp,,ETL load timestamp,Generated,ETL derived
Fact Penalty Decision,fct_pny_dcsn,Violation Report Date Dimension Id,vln_rpt_dt_dim_id,string,false,Surrogate Dimension Key,FK → Calendar Date Dimension,FK lịch — ETL lookup từ Surveillance Enforcement Decision.Violation Report Date. ThanhTra.GS_VAN_BAN_XU_LY.NGAY_BIEN_BAN,Surveillance Enforcement Decision,Violation Report Date
Fact Penalty Decision,fct_pny_dcsn,Penalty Subject Category Dimension Id,pny_sbj_cgy_dim_id,string,false,Surrogate Dimension Key,FK → Classification Dimension (scheme: TT_PENALTY_SUBJECT_CATEGORY),"FK phân loại đối tượng bị xử phạt — ETL-derived, field Silver nguồn chưa xác định. 4 giá trị: TO_CHUC_KHAC/CTKT/GIAO_DICH_NDT/CA_NHAN — chờ O_TT_9",Generated,ETL derived
